token,label,sentence
LETTER,O,0
I,O,0
LADY,O,0
HOWARD,O,0
TO,O,0
THE,O,0
REV.,O,0
MR.,O,0
VILLARS,O,0
Howard,O,0
Grove,O,0
",",O,0
Kent,O,0
.,O,0
CAN,O,1
any,O,1
thing,O,1
",",O,1
my,O,1
good,O,1
Sir,O,1
",",O,1
be,O,1
more,O,1
painful,O,1
to,O,1
a,O,1
friendly,O,1
mind,O,1
",",O,1
than,O,1
a,O,1
necessity,O,1
of,O,1
communicating,O,1
disagreeable,O,1
intelligence,O,1
?,O,1
Indeed,O,1
it,O,1
is,O,1
sometimes,O,1
difficult,O,1
to,O,1
determine,O,1
",",O,1
whether,O,1
the,O,1
relator,O,1
or,O,1
the,O,1
receiver,O,1
of,O,1
evil,O,1
tidings,O,1
is,O,1
most,O,1
to,O,1
be,O,1
pitied,O,1
.,O,1
I,O,2
have,O,2
just,O,2
had,EVENT,2
a,O,2
letter,O,2
from,O,2
Madame,O,2
Duval,O,2
;,O,2
she,O,2
is,O,2
totally,O,2
at,O,2
a,O,2
loss,O,2
in,O,2
what,O,2
manner,O,2
to,O,2
behave,O,2
;,O,2
she,O,2
seems,O,2
desirous,O,2
to,O,2
repair,O,2
the,O,2
wrongs,O,2
she,O,2
has,O,2
done,O,2
",",O,2
yet,O,2
wishes,O,2
the,O,2
world,O,2
to,O,2
believe,O,2
her,O,2
blameless,O,2
.,O,2
She,O,3
would,O,3
fain,O,3
cast,O,3
upon,O,3
another,O,3
the,O,3
odium,O,3
of,O,3
those,O,3
misfortunes,O,3
for,O,3
which,O,3
she,O,3
alone,O,3
is,O,3
answerable,O,3
.,O,3
Her,O,4
letter,O,4
is,O,4
violent,O,4
",",O,4
sometimes,O,4
abusive,O,4
",",O,4
and,O,4
that,O,4
of,O,4
you,O,4
!,O,4
-,O,4
you,O,4
",",O,4
to,O,4
whom,O,4
she,O,4
is,O,4
under,O,4
obligations,O,4
which,O,4
are,O,4
greater,O,4
even,O,4
than,O,4
her,O,4
faults,O,4
",",O,4
but,O,4
to,O,4
whose,O,4
advice,O,4
she,O,4
wickedly,O,4
imputes,EVENT,4
all,O,4
the,O,4
sufferings,O,4
of,O,4
her,O,4
much,O,4
injured,O,4
daughter,O,4
",",O,4
the,O,4
late,O,4
Lady,O,4
Belmont,O,4
.,O,4
The,O,5
chief,O,5
purport,O,5
of,O,5
her,O,5
writing,O,5
I,O,5
will,O,5
acquaint,O,5
you,O,5
with,O,5
;,O,5
the,O,5
letter,O,5
itself,O,5
is,O,5
not,O,5
worthy,O,5
your,O,5
notice,O,5
.,O,5
She,O,6
tells,EVENT,6
me,O,6
that,O,6
she,O,6
has,O,6
",",O,6
for,O,6
many,O,6
years,O,6
past,O,6
",",O,6
been,O,6
in,O,6
continual,O,6
expectation,O,6
of,O,6
making,O,6
a,O,6
journey,O,6
to,O,6
England,O,6
",",O,6
which,O,6
prevented,O,6
her,O,6
writing,O,6
for,O,6
information,O,6
concerning,O,6
this,O,6
melancholy,O,6
subject,O,6
",",O,6
by,O,6
giving,O,6
her,O,6
hopes,O,6
of,O,6
making,O,6
personal,O,6
inquiries,O,6
;,O,6
but,O,6
family,O,6
occurrences,O,6
have,O,6
still,O,6
detained,EVENT,6
her,O,6
in,O,6
France,O,6
",",O,6
which,O,6
country,O,6
she,O,6
now,O,6
sees,O,6
no,O,6
prospect,O,6
of,O,6
quitting,O,6
.,O,6
She,O,7
has,O,7
",",O,7
therefore,O,7
",",O,7
lately,O,7
used,O,7
her,O,7
utmost,O,7
endeavors,O,7
to,O,7
obtain,O,7
a,O,7
faithful,O,7
account,O,7
of,O,7
whatever,O,7
