token,label,sentence
CHAPTER,O,0
I,O,0
PARIS,O,0
:,O,0
SEPTEMBER,O,0
",",O,0
1792,O,0
A,O,0
surging,EVENT,0
",",O,0
seething,EVENT,0
",",O,0
murmuring,EVENT,0
crowd,O,0
of,O,0
beings,O,0
that,O,0
are,O,0
human,O,0
only,O,0
in,O,0
name,O,0
",",O,0
for,O,0
to,O,0
the,O,0
eye,O,0
and,O,0
ear,O,0
they,O,0
seem,O,0
naught,O,0
but,O,0
savage,O,0
creatures,O,0
",",O,0
animated,O,0
by,O,0
vile,O,0
passions,O,0
and,O,0
by,O,0
the,O,0
lust,O,0
of,O,0
vengeance,O,0
and,O,0
of,O,0
hate,O,0
.,O,0
The,O,1
hour,O,1
",",O,1
some,O,1
little,O,1
time,O,1
before,O,1
sunset,O,1
",",O,1
and,O,1
the,O,1
place,O,1
",",O,1
the,O,1
West,O,1
Barricade,O,1
",",O,1
at,O,1
the,O,1
very,O,1
spot,O,1
where,O,1
",",O,1
a,O,1
decade,O,1
later,O,1
",",O,1
a,O,1
proud,O,1
tyrant,O,1
raised,EVENT,1
an,O,1
undying,O,1
monument,O,1
to,O,1
the,O,1
nation,O,1
's,O,1
glory,O,1
and,O,1
his,O,1
own,O,1
vanity,O,1
.,O,1
During,O,2
the,O,2
greater,O,2
part,O,2
of,O,2
the,O,2
day,O,2
the,O,2
guillotine,O,2
had,O,2
been,O,2
kept,O,2
busy,O,2
at,O,2
its,O,2
ghastly,O,2
work,EVENT,2
:,O,2
all,O,2
that,O,2
France,O,2
had,O,2
boasted,O,2
of,O,2
in,O,2
the,O,2
past,O,2
centuries,O,2
",",O,2
of,O,2
ancient,O,2
names,O,2
",",O,2
and,O,2
blue,O,2
blood,O,2
",",O,2
had,O,2
paid,O,2
toll,O,2
to,O,2
her,O,2
desire,O,2
for,O,2
liberty,O,2
and,O,2
for,O,2
fraternity,O,2
.,O,2
The,O,3
carnage,EVENT,3
had,O,3
only,O,3
ceased,EVENT,3
at,O,3
this,O,3
late,O,3
hour,O,3
of,O,3
the,O,3
day,O,3
because,O,3
there,O,3
were,O,3
other,O,3
more,O,3
interesting,O,3
sights,O,3
for,O,3
the,O,3
people,O,3
to,O,3
witness,O,3
",",O,3
a,O,3
little,O,3
while,O,3
before,O,3
the,O,3
final,O,3
closing,O,3
of,O,3
the,O,3
barricades,O,3
for,O,3
the,O,3
night,O,3
.,O,3
And,O,4
so,O,4
the,O,4
crowd,O,4
rushed,EVENT,4
away,O,4
from,O,4
the,O,4
Place,O,4
de,O,4
la,O,4
Greve,O,4
and,O,4
made,EVENT,4
for,O,4
the,O,4
various,O,4
barricades,O,4
in,O,4
order,O,4
to,O,4
watch,O,4
this,O,4
interesting,O,4
and,O,4
amusing,O,4
sight,O,4
.,O,4
It,O,5
was,O,5
to,O,5
be,O,5
seen,O,5
every,O,5
day,O,5
",",O,5
for,O,5
those,O,5
aristos,O,5
were,O,5
such,O,5
fools,O,5
!,O,5
They,O,5
were,O,5
traitors,O,5
to,O,5
the,O,5
people,O,5
of,O,5
course,O,5
",",O,5
all,O,5
of,O,5
them,O,5
",",O,5
men,O,5
",",O,5
women,O,5
",",O,5
and,O,5
children,O,5
",",O,5
who,O,5
happened,O,5
to,O,5
be,O,5
descendants,O,5
of,O,5
the,O,5
great,O,5
men,O,5
who,O,5
since,O,5
the,O,5
Crusades,O,5
had,O,5
made,O,5
the,O,5
glory,O,5
of,O,5
France,O,5
:,O,5
her,O,5
old,O,5
NOBLESSE,O,5
.,O,5
Their,O,6
ancestors,O,6
had,O,6
oppressed,O,6
the,O,6
people,O,6
",",O,6
had,O,6
crushed,O,6
them,O,6
under,O,6
the,O,6
scarlet,O,6
heels,O,6
of,O,6
their,O,6
dainty,O,6
buckled,O,6
shoes,O,6
",",O,6
and,O,6
now,O,6
the,O,6
people,O,6
had,O,6
become,O,6
the,O,6
rulers,O,6
of,O,6
France,O,6
and,O,6
