token,label,sentence
CHAPTER,O,0
I,O,0
ON,O,0
THE,O,0
ARIZONA,O,0
HILLS,O,0
I,O,0
am,O,0
a,O,0
very,O,0
old,O,0
man,O,0
;,O,0
how,O,0
old,O,0
I,O,0
do,O,0
not,O,0
know,O,0
.,O,0
Possibly,O,1
I,O,1
am,O,1
a,O,1
hundred,O,1
",",O,1
possibly,O,1
more,O,1
;,O,1
but,O,1
I,O,1
can,O,1
not,O,1
tell,O,1
because,O,1
I,O,1
have,O,1
never,O,1
aged,O,1
as,O,1
other,O,1
men,O,1
",",O,1
nor,O,1
do,O,1
I,O,1
remember,O,1
any,O,1
childhood,O,1
.,O,1
So,O,2
far,O,2
as,O,2
I,O,2
can,O,2
recollect,O,2
I,O,2
have,O,2
always,O,2
been,O,2
a,O,2
man,O,2
",",O,2
a,O,2
man,O,2
of,O,2
about,O,2
thirty,O,2
.,O,2
I,O,3
appear,O,3
today,O,3
as,O,3
I,O,3
did,O,3
forty,O,3
years,O,3
and,O,3
more,O,3
ago,O,3
",",O,3
and,O,3
yet,O,3
I,O,3
feel,O,3
that,O,3
I,O,3
can,O,3
not,O,3
go,O,3
on,O,3
living,O,3
forever,O,3
;,O,3
that,O,3
some,O,3
day,O,3
I,O,3
shall,O,3
die,O,3
the,O,3
real,O,3
death,O,3
from,O,3
which,O,3
there,O,3
is,O,3
no,O,3
resurrection,O,3
.,O,3
I,O,4
do,O,4
not,O,4
know,O,4
why,O,4
I,O,4
should,O,4
fear,O,4
death,O,4
",",O,4
I,O,4
who,O,4
have,O,4
died,O,4
twice,O,4
and,O,4
am,O,4
still,O,4
alive,O,4
;,O,4
but,O,4
yet,O,4
I,O,4
have,O,4
the,O,4
same,O,4
horror,O,4
of,O,4
it,O,4
as,O,4
you,O,4
who,O,4
have,O,4
never,O,4
died,O,4
",",O,4
and,O,4
it,O,4
is,O,4
because,O,4
of,O,4
this,O,4
terror,O,4
of,O,4
death,O,4
",",O,4
I,O,4
believe,O,4
",",O,4
that,O,4
I,O,4
am,O,4
so,O,4
convinced,O,4
of,O,4
my,O,4
mortality,O,4
.,O,4
And,O,5
because,O,5
of,O,5
this,O,5
conviction,O,5
I,O,5
have,O,5
determined,O,5
to,O,5
write,O,5
down,O,5
the,O,5
story,O,5
of,O,5
the,O,5
interesting,O,5
periods,O,5
of,O,5
my,O,5
life,O,5
and,O,5
of,O,5
my,O,5
death,O,5
.,O,5
I,O,6
can,O,6
not,O,6
explain,O,6
the,O,6
phenomena,O,6
;,O,6
I,O,6
can,O,6
only,O,6
set,O,6
down,O,6
here,O,6
in,O,6
the,O,6
words,O,6
of,O,6
an,O,6
ordinary,O,6
soldier,O,6
of,O,6
fortune,O,6
a,O,6
chronicle,O,6
of,O,6
the,O,6
strange,O,6
events,O,6
that,O,6
befell,O,6
me,O,6
during,O,6
the,O,6
ten,O,6
years,O,6
that,O,6
my,O,6
dead,O,6
body,O,6
lay,O,6
undiscovered,O,6
in,O,6
an,O,6
Arizona,O,6
cave,O,6
.,O,6
I,O,7
have,O,7
never,O,7
told,O,7
this,O,7
story,O,7
",",O,7
nor,O,7
shall,O,7
mortal,O,7
man,O,7
see,O,7
this,O,7
manuscript,O,7
until,O,7
after,O,7
I,O,7
have,O,7
passed,O,7
over,O,7
for,O,7
eternity,O,7
.,O,7
I,O,8
know,O,8
that,O,8
the,O,8
average,O,8
human,O,8
mind,O,8
will,O,8
not,O,8
believe,O,8
what,O,8
it,O,8
can,O,8
not,O,8
grasp,O,8
",",O,8
and,O,8
so,O,8
I,O,8
do,O,8
not,O,8
purpose,O,8
being,O,8
pilloried,O,8
by,O,8
the,O,8
public,O,8
",",O,8
the,O,8
pulpit,O,8
",",O,8
and,O,8
the,O,8
press,O,8
",",O,8
and,O,8
held,O,8
up,O,8
as,O,8
a,O,8
colossal,O,8
liar,O,8
when,O,8
I,O,8
am,O,8
but,O,8
telling,O,8
the,O,8
simple,O,8
