token,label,sentence
BOOK,O,0
I.,O,0
CONTAINING,O,0
AS,O,0
MUCH,O,0
OF,O,0
THE,O,0
BIRTH,EVENT,0
OF,O,0
THE,O,0
FOUNDLING,O,0
AS,O,0
IS,O,0
NECESSARY,O,0
OR,O,0
PROPER,O,0
TO,O,0
ACQUAINT,O,0
THE,O,0
READER,O,0
WITH,O,0
IN,O,0
THE,O,0
BEGINNING,O,0
OF,O,0
THIS,O,0
HISTORY,O,0
.,O,0
Chapter,O,1
i,O,1
.,O,1
The,O,2
introduction,O,2
to,O,2
the,O,2
work,O,2
",",O,2
or,O,2
bill,O,2
of,O,2
fare,O,2
to,O,2
the,O,2
feast,O,2
.,O,2
An,O,3
author,O,3
ought,O,3
to,O,3
consider,O,3
himself,O,3
",",O,3
not,O,3
as,O,3
a,O,3
gentleman,O,3
who,O,3
gives,O,3
a,O,3
private,O,3
or,O,3
eleemosynary,O,3
treat,O,3
",",O,3
but,O,3
rather,O,3
as,O,3
one,O,3
who,O,3
keeps,O,3
a,O,3
public,O,3
ordinary,O,3
",",O,3
at,O,3
which,O,3
all,O,3
persons,O,3
are,O,3
welcome,O,3
for,O,3
their,O,3
money,O,3
.,O,3
In,O,4
the,O,4
former,O,4
case,O,4
",",O,4
it,O,4
is,O,4
well,O,4
known,O,4
that,O,4
the,O,4
entertainer,O,4
provides,O,4
what,O,4
fare,O,4
he,O,4
pleases,O,4
;,O,4
and,O,4
though,O,4
this,O,4
should,O,4
be,O,4
very,O,4
indifferent,O,4
",",O,4
and,O,4
utterly,O,4
disagreeable,O,4
to,O,4
the,O,4
taste,O,4
of,O,4
his,O,4
company,O,4
",",O,4
they,O,4
must,O,4
not,O,4
find,O,4
any,O,4
fault,O,4
;,O,4
nay,O,4
",",O,4
on,O,4
the,O,4
contrary,O,4
",",O,4
good,O,4
breeding,O,4
forces,O,4
them,O,4
outwardly,O,4
to,O,4
approve,O,4
and,O,4
to,O,4
commend,O,4
whatever,O,4
is,O,4
set,O,4
before,O,4
them,O,4
.,O,4
Now,O,5
the,O,5
contrary,O,5
of,O,5
this,O,5
happens,O,5
to,O,5
the,O,5
master,O,5
of,O,5
an,O,5
ordinary,O,5
.,O,5
Men,O,6
who,O,6
pay,O,6
for,O,6
what,O,6
they,O,6
eat,O,6
will,O,6
insist,O,6
on,O,6
gratifying,O,6
their,O,6
palates,O,6
",",O,6
however,O,6
nice,O,6
and,O,6
whimsical,O,6
these,O,6
may,O,6
prove,O,6
;,O,6
and,O,6
if,O,6
everything,O,6
is,O,6
not,O,6
agreeable,O,6
to,O,6
their,O,6
taste,O,6
",",O,6
will,O,6
challenge,O,6
a,O,6
right,O,6
to,O,6
censure,O,6
",",O,6
to,O,6
abuse,O,6
",",O,6
and,O,6
to,O,6
d,O,6
--,O,6
n,O,6
their,O,6
dinner,O,6
without,O,6
controul,O,6
.,O,6
To,O,7
prevent,O,7
",",O,7
therefore,O,7
",",O,7
giving,O,7
offence,O,7
to,O,7
their,O,7
customers,O,7
by,O,7
any,O,7
such,O,7
disappointment,O,7
",",O,7
it,O,7
hath,O,7
been,O,7
usual,O,7
with,O,7
the,O,7
honest,O,7
and,O,7
well-meaning,O,7
host,O,7
to,O,7
provide,O,7
a,O,7
bill,O,7
of,O,7
fare,O,7
which,O,7
all,O,7
persons,O,7
may,O,7
peruse,O,7
at,O,7
their,O,7
first,O,7
entrance,O,7
into,O,7
the,O,7
house,O,7
;,O,7
and,O,7
having,O,7
thence,O,7
acquainted,O,7
themselves,O,7
with,O,7
the,O,7
entertainment,O,7
which,O,7
they,O,7
may,O,7
expect,O,7
",",O,7
may,O,7
either,O,7
stay,O,7
and,O,7
regale,O,7
with,O,7
what,O,7
is,O,7
provided,O,7
for,O,7
them,O,7
",",O,7
or,O,7
may,O,7
depart,O,7
to,O,7
some,O,7
other,O,7
ordinary,O,7
better,O,7
accommodated,O,7
to,O,7
their,O,7
taste,O,7
.,O,7
As,O,8
we,O,8
do,O,8
not,O,8
disdain,O,8
to,O,8
borrow,O,8
wit,O,8
or,O,8
wisdom,O,8
from,O,8
any,O,8
man,O,8
who,O,8
is,O,8
capable,O,8
of,O,8
lending,O,8
us,O,8
either,O,8
",",O,8
we,O,8
have,O,8
condescended,EVENT,8
to,O,8
take,EVENT,8
a,O,8
hint,O,8
from,O,8
these,O,8
honest,O,8
victuallers,O,8
",",O,8
and,O,8
shall,O,8
prefix,O,8
not,O,8
only,O,8
a,O,8
general,O,8
bill,O,8
of,O,8
fare,O,8
to,O,8
our,O,8
whole,O,8
entertainment,O,8
",",O,8
but,O,8
shall,O,8
likewise,O,8
give,O,8
the,O,8
reader,O,8
particular,O,8
bills,O,8
to,O,8
every,O,8
course,O,8
which,O,8
is,O,8
to,O,8
be,O,8
served,O,8
up,O,8
in,O,8
this,O,8
and,O,8
the,O,8
ensuing,O,8
volumes,O,8
.,O,8
The,O,9
provision,EVENT,9
",",O,9
then,O,9
",",O,9
which,O,9
we,O,9
have,O,9
here,O,9
made,O,9
is,O,9
no,O,9
other,O,9
than,O,9
_,O,9
Human,O,9
Nature,O,9
_,O,9
.,O,9
Nor,O,10
do,O,10
I,O,10
fear,O,10
that,O,10
my,O,10
sensible,O,10
reader,O,10
",",O,10
though,O,10
most,O,10
luxurious,O,10
in,O,10
his,O,10
taste,O,10
",",O,10
will,O,10
start,O,10
",",O,10
cavil,O,10
",",O,10
or,O,10
be,O,10
offended,O,10
",",O,10
because,O,10
I,O,10
have,O,10
named,EVENT,10
but,O,10
one,O,10
article,O,10
.,O,10
The,O,11
tortoise,O,11
--,O,11
as,O,11
the,O,11
alderman,O,11
of,O,11
Bristol,O,11
",",O,11
well,O,11
learned,O,11
in,O,11
eating,O,11
",",O,11
knows,O,11
by,O,11
much,O,11
experience,O,11
--,O,11
besides,O,11
the,O,11
delicious,O,11
calipash,O,11
and,O,11
calipee,O,11
",",O,11
contains,O,11
many,O,11
different,O,11
kinds,O,11
of,O,11
food,O,11
;,O,11
nor,O,11
can,O,11
the,O,11
learned,O,11
reader,O,11
be,O,11
ignorant,O,11
",",O,11
that,O,11
in,O,11
human,O,11
nature,O,11
",",O,11
though,O,11
here,O,11
collected,O,11
under,O,11
one,O,11
general,O,11
name,O,11
",",O,11
is,O,11
such,O,11
prodigious,O,11
variety,O,11
",",O,11
that,O,11
a,O,11
cook,O,11
will,O,11
have,O,11
sooner,O,11
gone,O,11
through,O,11
all,O,11
the,O,11
several,O,11
species,O,11
of,O,11
animal,O,11
and,O,11
vegetable,O,11
food,O,11
in,O,11
the,O,11
world,O,11
",",O,11
than,O,11
an,O,11
author,O,11
will,O,11
be,O,11
able,O,11
to,O,11
exhaust,O,11
so,O,11
extensive,O,11
a,O,11
subject,O,11
.,O,11
An,O,12
objection,O,12
may,O,12
perhaps,O,12
be,O,12
apprehended,O,12
from,O,12
the,O,12
more,O,12
delicate,O,12
",",O,12
that,O,12
this,O,12
dish,O,12
is,O,12
too,O,12
common,O,12
and,O,12
vulgar,O,12
;,O,12
for,O,12
what,O,12
else,O,12
is,O,12
the,O,12
subject,O,12
of,O,12
all,O,12
the,O,12
romances,O,12
",",O,12
novels,O,12
",",O,12
plays,O,12
",",O,12
and,O,12
poems,O,12
",",O,12
with,O,12
which,O,12
the,O,12
stalls,O,12
abound,O,12
?,O,12
Many,O,12
exquisite,O,12
viands,O,12
might,O,12
be,O,12
rejected,O,12
by,O,12
the,O,12
epicure,O,12
",",O,12
if,O,12
it,O,12
was,O,12
a,O,12
sufficient,O,12
cause,O,12
for,O,12
his,O,12
contemning,O,12
of,O,12
them,O,12
as,O,12
common,O,12
and,O,12
vulgar,O,12
",",O,12
that,O,12
something,O,12
was,O,12
to,O,12
be,O,12
found,O,12
in,O,12
the,O,12
most,O,12
paltry,O,12
alleys,O,12
under,O,12
the,O,12
same,O,12
name,O,12
.,O,12
In,O,13
reality,O,13
",",O,13
true,O,13
nature,O,13
is,O,13
as,O,13
difficult,O,13
to,O,13
be,O,13
met,O,13
with,O,13
in,O,13
authors,O,13
",",O,13
as,O,13
the,O,13
Bayonne,O,13
ham,O,13
",",O,13
or,O,13
Bologna,O,13
sausage,O,13
",",O,13
is,O,13
to,O,13
be,O,13
found,O,13
in,O,13
the,O,13
shops,O,13
.,O,13
But,O,14
the,O,14
whole,O,14
",",O,14
to,O,14
continue,O,14
the,O,14
same,O,14
metaphor,O,14
",",O,14
consists,O,14
in,O,14
the,O,14
cookery,O,14
of,O,14
the,O,14
author,O,14
;,O,14
for,O,14
",",O,14
as,O,14
Mr,O,14
Pope,O,14
tells,O,14
us,O,14
--,O,14
“,O,14
True,O,14
wit,O,14
is,O,14
nature,O,14
to,O,14
advantage,O,14
drest,O,14
;,O,14
What,O,14
oft,O,14
was,O,14
thought,O,14
",",O,14
but,O,14
ne'er,O,14
so,O,14
well,O,14
exprest,O,14
.,O,14
”,O,15
The,O,15
same,O,15
animal,O,15
which,O,15
hath,O,15
the,O,15
honour,O,15
to,O,15
have,O,15
some,O,15
part,O,15
of,O,15
his,O,15
flesh,O,15
eaten,O,15
at,O,15
the,O,15
table,O,15
of,O,15
a,O,15
duke,O,15
",",O,15
