token,label,sentence
CHAPTER,O,0
I,O,0
THE,O,0
CONSUL,O,0
’S,O,0
YARN,O,0
A,O,0
week,O,0
had,O,0
passed,O,0
since,O,0
the,O,0
funeral,EVENT,0
of,O,0
my,O,0
poor,O,0
boy,O,0
Harry,O,0
",",O,0
and,O,0
one,O,0
evening,O,0
I,O,0
was,O,0
in,O,0
my,O,0
room,O,0
walking,EVENT,0
up,O,0
and,O,0
down,O,0
and,O,0
thinking,EVENT,0
",",O,0
when,O,0
there,O,0
was,O,0
a,O,0
ring,EVENT,0
at,O,0
the,O,0
outer,O,0
door,O,0
.,O,0
Going,EVENT,1
down,O,1
the,O,1
steps,O,1
I,O,1
opened,EVENT,1
it,O,1
myself,O,1
",",O,1
and,O,1
in,O,1
came,EVENT,1
my,O,1
old,O,1
friends,O,1
Sir,O,1
Henry,O,1
Curtis,O,1
and,O,1
Captain,O,1
John,O,1
Good,O,1
",",O,1
RN,O,1
.,O,1
They,O,2
entered,EVENT,2
the,O,2
vestibule,O,2
and,O,2
sat,EVENT,2
themselves,O,2
down,O,2
before,O,2
the,O,2
wide,O,2
hearth,O,2
",",O,2
where,O,2
",",O,2
I,O,2
remember,EVENT,2
",",O,2
a,O,2
particularly,O,2
good,O,2
fire,EVENT,2
of,O,2
logs,O,2
was,O,2
burning,O,2
.,O,2
‘,O,3
It,O,3
is,O,3
very,O,3
kind,O,3
of,O,3
you,O,3
to,O,3
come,EVENT,3
round,O,3
",",O,3
’,O,3
I,O,3
said,EVENT,3
by,O,3
way,O,3
of,O,3
making,O,3
a,O,3
remark,O,3
;,O,3
‘,O,3
it,O,3
must,O,3
have,O,3
been,O,3
heavy,O,3
walking,O,3
in,O,3
the,O,3
snow,O,3
.,O,3
’,O,4
They,O,4
said,O,4
nothing,O,4
",",O,4
but,O,4
Sir,O,4
Henry,O,4
slowly,O,4
filled,EVENT,4
his,O,4
pipe,O,4
and,O,4
lit,EVENT,4
it,O,4
with,O,4
a,O,4
burning,O,4
ember,O,4
.,O,4
As,O,5
he,O,5
leant,EVENT,5
forward,O,5
to,O,5
do,O,5
so,O,5
the,O,5
fire,EVENT,5
got,O,5
hold,EVENT,5
of,O,5
a,O,5
gassy,O,5
bit,O,5
of,O,5
pine,O,5
and,O,5
flared,EVENT,5
up,O,5
brightly,O,5
",",O,5
throwing,EVENT,5
the,O,5
whole,O,5
scene,O,5
into,O,5
strong,O,5
relief,O,5
",",O,5
and,O,5
I,O,5
thought,EVENT,5
",",O,5
What,O,5
a,O,5
splendid-looking,O,5
man,O,5
he,O,5
is,O,5
!,O,5
Calm,O,5
",",O,5
powerful,O,5
face,O,5
",",O,5
clear-cut,O,5
features,O,5
",",O,5
large,O,5
grey,O,5
eyes,O,5
",",O,5
yellow,O,5
beard,O,5
and,O,5
hair,O,5
--,O,5
altogether,O,5
a,O,5
magnificent,O,5
specimen,O,5
of,O,5
the,O,5
higher,O,5
type,O,5
of,O,5
humanity,O,5
.,O,5
Nor,O,6
did,O,6
his,O,6
form,O,6
belie,O,6
his,O,6
face,O,6
.,O,6
I,O,7
have,O,7
never,O,7
seen,O,7
wider,O,7
shoulders,O,7
or,O,7
a,O,7
deeper,O,7
chest,O,7
.,O,7
Indeed,O,8
",",O,8
Sir,O,8
Henry,O,8
’s,O,8
girth,O,8
is,O,8
so,O,8
great,O,8
that,O,8
",",O,8
though,O,8
he,O,8
is,O,8
six,O,8
feet,O,8
two,O,8
high,O,8
",",O,8
he,O,8
does,O,8
not,O,8
strike,O,8
one,O,8
as,O,8
a,O,8
tall,O,8
man,O,8
.,O,8
As,O,9
I,O,9
looked,EVENT,9
at,O,9
him,O,9
I,O,9
could,O,9
not,O,9
help,O,9
thinking,EVENT,9
what,O,9
a,O,9
curious,O,9
contrast,O,9
my,O,9
little,O,9
dried-up,O,9
self,O,9
presented,O,9
to,O,9
his,O,9
grand,O,9
face,O,9
and,O,9
form,O,9
.,O,9
