token,label,sentence
CHAPTER,O,0
I,O,0
TREATS,O,0
OF,O,0
THE,O,0
PLACE,O,0
WHERE,O,0
OLIVER,O,0
TWIST,O,0
WAS,O,0
BORN,EVENT,0
AND,O,0
OF,O,0
THE,O,0
CIRCUMSTANCES,O,0
ATTENDING,O,0
HIS,O,0
BIRTH,EVENT,0
Among,O,0
other,O,0
public,O,0
buildings,O,0
in,O,0
a,O,0
certain,O,0
town,O,0
",",O,0
which,O,0
for,O,0
many,O,0
reasons,O,0
it,O,0
will,O,0
be,O,0
prudent,O,0
to,O,0
refrain,O,0
from,O,0
mentioning,O,0
",",O,0
and,O,0
to,O,0
which,O,0
I,O,0
will,O,0
assign,O,0
no,O,0
fictitious,O,0
name,O,0
",",O,0
there,O,0
is,O,0
one,O,0
anciently,O,0
common,O,0
to,O,0
most,O,0
towns,O,0
",",O,0
great,O,0
or,O,0
small,O,0
:,O,0
to,O,0
wit,O,0
",",O,0
a,O,0
workhouse,O,0
;,O,0
and,O,0
in,O,0
this,O,0
workhouse,O,0
was,O,0
born,O,0
;,O,0
on,O,0
a,O,0
day,O,0
and,O,0
date,O,0
which,O,0
I,O,0
need,O,0
not,O,0
trouble,O,0
myself,O,0
to,O,0
repeat,O,0
",",O,0
inasmuch,O,0
as,O,0
it,O,0
can,O,0
be,O,0
of,O,0
no,O,0
possible,O,0
consequence,O,0
to,O,0
the,O,0
reader,O,0
",",O,0
in,O,0
this,O,0
stage,O,0
of,O,0
the,O,0
business,O,0
at,O,0
all,O,0
events,O,0
;,O,0
the,O,0
item,O,0
of,O,0
mortality,O,0
whose,O,0
name,O,0
is,O,0
prefixed,O,0
to,O,0
the,O,0
head,O,0
of,O,0
this,O,0
chapter,O,0
.,O,0
For,O,1
a,O,1
long,O,1
time,O,1
after,O,1
it,O,1
was,O,1
ushered,EVENT,1
into,O,1
this,O,1
world,O,1
of,O,1
sorrow,O,1
and,O,1
trouble,O,1
",",O,1
by,O,1
the,O,1
parish,O,1
surgeon,O,1
",",O,1
it,O,1
remained,O,1
a,O,1
matter,O,1
of,O,1
considerable,O,1
doubt,O,1
whether,O,1
the,O,1
child,O,1
would,O,1
survive,O,1
to,O,1
bear,O,1
any,O,1
name,O,1
at,O,1
all,O,1
;,O,1
in,O,1
which,O,1
case,O,1
it,O,1
is,O,1
somewhat,O,1
more,O,1
than,O,1
probable,O,1
that,O,1
these,O,1
memoirs,O,1
would,O,1
never,O,1
have,O,1
appeared,O,1
;,O,1
or,O,1
",",O,1
if,O,1
they,O,1
had,O,1
",",O,1
that,O,1
being,O,1
comprised,O,1
within,O,1
a,O,1
couple,O,1
of,O,1
pages,O,1
",",O,1
they,O,1
would,O,1
have,O,1
possessed,O,1
the,O,1
inestimable,O,1
merit,O,1
of,O,1
being,O,1
the,O,1
most,O,1
concise,O,1
and,O,1
faithful,O,1
specimen,O,1
of,O,1
biography,O,1
",",O,1
extant,O,1
in,O,1
the,O,1
literature,O,1
of,O,1
any,O,1
age,O,1
or,O,1
country,O,1
.,O,1
Although,O,2
I,O,2
am,O,2
not,O,2
disposed,O,2
to,O,2
maintain,O,2
that,O,2
the,O,2
being,O,2
born,O,2
in,O,2
a,O,2
workhouse,O,2
",",O,2
is,O,2
in,O,2
itself,O,2
the,O,2
most,O,2
fortunate,O,2
and,O,2
enviable,O,2
circumstance,O,2
that,O,2
can,O,2
possibly,O,2
befall,O,2
a,O,2
human,O,2
being,O,2
",",O,2
I,O,2
do,O,2
mean,O,2
to,O,2
say,O,2
that,O,2
in,O,2
this,O,2
particular,O,2
instance,O,2
",",O,2
it,O,2
was,O,2
the,O,2
best,O,2
thing,O,2
for,O,2
Oliver,O,2
Twist,O,2
that,O,2
could,O,2
by,O,2
possibility,O,2
have,O,2
occurred,O,2
.,O,2
The,O,3
fact,O,3
is,O,3
",",O,3
that,O,3
there,O,3
was,O,3
considerable,O,3
difficulty,O,3
in,O,3
inducing,O,3
