token,label,sentence
CHAPTER,O,0
1,O,0
.,O,0
I,O,1
AM,O,1
BORN,EVENT,1
Whether,O,1
I,O,1
shall,O,1
turn,O,1
out,O,1
to,O,1
be,O,1
the,O,1
hero,O,1
of,O,1
my,O,1
own,O,1
life,O,1
",",O,1
or,O,1
whether,O,1
that,O,1
station,O,1
will,O,1
be,O,1
held,O,1
by,O,1
anybody,O,1
else,O,1
",",O,1
these,O,1
pages,O,1
must,O,1
show,O,1
.,O,1
To,O,2
begin,EVENT,2
my,O,2
life,O,2
with,O,2
the,O,2
beginning,EVENT,2
of,O,2
my,O,2
life,O,2
",",O,2
I,O,2
record,EVENT,2
that,O,2
I,O,2
was,O,2
born,EVENT,2
(,O,2
as,O,2
I,O,2
have,O,2
been,O,2
informed,EVENT,2
and,O,2
believe,O,2
),O,2
on,O,2
a,O,2
Friday,O,2
",",O,2
at,O,2
twelve,O,2
o’clock,O,2
at,O,2
night,O,2
.,O,2
It,O,3
was,O,3
remarked,EVENT,3
that,O,3
the,O,3
clock,O,3
began,O,3
to,O,3
strike,EVENT,3
",",O,3
and,O,3
I,O,3
began,O,3
to,O,3
cry,EVENT,3
",",O,3
simultaneously,O,3
.,O,3
In,O,4
consideration,O,4
of,O,4
the,O,4
day,O,4
and,O,4
hour,O,4
of,O,4
my,O,4
birth,EVENT,4
",",O,4
it,O,4
was,O,4
declared,EVENT,4
by,O,4
the,O,4
nurse,O,4
",",O,4
and,O,4
by,O,4
some,O,4
sage,O,4
women,O,4
in,O,4
the,O,4
neighbourhood,O,4
who,O,4
had,O,4
taken,O,4
a,O,4
lively,O,4
interest,O,4
in,O,4
me,O,4
several,O,4
months,O,4
before,O,4
there,O,4
was,O,4
any,O,4
possibility,O,4
of,O,4
our,O,4
becoming,O,4
personally,O,4
acquainted,O,4
",",O,4
first,O,4
",",O,4
that,O,4
I,O,4
was,O,4
destined,O,4
to,O,4
be,O,4
unlucky,O,4
in,O,4
life,O,4
;,O,4
and,O,4
secondly,O,4
",",O,4
that,O,4
I,O,4
was,O,4
privileged,O,4
to,O,4
see,O,4
ghosts,O,4
and,O,4
spirits,O,4
;,O,4
both,O,4
these,O,4
gifts,O,4
inevitably,O,4
attaching,O,4
",",O,4
as,O,4
they,O,4
believed,O,4
",",O,4
to,O,4
all,O,4
unlucky,O,4
infants,O,4
of,O,4
either,O,4
gender,O,4
",",O,4
born,O,4
towards,O,4
the,O,4
small,O,4
hours,O,4
on,O,4
a,O,4
Friday,O,4
night,O,4
.,O,4
I,O,5
need,O,5
say,O,5
nothing,O,5
here,O,5
",",O,5
on,O,5
the,O,5
first,O,5
head,O,5
",",O,5
because,O,5
nothing,O,5
can,O,5
show,O,5
better,O,5
than,O,5
my,O,5
history,O,5
whether,O,5
that,O,5
prediction,O,5
was,O,5
verified,O,5
or,O,5
falsified,O,5
by,O,5
the,O,5
result,O,5
.,O,5
On,O,6
the,O,6
second,O,6
branch,O,6
of,O,6
the,O,6
question,O,6
",",O,6
I,O,6
will,O,6
only,O,6
remark,EVENT,6
",",O,6
that,O,6
unless,O,6
I,O,6
ran,O,6
through,O,6
that,O,6
part,O,6
of,O,6
my,O,6
inheritance,O,6
while,O,6
I,O,6
was,O,6
still,O,6
a,O,6
baby,O,6
",",O,6
I,O,6
have,O,6
not,O,6
come,O,6
into,O,6
it,O,6
yet,O,6
.,O,6
But,O,7
I,O,7
do,O,7
not,O,7
at,O,7
all,O,7
complain,O,7
of,O,7
having,O,7
been,O,7
kept,O,7
out,O,7
of,O,7
this,O,7
property,O,7
;,O,7
and,O,7
if,O,7
anybody,O,7
else,O,7
should,O,7
be,O,7
in,O,7
the,O,7
present,O,7
enjoyment,O,7
of,O,7
it,O,7
",",O,7
he,O,7
is,O,7
heartily,O,7
welcome,O,7
to,O,7
keep,O,7
it,O,7
.,O,7
I,O,8
was,O,8
born,EVENT,8
with,O,8
a,O,8
caul,O,8
",",O,8
which,O,8
was,O,8
advertised,EVENT,8
for,O,8
sale,O,8
",",O,8
in,O,8
the,O,8
newspapers,O,8
",",O,8
at,O,8
the,O,8
low,O,8
price,O,8
of,O,8
fifteen,O,8
guineas,O,8
.,O,8
Whether,O,9
sea-going,O,9
people,O,9
were,O,9
short,O,9
of,O,9
money,O,9
about,O,9
that,O,9
time,O,9
",",O,9
or,O,9
were,O,9
short,O,9
of,O,9
faith,O,9
and,O,9
preferred,O,9
cork,O,9
jackets,O,9
",",O,9
I,O,9
do,O,9
n’t,O,9
know,O,9
;,O,9
all,O,9
I,O,9
know,O,9
is,O,9
",",O,9
that,O,9
there,O,9
was,O,9
but,O,9
one,O,9
solitary,O,9
bidding,EVENT,9
",",O,9
and,O,9
that,O,9
was,O,9
from,O,9
an,O,9
attorney,O,9
connected,O,9
with,O,9
the,O,9
bill-broking,O,9
business,O,9
",",O,9
who,O,9
offered,EVENT,9
two,O,9
pounds,O,9
in,O,9
cash,O,9
",",O,9
and,O,9
the,O,9
balance,O,9
in,O,9
sherry,O,9
",",O,9
but,O,9
declined,EVENT,9
to,O,9
be,O,9
guaranteed,O,9
from,O,9
drowning,O,9
on,O,9
any,O,9
higher,O,9
bargain,O,9
.,O,9
Consequently,O,10
the,O,10
advertisement,O,10
was,O,10
withdrawn,EVENT,10
at,O,10
a,O,10
dead,O,10
loss,O,10
--,O,10
for,O,10
as,O,10
to,O,10
sherry,O,10
",",O,10
my,O,10
poor,O,10
dear,O,10
mother,O,10
’s,O,10
own,O,10
sherry,O,10
was,O,10
in,O,10
the,O,10
market,O,10
then,O,10
--,O,10
and,O,10
ten,O,10
years,O,10
afterwards,O,10
",",O,10
the,O,10
caul,O,10
was,O,10
put,EVENT,10
up,O,10
in,O,10
a,O,10
raffle,EVENT,10
down,O,10
in,O,10
our,O,10
part,O,10
of,O,10
the,O,10
country,O,10
",",O,10
to,O,10
fifty,O,10
members,O,10
at,O,10
half-a-crown,O,10
a,O,10
head,O,10
",",O,10
the,O,10
winner,O,10
to,O,10
spend,O,10
five,O,10
shillings,O,10
.,O,10
I,O,11
was,O,11
present,EVENT,11
myself,O,11
",",O,11
and,O,11
I,O,11
remember,EVENT,11
to,O,11
have,O,11
felt,O,11
quite,O,11
uncomfortable,O,11
and,O,11
confused,O,11
",",O,11
at,O,11
a,O,11
part,O,11
of,O,11
myself,O,11
being,O,11
disposed,O,11
of,O,11
in,O,11
that,O,11
way,O,11
.,O,11
The,O,12
caul,O,12
was,O,12
won,EVENT,12
",",O,12
I,O,12
recollect,EVENT,12
",",O,12
by,O,12
an,O,12
old,O,12
lady,O,12
with,O,12
a,O,12
hand-basket,O,12
",",O,12
who,O,12
",",O,12
very,O,12
reluctantly,O,12
",",O,12
produced,EVENT,12
from,O,12
it,O,12
the,O,12
stipulated,O,12
five,O,12
shillings,O,12
",",O,12
all,O,12
in,O,12
halfpence,O,12
",",O,12
and,O,12
twopence,O,12
halfpenny,O,12
short,O,12
--,O,12
as,O,12
it,O,12
took,O,12
an,O,12
immense,O,12
time,O,12
and,O,12
a,O,12
great,O,12
waste,O,12
of,O,12
arithmetic,O,12
",",O,12
to,O,12
endeavour,O,12
without,O,12
any,O,12
effect,O,12
to,O,12
prove,O,12
to,O,12
her,O,12
.,O,12
It,O,13
is,O,13
a,O,13
fact,O,13
which,O,13
will,O,13
be,O,13
long,O,13
remembered,O,13
as,O,13
remarkable,O,13
down,O,13
there,O,13
",",O,13
that,O,13
she,O,13
was,O,13
never,O,13
drowned,O,13
",",O,13
but,O,13
died,O,13
triumphantly,O,13
in,O,13
bed,O,13
",",O,13
at,O,13
ninety-two,O,13
.,O,13
I,O,14
have,O,14
understood,O,14
that,O,14
it,O,14
was,O,14
",",O,14
to,O,14
the,O,14
last,O,14
",",O,14
her,O,14
proudest,O,14
boast,O,14
",",O,14
that,O,14
she,O,14
never,O,14
had,O,14
been,O,14
on,O,14
the,O,14
water,O,14
in,O,14
her,O,14
life,O,14
",",O,14
except,O,14
upon,O,14
a,O,14
bridge,O,14
;,O,14
and,O,14
that,O,14
over,O,14
her,O,14
tea,O,14
(,O,14
to,O,14
which,O,14
she,O,14
was,O,14
extremely,O,14
partial,O,14
),O,14
she,O,14
",",O,14
to,O,14
the,O,14
last,O,14
",",O,14
expressed,O,14
her,O,14
indignation,O,14
at,O,14
the,O,14
impiety,O,14
of,O,14
mariners,O,14
and,O,14
others,O,14
",",O,14
who,O,14
had,O,14
the,O,14
presumption,O,14
to,O,14
go,O,14
‘,O,14
meandering,O,14
’,O,14
about,O,14
the,O,14
world,O,14
.,O,14
It,O,15
was,O,15
in,O,15
vain,O,15
to,O,15
represent,O,15
to,O,15
her,O,15
that,O,15
some,O,15
conveniences,O,15
",",O,15
tea,O,15
perhaps,O,15
included,O,15
",",O,15
resulted,O,15
from,O,15
this,O,15
objectionable,O,15
practice,O,15
.,O,15
She,O,16
always,O,16
returned,O,16
",",O,16
with,O,16
greater,O,16
emphasis,O,16
and,O,16
with,O,16
an,O,16
instinctive,O,16
knowledge,O,16
of,O,16
the,O,16
strength,O,16
of,O,16
her,O,16
objection,O,16
",",O,16
‘,O,16
Let,O,16
us,O,16
have,O,16
no,O,16
meandering,O,16
.,O,16
’,O,17
Not,O,17
to,O,17
meander,O,17
myself,O,17
",",O,17
at,O,17
present,O,17
",",O,17
I,O,17
will,O,17
go,O,17
back,O,17
to,O,17
my,O,17
birth,EVENT,17
.,O,17
I,O,18
was,O,18
born,EVENT,18
at,O,18
Blunderstone,O,18
",",O,18
in,O,18
Suffolk,O,18
",",O,18
or,O,18
‘,O,18
there,O,18
by,O,18
’,O,18
",",O,18
as,O,18
they,O,18
say,O,18
in,O,18
Scotland,O,18
.,O,18
I,O,19
was,O,19
a,O,19
posthumous,O,19
child,O,19
.,O,19
My,O,20
father,O,20
’s,O,20
eyes,O,20
had,O,20
closed,EVENT,20
upon,O,20
the,O,20
light,O,20
of,O,20
this,O,20
world,O,20
six,O,20
months,O,20
",",O,20
when,O,20
mine,O,20
opened,EVENT,20
on,O,20
it,O,20
.,O,20
There,O,21
is,O,21
something,O,21
strange,O,21
to,O,21
me,O,21
",",O,21
even,O,21
now,O,21
