token,label,sentence
CHAPTER,O,0
I,O,0
1801,O,0
.,O,0
--,O,1
I,O,1
have,O,1
just,O,1
returned,EVENT,1
from,O,1
a,O,1
visit,EVENT,1
to,O,1
my,O,1
landlord,O,1
--,O,1
the,O,1
solitary,O,1
neighbour,O,1
that,O,1
I,O,1
shall,O,1
be,O,1
troubled,O,1
with,O,1
.,O,1
This,O,2
is,O,2
certainly,O,2
a,O,2
beautiful,O,2
country,O,2
!,O,2
In,O,2
all,O,2
England,O,2
",",O,2
I,O,2
do,O,2
not,O,2
believe,O,2
that,O,2
I,O,2
could,O,2
have,O,2
fixed,O,2
on,O,2
a,O,2
situation,O,2
so,O,2
completely,O,2
removed,O,2
from,O,2
the,O,2
stir,O,2
of,O,2
society,O,2
.,O,2
A,O,3
perfect,O,3
misanthropist,O,3
's,O,3
heaven,O,3
:,O,3
and,O,3
Mr.,O,3
Heathcliff,O,3
and,O,3
I,O,3
are,O,3
such,O,3
a,O,3
suitable,O,3
pair,O,3
to,O,3
divide,O,3
the,O,3
desolation,O,3
between,O,3
us,O,3
.,O,3
A,O,4
capital,O,4
fellow,O,4
!,O,4
He,O,4
little,O,4
imagined,O,4
how,O,4
my,O,4
heart,O,4
warmed,EVENT,4
towards,O,4
him,O,4
when,O,4
I,O,4
beheld,EVENT,4
his,O,4
black,O,4
eyes,O,4
withdraw,EVENT,4
so,O,4
suspiciously,O,4
under,O,4
their,O,4
brows,O,4
",",O,4
as,O,4
I,O,4
rode,EVENT,4
up,O,4
",",O,4
and,O,4
when,O,4
his,O,4
fingers,O,4
sheltered,EVENT,4
themselves,O,4
",",O,4
with,O,4
a,O,4
jealous,O,4
resolution,O,4
",",O,4
still,O,4
further,O,4
in,O,4
his,O,4
waistcoat,O,4
",",O,4
as,O,4
I,O,4
announced,EVENT,4
my,O,4
name,O,4
.,O,4
',O,5
Mr.,O,5
Heathcliff,O,5
?,O,5
',O,5
I,O,5
said,EVENT,5
.,O,5
A,O,6
nod,EVENT,6
was,O,6
the,O,6
answer,O,6
.,O,6
',O,7
Mr.,O,7
Lockwood,O,7
",",O,7
your,O,7
new,O,7
tenant,O,7
",",O,7
sir,O,7
.,O,7
I,O,8
do,O,8
myself,O,8
the,O,8
honour,O,8
of,O,8
calling,EVENT,8
as,O,8
soon,O,8
as,O,8
possible,O,8
after,O,8
my,O,8
arrival,EVENT,8
",",O,8
to,O,8
express,EVENT,8
the,O,8
hope,O,8
that,O,8
I,O,8
have,O,8
not,O,8
inconvenienced,O,8
you,O,8
by,O,8
my,O,8
perseverance,O,8
in,O,8
soliciting,O,8
the,O,8
occupation,O,8
of,O,8
Thrushcross,O,8
Grange,O,8
:,O,8
I,O,8
heard,EVENT,8
yesterday,O,8
you,O,8
had,O,8
had,O,8
some,O,8
thoughts,O,8
--,O,8
',O,8
',O,8
Thrushcross,O,8
Grange,O,8
is,O,8
my,O,8
own,O,8
",",O,8
sir,O,8
",",O,8
',O,8
he,O,8
interrupted,EVENT,8
",",O,8
wincing,EVENT,8
.,O,8
',O,9
I,O,9
should,O,9
not,O,9
allow,O,9
any,O,9
one,O,9
to,O,9
inconvenience,O,9
me,O,9
",",O,9
if,O,9
I,O,9
could,O,9
hinder,O,9
it,O,9
--,O,9
walk,O,9
in,O,9
!,O,9
',O,9
The,O,9
',O,9
walk,O,9
in,O,9
',O,9
was,O,9
uttered,EVENT,9
with,O,9
closed,O,9
teeth,O,9
",",O,9
and,O,9
expressed,O,9
the,O,9
sentiment,O,9
",",O,9
',O,9
Go,O,9
to,O,9
the,O,9
Deuce,O,9
:,O,9
',O,9
even,O,9
the,O,9
gate,O,9
over,O,9
which,O,9
he,O,9
leant,O,9
manifested,O,9
no,O,9
sympathising,O,9
movement,O,9
to,O,9
the,O,9
words,EVENT,9
;,O,9
and,O,9
I,O,9
think,O,9
that,O,9
circumstance,O,9
determined,EVENT,9
me,O,9
to,O,9
accept,O,9
the,O,9
