token,label,sentence
CHAPTER,O,0
I,O,0
.,O,0
YOU,O,1
do,O,1
n't,O,1
know,O,1
about,O,1
me,O,1
without,O,1
you,O,1
have,O,1
read,O,1
a,O,1
book,O,1
by,O,1
the,O,1
name,O,1
of,O,1
The,O,1
Adventures,O,1
of,O,1
Tom,O,1
Sawyer,O,1
;,O,1
but,O,1
that,O,1
ai,O,1
n't,O,1
no,O,1
matter,O,1
.,O,1
That,O,2
book,O,2
was,O,2
made,EVENT,2
by,O,2
Mr.,O,2
Mark,O,2
Twain,O,2
",",O,2
and,O,2
he,O,2
told,EVENT,2
the,O,2
truth,O,2
",",O,2
mainly,O,2
.,O,2
There,O,3
was,O,3
things,O,3
which,O,3
he,O,3
stretched,EVENT,3
",",O,3
but,O,3
mainly,O,3
he,O,3
told,EVENT,3
the,O,3
truth,O,3
.,O,3
That,O,4
is,O,4
nothing,O,4
.,O,4
I,O,5
never,O,5
seen,O,5
anybody,O,5
but,O,5
lied,O,5
one,O,5
time,O,5
or,O,5
another,O,5
",",O,5
without,O,5
it,O,5
was,O,5
Aunt,O,5
Polly,O,5
",",O,5
or,O,5
the,O,5
widow,O,5
",",O,5
or,O,5
maybe,O,5
Mary,O,5
.,O,5
Aunt,O,6
Polly,O,6
--,O,6
Tom,O,6
's,O,6
Aunt,O,6
Polly,O,6
",",O,6
she,O,6
is,O,6
--,O,6
and,O,6
Mary,O,6
",",O,6
and,O,6
the,O,6
Widow,O,6
Douglas,O,6
is,O,6
all,O,6
told,O,6
about,O,6
in,O,6
that,O,6
book,O,6
",",O,6
which,O,6
is,O,6
mostly,O,6
a,O,6
true,O,6
book,O,6
",",O,6
with,O,6
some,O,6
stretchers,O,6
",",O,6
as,O,6
I,O,6
said,O,6
before,O,6
.,O,6
Now,O,7
the,O,7
way,O,7
that,O,7
the,O,7
book,O,7
winds,O,7
up,O,7
is,O,7
this,O,7
:,O,7
Tom,O,7
and,O,7
me,O,7
found,EVENT,7
the,O,7
money,O,7
that,O,7
the,O,7
robbers,O,7
hid,EVENT,7
in,O,7
the,O,7
cave,O,7
",",O,7
and,O,7
it,O,7
made,EVENT,7
us,O,7
rich,O,7
.,O,7
We,O,8
got,EVENT,8
six,O,8
thousand,O,8
dollars,O,8
apiece,O,8
--,O,8
all,O,8
gold,O,8
.,O,8
It,O,9
was,O,9
an,O,9
awful,O,9
sight,O,9
of,O,9
money,O,9
when,O,9
it,O,9
was,O,9
piled,O,9
up,O,9
.,O,9
Well,O,10
",",O,10
Judge,O,10
Thatcher,O,10
he,O,10
took,EVENT,10
it,O,10
and,O,10
put,EVENT,10
it,O,10
out,O,10
at,O,10
interest,O,10
",",O,10
and,O,10
it,O,10
fetched,O,10
us,O,10
a,O,10
dollar,O,10
a,O,10
day,O,10
apiece,O,10
all,O,10
the,O,10
year,O,10
round,O,10
--,O,10
more,O,10
than,O,10
a,O,10
body,O,10
could,O,10
tell,O,10
what,O,10
to,O,10
do,O,10
with,O,10
.,O,10
The,O,11
Widow,O,11
Douglas,O,11
she,O,11
took,EVENT,11
me,O,11
for,O,11
her,O,11
son,O,11
",",O,11
and,O,11
allowed,O,11
she,O,11
would,O,11
sivilize,O,11
me,O,11
;,O,11
but,O,11
it,O,11
was,O,11
rough,O,11
living,O,11
in,O,11
the,O,11
house,O,11
all,O,11
the,O,11
time,O,11
",",O,11
considering,O,11
how,O,11
dismal,O,11
regular,O,11
and,O,11
decent,O,11
the,O,11
widow,O,11
was,O,11
in,O,11
all,O,11
her,O,11
ways,O,11
;,O,11
and,O,11
so,O,11
when,O,11
I,O,11
could,O,11
n't,O,11
stand,O,11
it,O,11
no,O,11
longer,O,11
I,O,11
lit,EVENT,11
out,O,11
.,O,11
I,O,12
got,EVENT,12
into,O,12
my,O,12
old,O,12
rags,O,12
and,O,12
my,O,12
sugar-hogshead,O,12
again,O,12
",",O,12
and,O,12
was,O,12
free,O,12
and,O,12
satisfied,O,12
