token,label,sentence
I,O,0
The,O,0
Old,O,0
Pyncheon,O,0
Family,O,0
HALFWAY,O,0
down,O,0
a,O,0
by-street,O,0
of,O,0
one,O,0
of,O,0
our,O,0
New,O,0
England,O,0
towns,O,0
stands,O,0
a,O,0
rusty,O,0
wooden,O,0
house,O,0
",",O,0
with,O,0
seven,O,0
acutely,O,0
peaked,O,0
gables,O,0
",",O,0
facing,O,0
towards,O,0
various,O,0
points,O,0
of,O,0
the,O,0
compass,O,0
",",O,0
and,O,0
a,O,0
huge,O,0
",",O,0
clustered,O,0
chimney,O,0
in,O,0
the,O,0
midst,O,0
.,O,0
The,O,1
street,O,1
is,O,1
Pyncheon,O,1
Street,O,1
;,O,1
the,O,1
house,O,1
is,O,1
the,O,1
old,O,1
Pyncheon,O,1
House,O,1
;,O,1
and,O,1
an,O,1
elm-tree,O,1
",",O,1
of,O,1
wide,O,1
circumference,O,1
",",O,1
rooted,O,1
before,O,1
the,O,1
door,O,1
",",O,1
is,O,1
familiar,O,1
to,O,1
every,O,1
town-born,O,1
child,O,1
by,O,1
the,O,1
title,O,1
of,O,1
the,O,1
Pyncheon,O,1
Elm,O,1
.,O,1
On,O,2
my,O,2
occasional,O,2
visits,O,2
to,O,2
the,O,2
town,O,2
aforesaid,O,2
",",O,2
I,O,2
seldom,O,2
failed,O,2
to,O,2
turn,O,2
down,O,2
Pyncheon,O,2
Street,O,2
",",O,2
for,O,2
the,O,2
sake,O,2
of,O,2
passing,O,2
through,O,2
the,O,2
shadow,O,2
of,O,2
these,O,2
two,O,2
antiquities,O,2
",",O,2
--,O,2
the,O,2
great,O,2
elm-tree,O,2
and,O,2
the,O,2
weather-beaten,O,2
edifice,O,2
.,O,2
The,O,3
aspect,O,3
of,O,3
the,O,3
venerable,O,3
mansion,O,3
has,O,3
always,O,3
affected,O,3
me,O,3
like,O,3
a,O,3
human,O,3
countenance,O,3
",",O,3
bearing,O,3
the,O,3
traces,O,3
not,O,3
merely,O,3
of,O,3
outward,O,3
storm,O,3
and,O,3
sunshine,O,3
",",O,3
but,O,3
expressive,O,3
also,O,3
",",O,3
of,O,3
the,O,3
long,O,3
lapse,O,3
of,O,3
mortal,O,3
life,O,3
",",O,3
and,O,3
accompanying,O,3
vicissitudes,O,3
that,O,3
have,O,3
passed,O,3
within,O,3
.,O,3
Were,O,4
these,O,4
to,O,4
be,O,4
worthily,O,4
recounted,O,4
",",O,4
they,O,4
would,O,4
form,O,4
a,O,4
narrative,O,4
of,O,4
no,O,4
small,O,4
interest,O,4
and,O,4
instruction,O,4
",",O,4
and,O,4
possessing,O,4
",",O,4
moreover,O,4
",",O,4
a,O,4
certain,O,4
remarkable,O,4
unity,O,4
",",O,4
which,O,4
might,O,4
almost,O,4
seem,O,4
the,O,4
result,O,4
of,O,4
artistic,O,4
arrangement,O,4
.,O,4
But,O,5
the,O,5
story,O,5
would,O,5
include,O,5
a,O,5
chain,O,5
of,O,5
events,O,5
extending,O,5
over,O,5
the,O,5
better,O,5
part,O,5
of,O,5
two,O,5
centuries,O,5
",",O,5
and,O,5
",",O,5
written,O,5
out,O,5
with,O,5
reasonable,O,5
amplitude,O,5
",",O,5
would,O,5
fill,O,5
a,O,5
bigger,O,5
folio,O,5
volume,O,5
",",O,5
or,O,5
a,O,5
longer,O,5
series,O,5
of,O,5
duodecimos,O,5
",",O,5
than,O,5
could,O,5
prudently,O,5
be,O,5
appropriated,O,5
to,O,5
the,O,5
annals,O,5
of,O,5
all,O,5
New,O,5
England,O,5
during,O,5
a,O,5
similar,O,5
period,O,5
.,O,5
It,O,6
consequently,O,6
becomes,O,6
imperative,O,6
to,O,6
make,O,6
short,O,6
work,O,6
with,O,6
most,O,6
of,O,6
the,O,6
traditionary,O,6
lore,O,6
of,O,6
which,O,6
the,O,6
old,O,6
Pyncheon,O,6
House,O,6
",",O,6
otherwise,O,6
known,O,6
as,O,6
the,O,6
House,O,6
of,O,6
the,O,6
Seven,O,6
Gables,O,6
",",O,6
has,O,6
been,O,6
the,O,6
theme,O,6
.,O,6
With,O,7
a,O,7
brief,O,7
sketch,O,7
",",O,7
therefore,O,7
",",O,7
of,O,7
the,O,7
circumstances,O,7
amid,O,7
which,O,7
the,O,7
foundation,O,7
of,O,7
the,O,7
house,O,7
was,O,7
laid,O,7
",",O,7
and,O,7
a,O,7
rapid,O,7
glimpse,O,7
at,O,7
its,O,7
quaint,O,7
exterior,O,7
",",O,7
as,O,7
it,O,7
grew,O,7
black,O,7
in,O,7
the,O,7
prevalent,O,7
east,O,7
wind,O,7
",",O,7
--,O,7
pointing,O,7
",",O,7
too,O,7
",",O,7
here,O,7
and,O,7
there,O,7
",",O,7
at,O,7
some,O,7
spot,O,7
of,O,7
more,O,7
verdant,O,7
mossiness,O,7
on,O,7
its,O,7
roof,O,7
and,O,7
walls,O,7
",",O,7
--,O,7
we,O,7
shall,O,7
commence,O,7
the,O,7
real,O,7
action,O,7
of,O,7
our,O,7
tale,O,7
at,O,7
an,O,7
epoch,O,7
not,O,7
very,O,7
remote,O,7
from,O,7
the,O,7
present,O,7
day,O,7
.,O,7
Still,O,8
",",O,8
there,O,8
will,O,8
be,O,8
a,O,8
connection,O,8
with,O,8
the,O,8
long,O,8
past,O,8
--,O,8
a,O,8
reference,O,8
to,O,8
forgotten,O,8
events,O,8
and,O,8
personages,O,8
",",O,8
and,O,8
to,O,8
manners,O,8
",",O,8
feelings,O,8
",",O,8
and,O,8
opinions,O,8
",",O,8
almost,O,8
or,O,8
wholly,O,8
obsolete,O,8
--,O,8
which,O,8
",",O,8
if,O,8
adequately,O,8
translated,O,8
to,O,8
the,O,8
reader,O,8
",",O,8
would,O,8
serve,O,8
to,O,8
illustrate,O,8
how,O,8
much,O,8
of,O,8
old,O,8
material,O,8
goes,O,8
to,O,8
make,O,8
up,O,8
the,O,8
freshest,O,8
novelty,O,8
of,O,8
human,O,8
life,O,8
.,O,8
Hence,O,9
",",O,9
too,O,9
",",O,9
might,O,9
be,O,9
drawn,O,9
a,O,9
weighty,O,9
lesson,O,9
from,O,9
the,O,9
little-regarded,O,9
truth,O,9
",",O,9
that,O,9
the,O,9
act,O,9
of,O,9
the,O,9
passing,O,9
generation,O,9
is,O,9
the,O,9
germ,O,9
which,O,9
may,O,9
and,O,9
must,O,9
produce,O,9
good,O,9
or,O,9
evil,O,9
fruit,O,9
in,O,9
a,O,9
far-distant,O,9
time,O,9
;,O,9
that,O,9
",",O,9
together,O,9
with,O,9
the,O,9
seed,O,9
of,O,9
the,O,9
merely,O,9
temporary,O,9
crop,O,9
",",O,9
which,O,9
mortals,O,9
term,O,9
expediency,O,9
",",O,9
they,O,9
inevitably,O,9
sow,O,9
the,O,9
acorns,O,9
of,O,9
a,O,9
more,O,9
enduring,O,9
growth,O,9
",",O,9
which,O,9
may,O,9
darkly,O,9
overshadow,O,9
their,O,9
posterity,O,9
.,O,9
The,O,10
House,O,10
of,O,10
the,O,10
Seven,O,10
Gables,O,10
",",O,10
antique,O,10
as,O,10
it,O,10
now,O,10
looks,O,10
",",O,10
was,O,10
not,O,10
the,O,10
first,O,10
habitation,O,10
erected,O,10
by,O,10
civilized,O,10
man,O,10
on,O,10
precisely,O,10
the,O,10
same,O,10
spot,O,10
of,O,10
ground,O,10
.,O,10
Pyncheon,O,11
Street,O,11
formerly,O,11
bore,O,11
the,O,11
humbler,O,11
appellation,O,11
of,O,11
Maule,O,11
's,O,11
Lane,O,11
",",O,11
from,O,11
the,O,11
name,O,11
of,O,11
the,O,11
original,O,11
occupant,O,11
of,O,11
the,O,11
soil,O,11
",",O,11
before,O,11
whose,O,11
cottage-door,O,11
it,O,11
was,O,11
a,O,11
cow-path,O,11
.,O,11
A,O,12
natural,O,12
spring,O,12
of,O,12
soft,O,12
and,O,12
pleasant,O,12
water,O,12
--,O,12
a,O,12
rare,O,12
treasure,O,12
on,O,12
the,O,12
sea-girt,O,12
peninsula,O,12
where,O,12
the,O,12
Puritan,O,12
settlement,O,12
was,O,12
made,O,12
--,O,12
had,O,12
early,O,12
induced,O,12
Matthew,O,12
Maule,O,12
to,O,12
build,EVENT,12
a,O,12
hut,O,12
",",O,12
shaggy,O,12
with,O,12
thatch,O,12
",",O,12
at,O,12
this,O,12
point,O,12
",",O,12
although,O,12
somewhat,O,12
too,O,12
remote,O,12
from,O,12
what,O,12
was,O,12
then,O,12
the,O,12
centre,O,12
of,O,12
the,O,12
village,O,12
.,O,12
In,O,13
the,O,13
growth,O,13
of,O,13
the,O,13
town,O,13
",",O,13
however,O,13
",",O,13
after,O,13
some,O,13
thirty,O,13
or,O,13
forty,O,13
years,O,13
",",O,13
the,O,13
site,O,13
covered,O,13
by,O,13
this,O,13
rude,O,13
hovel,O,13
had,O,13
become,O,13
exceedingly,O,13
desirable,O,13
in,O,13
the,O,13
eyes,O,13
of,O,13
a,O,13
prominent,O,13
and,O,13
powerful,O,13
personage,O,13
",",O,13
who,O,13
asserted,O,13
plausible,O,13
claims,O,13
to,O,13
the,O,13
proprietorship,O,13
of,O,13
this,O,13
and,O,13
a,O,13
large,O,13
adjacent,O,13
tract,O,13
of,O,13
land,O,13
",",O,13
on,O,13
the,O,13
strength,O,13
of,O,13
a,O,13
grant,O,13
from,O,13
the,O,13
legislature,O,13
.,O,13
Colonel,O,14
Pyncheon,O,14
",",O,14
the,O,14
claimant,O,14
",",O,14
as,O,14
we,O,14
gather,O,14
from,O,14
whatever,O,14
traits,O,14
of,O,14
him,O,14
are,O,14
preserved,O,14
",",O,14
was,O,14
characterized,O,14
by,O,14
an,O,14
iron,O,14
energy,O,14
of,O,14
purpose,O,14
.,O,14
Matthew,O,15
Maule,O,15
",",O,15
on,O,15
the,O,15
other,O,15
hand,O,15
",",O,15
though,O,15
an,O,15
obscure,O,15
man,O,15
",",O,15
was,O,15
stubborn,O,15
in,O,15
the,O,15
defence,O,15
of,O,15
what,O,15
he,O,15
considered,O,15
his,O,15
right,O,15
;,O,15
and,O,15
",",O,15
for,O,15
several,O,15
years,O,15
",",O,15
he,O,15
succeeded,O,15
in,O,15
protecting,O,15
the,O,15
acre,O,15
or,O,15
two,O,15
of,O,15
earth,O,15
which,O,15
",",O,15
with,O,15
his,O,15
own,O,15
toil,O,15
",",O,15
he,O,15
had,O,15
hewn,O,15
out,O,15
of,O,15
the,O,15
primeval,O,15
forest,O,15
",",O,15
to,O,15
be,O,15
his,O,15
garden,O,15
ground,O,15
and,O,15
homestead,O,15
.,O,15
No,O,16
written,O,16
record,O,16
of,O,16
this,O,16
dispute,O,16
is,O,16
known,O,16
to,O,16
be,O,16
in,O,16
existence,O,16
.,O,16
Our,O,17
acquaintance,O,17
with,O,17
the,O,17
whole,O,17
subject,O,17
is,O,17
derived,O,17
chiefly,O,17
from,O,17
tradition,O,17
.,O,17
It,O,18
would,O,18
be,O,18
bold,O,18
",",O,18
therefore,O,18
",",O,18
and,O,18
possibly,O,18
unjust,O,18
",",O,18
to,O,18
venture,O,18
a,O,18
decisive,O,18
opinion,O,18
as,O,18
to,O,18
its,O,18
merits,O,18
;,O,18
although,O,18
it,O,18
appears,O,18
to,O,18
have,O,18
been,O,18
at,O,18
least,O,18
a,O,18
matter,O,18
of,O,18
doubt,O,18
",",O,18
whether,O,18
Colonel,O,18
Pyncheon,O,18
's,O,18
claim,O,18
were,O,18
not,O,18
unduly,O,18
stretched,O,18
",",O,18
in,O,18
order,O,18
to,O,18
make,O,18
it,O,18
cover,O,18
the,O,18
small,O,18
metes,O,18
and,O,18
bounds,O,18
of,O,18
Matthew,O,18
Maule,O,18
.,O,18
What,O,19
greatly,O,19
strengthens,O,19
such,O,19
a,O,19
suspicion,O,19
is,O,19
the,O,19
fact,O,19
that,O,19
this,O,19
controversy,O,19
between,O,19
two,O,19
ill-matched,O,19
antagonists,O,19
--,O,19
at,O,19
a,O,19
period,O,19
",",O,19
moreover,O,19
",",O,19
laud,O,19
it,O,19
