token,label,sentence
Chapter,O,0
I,O,0
Out,O,0
to,O,0
Sea,O,0
I,O,0
had,O,0
this,O,0
story,O,0
from,O,0
one,O,0
who,O,0
had,O,0
no,O,0
business,O,0
to,O,0
tell,O,0
it,O,0
to,O,0
me,O,0
",",O,0
or,O,0
to,O,0
any,O,0
other,O,0
.,O,0
I,O,1
may,O,1
credit,O,1
the,O,1
seductive,O,1
influence,O,1
of,O,1
an,O,1
old,O,1
vintage,O,1
upon,O,1
the,O,1
narrator,O,1
for,O,1
the,O,1
beginning,O,1
of,O,1
it,O,1
",",O,1
and,O,1
my,O,1
own,O,1
skeptical,O,1
incredulity,O,1
during,O,1
the,O,1
days,O,1
that,O,1
followed,O,1
for,O,1
the,O,1
balance,O,1
of,O,1
the,O,1
strange,O,1
tale,O,1
.,O,1
When,O,2
my,O,2
convivial,O,2
host,O,2
discovered,EVENT,2
that,O,2
he,O,2
had,O,2
told,EVENT,2
me,O,2
so,O,2
much,O,2
",",O,2
and,O,2
that,O,2
I,O,2
was,O,2
prone,O,2
to,O,2
doubtfulness,O,2
",",O,2
his,O,2
foolish,O,2
pride,O,2
assumed,O,2
the,O,2
task,EVENT,2
the,O,2
old,O,2
vintage,O,2
had,O,2
commenced,EVENT,2
",",O,2
and,O,2
so,O,2
he,O,2
unearthed,EVENT,2
written,O,2
evidence,O,2
in,O,2
the,O,2
form,O,2
of,O,2
musty,O,2
manuscript,O,2
",",O,2
and,O,2
dry,O,2
official,O,2
records,O,2
of,O,2
the,O,2
British,O,2
Colonial,O,2
Office,O,2
to,O,2
support,O,2
many,O,2
of,O,2
the,O,2
salient,O,2
features,O,2
of,O,2
his,O,2
remarkable,O,2
narrative,O,2
.,O,2
I,O,3
do,O,3
not,O,3
say,O,3
the,O,3
story,O,3
is,O,3
true,O,3
",",O,3
for,O,3
I,O,3
did,O,3
not,O,3
witness,O,3
the,O,3
happenings,O,3
which,O,3
it,O,3
portrays,O,3
",",O,3
but,O,3
the,O,3
fact,O,3
that,O,3
in,O,3
the,O,3
telling,O,3
of,O,3
it,O,3
to,O,3
you,O,3
I,O,3
have,O,3
taken,O,3
fictitious,O,3
names,O,3
for,O,3
the,O,3
principal,O,3
characters,O,3
quite,O,3
sufficiently,O,3
evidences,O,3
the,O,3
sincerity,O,3
of,O,3
my,O,3
own,O,3
belief,O,3
that,O,3
it,O,3
MAY,O,3
be,O,3
true,O,3
.,O,3
The,O,4
yellow,O,4
",",O,4
mildewed,O,4
pages,O,4
of,O,4
the,O,4
diary,O,4
of,O,4
a,O,4
man,O,4
long,O,4
dead,O,4
",",O,4
and,O,4
the,O,4
records,O,4
of,O,4
the,O,4
Colonial,O,4
Office,O,4
dovetail,O,4
perfectly,O,4
with,O,4
the,O,4
narrative,O,4
of,O,4
my,O,4
convivial,O,4
host,O,4
",",O,4
and,O,4
so,O,4
I,O,4
give,EVENT,4
you,O,4
the,O,4
story,O,4
as,O,4
I,O,4
painstakingly,O,4
pieced,O,4
it,O,4
out,O,4
from,O,4
these,O,4
several,O,4
various,O,4
agencies,O,4
.,O,4
If,O,5
you,O,5
do,O,5
not,O,5
find,O,5
it,O,5
credible,O,5
you,O,5
will,O,5
at,O,5
least,O,5
be,O,5
as,O,5
one,O,5
with,O,5
me,O,5
in,O,5
acknowledging,O,5
that,O,5
it,O,5
is,O,5
unique,O,5
",",O,5
remarkable,O,5
",",O,5
and,O,5
interesting,O,5
.,O,5
From,O,6
the,O,6
records,O,6
of,O,6
the,O,6
Colonial,O,6
Office,O,6
and,O,6
from,O,6
the,O,6
dead,O,6
man,O,6
's,O,6
diary,O,6
we,O,6
learn,O,6
that,O,6
a,O,6
certain,O,6
young,O,6
English,O,6
nobleman,O,6
",",O,6
whom,O,6
we,O,6
shall,O,6
call,O,6
John,O,6
Clayton,O,6
",",O,6
Lord,O,6
Greystoke,O,6
",",O,6
was,O,6
commissioned,EVENT,6
to,O,6
make,O,6
