token,label,sentence
BOOK,O,0
ONE,O,0
--,O,0
The,O,0
Romantic,O,0
Egotist,O,0
CHAPTER,O,0
1,O,0
.,O,0
Amory,O,1
",",O,1
Son,O,1
of,O,1
Beatrice,O,1
Amory,O,1
Blaine,O,1
inherited,O,1
from,O,1
his,O,1
mother,O,1
every,O,1
trait,O,1
",",O,1
except,O,1
the,O,1
stray,O,1
inexpressible,O,1
few,O,1
",",O,1
that,O,1
made,O,1
him,O,1
worth,O,1
while,O,1
.,O,1
His,O,2
father,O,2
",",O,2
an,O,2
ineffectual,O,2
",",O,2
inarticulate,O,2
man,O,2
with,O,2
a,O,2
taste,O,2
for,O,2
Byron,O,2
and,O,2
a,O,2
habit,O,2
of,O,2
drowsing,O,2
over,O,2
the,O,2
Encyclopedia,O,2
Britannica,O,2
",",O,2
grew,O,2
wealthy,O,2
at,O,2
thirty,O,2
through,O,2
the,O,2
death,O,2
of,O,2
two,O,2
elder,O,2
brothers,O,2
",",O,2
successful,O,2
Chicago,O,2
brokers,O,2
",",O,2
and,O,2
in,O,2
the,O,2
first,O,2
flush,O,2
of,O,2
feeling,EVENT,2
that,O,2
the,O,2
world,O,2
was,O,2
his,O,2
",",O,2
went,EVENT,2
to,O,2
Bar,O,2
Harbor,O,2
and,O,2
met,EVENT,2
Beatrice,O,2
O'Hara,O,2
.,O,2
In,O,3
consequence,O,3
",",O,3
Stephen,O,3
Blaine,O,3
handed,O,3
down,O,3
to,O,3
posterity,O,3
his,O,3
height,O,3
of,O,3
just,O,3
under,O,3
six,O,3
feet,O,3
and,O,3
his,O,3
tendency,O,3
to,O,3
waver,O,3
at,O,3
crucial,O,3
moments,O,3
",",O,3
these,O,3
two,O,3
abstractions,O,3
appearing,O,3
in,O,3
his,O,3
son,O,3
Amory,O,3
.,O,3
For,O,4
many,O,4
years,O,4
he,O,4
hovered,O,4
in,O,4
the,O,4
background,O,4
of,O,4
his,O,4
family,O,4
's,O,4
life,O,4
",",O,4
an,O,4
unassertive,O,4
figure,O,4
with,O,4
a,O,4
face,O,4
half-obliterated,O,4
by,O,4
lifeless,O,4
",",O,4
silky,O,4
hair,O,4
",",O,4
continually,O,4
occupied,O,4
in,O,4
“,O,4
taking,O,4
care,O,4
”,O,4
of,O,4
his,O,4
wife,O,4
",",O,4
continually,O,4
harassed,O,4
by,O,4
the,O,4
idea,O,4
that,O,4
he,O,4
did,O,4
n't,O,4
and,O,4
could,O,4
n't,O,4
understand,O,4
her,O,4
.,O,4
But,O,5
Beatrice,O,5
Blaine,O,5
!,O,5
There,O,5
was,O,5
a,O,5
woman,O,5
!,O,5
Early,O,5
pictures,O,5
taken,O,5
on,O,5
her,O,5
father,O,5
's,O,5
estate,O,5
at,O,5
Lake,O,5
Geneva,O,5
",",O,5
Wisconsin,O,5
",",O,5
or,O,5
in,O,5
Rome,O,5
at,O,5
the,O,5
Sacred,O,5
Heart,O,5
Convent,O,5
--,O,5
an,O,5
educational,O,5
extravagance,O,5
that,O,5
in,O,5
her,O,5
youth,O,5
was,O,5
only,O,5
for,O,5
the,O,5
daughters,O,5
of,O,5
the,O,5
exceptionally,O,5
wealthy,O,5
--,O,5
showed,O,5
the,O,5
exquisite,O,5
delicacy,O,5
of,O,5
her,O,5
features,O,5
",",O,5
the,O,5
consummate,O,5
art,O,5
and,O,5
simplicity,O,5
of,O,5
her,O,5
clothes,O,5
.,O,5
A,O,6
brilliant,O,6
education,O,6
she,O,6
had,O,6
--,O,6
her,O,6
youth,O,6
passed,O,6
in,O,6
renaissance,O,6
glory,O,6
",",O,6
she,O,6
was,O,6
versed,O,6
in,O,6
the,O,6
latest,O,6
gossip,O,6
of,O,6
the,O,6
Older,O,6
Roman,O,6
Families,O,6
;,O,6
known,O,6
by,O,6
name,O,6
as,O,6
a,O,6
fabulously,O,6
wealthy,O,6
American,O,6
girl,O,6
to,O,6
Cardinal,O,6
Vitori,O,6
and,O,6
Queen,O,6
Margherita,O,6
and,O,6
more,O,6
subtle,O,6
celebrities,O,6
that,O,6
one,O,6
must,O,6
have,O,6
had,O,6
some,O,6
culture,O,6
even,O,6
to,O,6
have,O,6
heard,O,6
of,O,6
.,O,6
She,O,7
learned,O,7
in,O,7
England,O,7
to,O,7
prefer,O,7
whiskey,O,7
and,O,7
soda,O,7
to,O,7
wine,O,7
",",O,7
and,O,7
her,O,7
small,O,7
talk,O,7
was,O,7
broadened,O,7
in,O,7
two,O,7
senses,O,7
during,O,7
a,O,7
winter,O,7
in,O,7
Vienna,O,7
.,O,7
All,O,8
in,O,8
all,O,8
Beatrice,O,8
O'Hara,O,8
absorbed,O,8
the,O,8
sort,O,8
of,O,8
education,O,8
that,O,8
will,O,8
be,O,8
quite,O,8
impossible,O,8
ever,O,8
again,O,8
;,O,8
a,O,8
tutelage,O,8
measured,O,8
by,O,8
the,O,8
number,O,8
of,O,8
things,O,8
and,O,8
people,O,8
one,O,8
could,O,8
be,O,8
contemptuous,O,8
of,O,8
and,O,8
charming,O,8
about,O,8
;,O,8
a,O,8
culture,O,8
rich,O,8
in,O,8
all,O,8
arts,O,8
and,O,8
traditions,O,8
",",O,8
barren,O,8
of,O,8
all,O,8
ideas,O,8
",",O,8
in,O,8
the,O,8
last,O,8
of,O,8
those,O,8
days,O,8
when,O,8
the,O,8
great,O,8
gardener,O,8
clipped,O,8
the,O,8
inferior,O,8
roses,O,8
to,O,8
produce,O,8
one,O,8
perfect,O,8
bud,O,8
.,O,8
In,O,9
her,O,9
less,O,9
important,O,9
moments,O,9
she,O,9
returned,EVENT,9
to,O,9
America,O,9
",",O,9
met,EVENT,9
Stephen,O,9
Blaine,O,9
and,O,9
married,EVENT,9
him,O,9
--,O,9
this,O,9
almost,O,9
entirely,O,9
because,O,9
she,O,9
was,O,9
a,O,9
little,O,9
bit,O,9
weary,O,9
",",O,9
a,O,9
little,O,9
bit,O,9
sad,O,9
.,O,9
Her,O,10
only,O,10
child,O,10
was,O,10
carried,O,10
through,O,10
a,O,10
tiresome,O,10
season,O,10
and,O,10
brought,EVENT,10
into,O,10
the,O,10
world,O,10
on,O,10
a,O,10
spring,O,10
day,O,10
in,O,10
ninety-six,O,10
.,O,10
When,O,11
Amory,O,11
was,O,11
five,O,11
he,O,11
was,O,11
already,O,11
a,O,11
delightful,O,11
companion,O,11
for,O,11
her,O,11
.,O,11
He,O,12
was,O,12
an,O,12
auburn-haired,O,12
boy,O,12
",",O,12
with,O,12
great,O,12
",",O,12
handsome,O,12
eyes,O,12
which,O,12
he,O,12
would,O,12
grow,O,12
up,O,12
to,O,12
in,O,12
time,O,12
",",O,12
a,O,12
facile,O,12
imaginative,O,12
mind,O,12
and,O,12
a,O,12
taste,O,12
for,O,12
fancy,O,12
dress,O,12
.,O,12
From,O,13
his,O,13
fourth,O,13
to,O,13
his,O,13
tenth,O,13
year,O,13
he,O,13
did,O,13
the,O,13
country,O,13
with,O,13
his,O,13
mother,O,13
in,O,13
her,O,13
father,O,13
's,O,13
private,O,13
car,O,13
",",O,13
from,O,13
Coronado,O,13
",",O,13
where,O,13
his,O,13
mother,O,13
became,O,13
so,O,13
bored,EVENT,13
that,O,13
she,O,13
had,O,13
a,O,13
nervous,O,13
breakdown,EVENT,13
in,O,13
a,O,13
fashionable,O,13
hotel,O,13
",",O,13
down,O,13
to,O,13
Mexico,O,13
City,O,13
",",O,13
where,O,13
she,O,13
took,O,13
a,O,13
mild,O,13
",",O,13
almost,O,13
epidemic,O,13
consumption,EVENT,13
.,O,13
This,O,14
trouble,O,14
pleased,O,14
her,O,14
",",O,14
and,O,14
later,O,14
she,O,14
made,O,14
use,O,14
of,O,14
it,O,14
as,O,14
an,O,14
intrinsic,O,14
part,O,14
of,O,14
her,O,14
atmosphere,O,14
--,O,14
especially,O,14
after,O,14
several,O,14
astounding,O,14
bracers,O,14
.,O,14
So,O,15
",",O,15
while,O,15
more,O,15
or,O,15
less,O,15
fortunate,O,15
little,O,15
rich,O,15
boys,O,15
were,O,15
defying,O,15
governesses,O,15
on,O,15
the,O,15
beach,O,15
at,O,15
Newport,O,15
",",O,15
or,O,15
being,O,15
spanked,O,15
or,O,15
tutored,O,15
or,O,15
read,O,15
to,O,15
from,O,15
“,O,15
Do,O,15
and,O,15
Dare,O,15
",",O,15
”,O,15
or,O,15
“,O,15
Frank,O,15
on,O,15
the,O,15
Mississippi,O,15
",",O,15
”,O,15
Amory,O,15
was,O,15
biting,O,15
