token,label,sentence
PART,O,0
I,O,0
.,O,0
A,O,1
VOYAGE,O,1
TO,O,1
LILLIPUT,O,1
.,O,1
CHAPTER,O,2
I,O,2
.,O,2
The,O,3
author,O,3
gives,EVENT,3
some,O,3
account,O,3
of,O,3
himself,O,3
and,O,3
family,O,3
.,O,3
His,O,4
first,O,4
inducements,O,4
to,O,4
travel,O,4
.,O,4
He,O,5
is,O,5
shipwrecked,EVENT,5
",",O,5
and,O,5
swims,EVENT,5
for,O,5
his,O,5
life,O,5
.,O,5
Gets,EVENT,6
safe,O,6
on,O,6
shore,O,6
in,O,6
the,O,6
country,O,6
of,O,6
Lilliput,O,6
;,O,6
is,O,6
made,EVENT,6
a,O,6
prisoner,O,6
",",O,6
and,O,6
carried,EVENT,6
up,O,6
the,O,6
country,O,6
.,O,6
My,O,7
father,O,7
had,O,7
a,O,7
small,O,7
estate,O,7
in,O,7
Nottinghamshire,O,7
:,O,7
I,O,7
was,O,7
the,O,7
third,O,7
of,O,7
five,O,7
sons,O,7
.,O,7
He,O,8
sent,EVENT,8
me,O,8
to,O,8
Emanuel,O,8
College,O,8
in,O,8
Cambridge,O,8
at,O,8
fourteen,O,8
years,O,8
old,O,8
",",O,8
where,O,8
I,O,8
resided,O,8
three,O,8
years,O,8
",",O,8
and,O,8
applied,O,8
myself,O,8
close,O,8
to,O,8
my,O,8
studies,O,8
;,O,8
but,O,8
the,O,8
charge,O,8
of,O,8
maintaining,O,8
me,O,8
",",O,8
although,O,8
I,O,8
had,O,8
a,O,8
very,O,8
scanty,O,8
allowance,O,8
",",O,8
being,O,8
too,O,8
great,O,8
for,O,8
a,O,8
narrow,O,8
fortune,O,8
",",O,8
I,O,8
was,O,8
bound,EVENT,8
apprentice,O,8
to,O,8
Mr.,O,8
James,O,8
Bates,O,8
",",O,8
an,O,8
eminent,O,8
surgeon,O,8
in,O,8
London,O,8
",",O,8
with,O,8
whom,O,8
I,O,8
continued,O,8
four,O,8
years,O,8
.,O,8
My,O,9
father,O,9
now,O,9
and,O,9
then,O,9
sending,O,9
me,O,9
small,O,9
sums,O,9
of,O,9
money,O,9
",",O,9
I,O,9
laid,O,9
them,O,9
out,O,9
in,O,9
learning,O,9
navigation,O,9
",",O,9
and,O,9
other,O,9
parts,O,9
of,O,9
the,O,9
mathematics,O,9
",",O,9
useful,O,9
to,O,9
those,O,9
who,O,9
intend,O,9
to,O,9
travel,O,9
",",O,9
as,O,9
I,O,9
always,O,9
believed,O,9
it,O,9
would,O,9
be,O,9
",",O,9
some,O,9
time,O,9
or,O,9
other,O,9
",",O,9
my,O,9
fortune,O,9
to,O,9
do,O,9
.,O,9
When,O,10
I,O,10
left,EVENT,10
Mr.,O,10
Bates,O,10
",",O,10
I,O,10
went,EVENT,10
down,O,10
to,O,10
my,O,10
father,O,10
:,O,10
where,O,10
",",O,10
by,O,10
the,O,10
assistance,O,10
of,O,10
him,O,10
and,O,10
my,O,10
uncle,O,10
John,O,10
",",O,10
and,O,10
some,O,10
other,O,10
relations,O,10
",",O,10
I,O,10
got,EVENT,10
forty,O,10
pounds,O,10
",",O,10
and,O,10
a,O,10
promise,EVENT,10
of,O,10
thirty,O,10
pounds,O,10
a,O,10
year,O,10
to,O,10
maintain,O,10
me,O,10
at,O,10
Leyden,O,10
:,O,10
there,O,10
I,O,10
studied,O,10
physic,O,10
two,O,10
years,O,10
and,O,10
seven,O,10
months,O,10
",",O,10
knowing,O,10
it,O,10
would,O,10
be,O,10
useful,O,10
in,O,10
long,O,10
voyages,O,10
.,O,10
Soon,O,11
after,O,11
my,O,11
return,EVENT,11
from,O,11
Leyden,O,11
",",O,11
I,O,11
was,O,11
recommended,EVENT,11
by,O,11
my,O,11
good,O,11
master,O,11
",",O,11
Mr.,O,11
Bates,O,11
",",O,11
to,O,11
be,O,11
surgeon,O,11
to,O,11
the,O,11
Swallow,O,11
",",O,11
Captain,O,11
Abraham,O,11
Pannel,O,11
",",O,11
commander,O,11
;,O,11
with,O,11
whom,O,11
I,O,11
continued,O,11
three,O,11
years,O,11
and,O,11
a,O,11
half,O,11
",",O,11
making,O,11
a,O,11
voyage,O,11
or,O,11
two,O,11
into,O,11
the,O,11
Levant,O,11
",",O,11
and,O,11
some,O,11
other,O,11
parts,O,11
.,O,11
When,O,12
I,O,12
came,EVENT,12
back,O,12
I,O,12
resolved,EVENT,12
to,O,12
settle,O,12
in,O,12
London,O,12
;,O,12
to,O,12
which,O,12
Mr.,O,12
Bates,O,12
",",O,12
my,O,12
master,O,12
",",O,12
encouraged,EVENT,12
me,O,12
",",O,12
and,O,12
by,O,12
him,O,12
I,O,12
was,O,12
recommended,EVENT,12
to,O,12
several,O,12
patients,O,12
.,O,12
I,O,13
took,EVENT,13
part,O,13
of,O,13
a,O,13
small,O,13
house,O,13
in,O,13
the,O,13
Old,O,13
Jewry,O,13
;,O,13
and,O,13
being,O,13
advised,EVENT,13
to,O,13
alter,O,13
my,O,13
condition,O,13
",",O,13
I,O,13
married,EVENT,13
Mrs.,O,13
Mary,O,13
Burton,O,13
",",O,13
second,O,13
daughter,O,13
to,O,13
Mr.,O,13
Edmund,O,13
Burton,O,13
",",O,13
hosier,O,13
",",O,13
in,O,13
Newgate-street,O,13
",",O,13
with,O,13
whom,O,13
