token,label,sentence
Letter,O,0
1,O,0
St.,O,0
Petersburgh,O,0
",",O,0
Dec.,O,0
11th,O,0
",",O,0
17,O,0
--,O,0
TO,O,0
Mrs.,O,0
Saville,O,0
",",O,0
England,O,0
You,O,0
will,O,0
rejoice,O,0
to,O,0
hear,O,0
that,O,0
no,O,0
disaster,O,0
has,O,0
accompanied,O,0
the,O,0
commencement,EVENT,0
of,O,0
an,O,0
enterprise,EVENT,0
which,O,0
you,O,0
have,O,0
regarded,O,0
with,O,0
such,O,0
evil,O,0
forebodings,O,0
.,O,0
I,O,1
arrived,EVENT,1
here,O,1
yesterday,O,1
",",O,1
and,O,1
my,O,1
first,O,1
task,O,1
is,O,1
to,O,1
assure,O,1
my,O,1
dear,O,1
sister,O,1
of,O,1
my,O,1
welfare,O,1
and,O,1
increasing,O,1
confidence,O,1
in,O,1
the,O,1
success,O,1
of,O,1
my,O,1
undertaking,O,1
.,O,1
I,O,2
am,O,2
already,O,2
far,O,2
north,O,2
of,O,2
London,O,2
",",O,2
and,O,2
as,O,2
I,O,2
walk,O,2
in,O,2
the,O,2
streets,O,2
of,O,2
Petersburgh,O,2
",",O,2
I,O,2
feel,O,2
a,O,2
cold,O,2
northern,O,2
breeze,O,2
play,O,2
upon,O,2
my,O,2
cheeks,O,2
",",O,2
which,O,2
braces,O,2
my,O,2
nerves,O,2
and,O,2
fills,O,2
me,O,2
with,O,2
delight,O,2
.,O,2
Do,O,3
you,O,3
understand,O,3
this,O,3
feeling,O,3
?,O,3
This,O,3
breeze,O,3
",",O,3
which,O,3
has,O,3
travelled,O,3
from,O,3
the,O,3
regions,O,3
towards,O,3
which,O,3
I,O,3
am,O,3
advancing,O,3
",",O,3
gives,O,3
me,O,3
a,O,3
foretaste,O,3
of,O,3
those,O,3
icy,O,3
climes,O,3
.,O,3
Inspirited,O,4
by,O,4
this,O,4
wind,O,4
of,O,4
promise,O,4
",",O,4
my,O,4
daydreams,O,4
become,O,4
more,O,4
fervent,O,4
and,O,4
vivid,O,4
.,O,4
