token,label,sentence
A,O,0
cloudy,O,0
day,O,0
:,O,0
do,O,0
you,O,0
know,O,0
what,O,0
that,O,0
is,O,0
in,O,0
a,O,0
town,O,0
of,O,0
iron-works,O,0
?,O,0
The,O,0
sky,O,0
sank,O,0
down,O,0
before,O,0
dawn,O,0
",",O,0
muddy,O,0
",",O,0
flat,O,0
",",O,0
immovable,O,0
.,O,0
The,O,1
air,O,1
is,O,1
thick,O,1
",",O,1
clammy,O,1
with,O,1
the,O,1
breath,O,1
of,O,1
crowded,O,1
human,O,1
beings,O,1
.,O,1
It,O,2
stifles,EVENT,2
me,O,2
.,O,2
I,O,3
open,EVENT,3
the,O,3
window,O,3
",",O,3
and,O,3
",",O,3
looking,EVENT,3
out,O,3
",",O,3
can,O,3
scarcely,O,3
see,EVENT,3
through,O,3
the,O,3
rain,EVENT,3
the,O,3
grocer,O,3
's,O,3
shop,O,3
opposite,O,3
",",O,3
where,O,3
a,O,3
crowd,O,3
of,O,3
drunken,O,3
Irishmen,O,3
are,O,3
puffing,EVENT,3
Lynchburg,O,3
tobacco,O,3
in,O,3
their,O,3
pipes,O,3
.,O,3
I,O,4
can,O,4
detect,EVENT,4
the,O,4
scent,EVENT,4
through,O,4
all,O,4
the,O,4
foul,O,4
smells,EVENT,4
ranging,O,4
loose,O,4
in,O,4
the,O,4
air,O,4
.,O,4
The,O,5
idiosyncrasy,O,5
of,O,5
this,O,5
town,O,5
is,O,5
smoke,O,5
.,O,5
It,O,6
rolls,O,6
sullenly,O,6
in,O,6
slow,O,6
folds,O,6
from,O,6
the,O,6
great,O,6
chimneys,O,6
of,O,6
the,O,6
iron-foundries,O,6
",",O,6
and,O,6
settles,O,6
down,O,6
in,O,6
black,O,6
",",O,6
slimy,O,6
pools,O,6
on,O,6
the,O,6
muddy,O,6
streets,O,6
.,O,6
Smoke,O,7
on,O,7
the,O,7
wharves,O,7
",",O,7
smoke,O,7
on,O,7
the,O,7
dingy,O,7
boats,O,7
",",O,7
on,O,7
the,O,7
yellow,O,7
river,O,7
",",O,7
--,O,7
clinging,O,7
in,O,7
a,O,7
coating,O,7
of,O,7
greasy,O,7
soot,O,7
to,O,7
the,O,7
