token,label,sentence
Chapter,O,0
I,O,0
Major,O,0
Amberson,O,0
had,O,0
“,O,0
made,O,0
a,O,0
fortune,O,0
”,O,0
in,O,0
1873,O,0
",",O,0
when,O,0
other,O,0
people,O,0
were,O,0
losing,O,0
fortunes,O,0
",",O,0
and,O,0
the,O,0
magnificence,O,0
of,O,0
the,O,0
Ambersons,O,0
began,O,0
then,O,0
.,O,0
Magnificence,O,1
",",O,1
like,O,1
the,O,1
size,O,1
of,O,1
a,O,1
fortune,O,1
",",O,1
is,O,1
always,O,1
comparative,O,1
",",O,1
as,O,1
even,O,1
Magnificent,O,1
Lorenzo,O,1
may,O,1
now,O,1
perceive,O,1
",",O,1
if,O,1
he,O,1
has,O,1
happened,O,1
to,O,1
haunt,O,1
New,O,1
York,O,1
in,O,1
1916,O,1
;,O,1
and,O,1
the,O,1
Ambersons,O,1
were,O,1
magnificent,O,1
in,O,1
their,O,1
day,O,1
and,O,1
place,O,1
.,O,1
Their,O,2
splendour,O,2
lasted,O,2
throughout,O,2
all,O,2
the,O,2
years,O,2
that,O,2
saw,O,2
their,O,2
Midland,O,2
town,O,2
spread,O,2
and,O,2
darken,O,2
into,O,2
a,O,2
city,O,2
",",O,2
but,O,2
reached,O,2
its,O,2
topmost,O,2
during,O,2
the,O,2
period,O,2
when,O,2
every,O,2
prosperous,O,2
family,O,2
with,O,2
children,O,2
kept,O,2
a,O,2
Newfoundland,O,2
dog,O,2
.,O,2
In,O,3
that,O,3
town,O,3
",",O,3
in,O,3
those,O,3
days,O,3
",",O,3
all,O,3
the,O,3
women,O,3
who,O,3
wore,O,3
silk,O,3
or,O,3
velvet,O,3
knew,O,3
all,O,3
the,O,3
other,O,3
women,O,3
who,O,3
wore,O,3
silk,O,3
or,O,3
velvet,O,3
",",O,3
and,O,3
when,O,3
there,O,3
was,O,3
a,O,3
new,O,3
purchase,O,3
of,O,3
sealskin,O,3
",",O,3
sick,O,3
people,O,3
were,O,3
got,O,3
to,O,3
windows,O,3
to,O,3
see,O,3
it,O,3
go,O,3
by,O,3
.,O,3
Trotters,O,4
were,O,4
out,O,4
",",O,4
in,O,4
the,O,4
winter,O,4
afternoons,O,4
",",O,4
racing,O,4
light,O,4
sleighs,O,4
on,O,4
National,O,4
Avenue,O,4
and,O,4
Tennessee,O,4
Street,O,4
;,O,4
everybody,O,4
recognized,O,4
both,O,4
the,O,4
trotters,O,4
and,O,4
the,O,4
drivers,O,4
;,O,4
and,O,4
again,O,4
knew,O,4
them,O,4
as,O,4
well,O,4
on,O,4
summer,O,4
evenings,O,4
",",O,4
when,O,4
slim,O,4
buggies,O,4
whizzed,O,4
by,O,4
in,O,4
renewals,O,4
of,O,4
the,O,4
snow-time,O,4
rivalry,O,4
.,O,4
For,O,5
that,O,5
matter,O,5
",",O,5
everybody,O,5
knew,O,5
everybody,O,5
else,O,5
's,O,5
family,O,5
horse-and-carriage,O,5
",",O,5
could,O,5
identify,O,5
such,O,5
a,O,5
silhouette,O,5
half,O,5
a,O,5
mile,O,5
down,O,5
the,O,5
street,O,5
",",O,5
and,O,5
thereby,O,5
was,O,5
sure,O,5
who,O,5
was,O,5
going,O,5
to,O,5
market,O,5
",",O,5
or,O,5
to,O,5
a,O,5
reception,O,5
",",O,5
or,O,5
coming,O,5
home,O,5
from,O,5
office,O,5
or,O,5
store,O,5
to,O,5
noon,O,5
dinner,O,5
or,O,5
evening,O,5
supper,O,5
.,O,5
During,O,6
the,O,6
earlier,O,6
years,O,6
of,O,6
this,O,6
period,O,6
",",O,6
elegance,O,6
of,O,6
personal,O,6
appearance,O,6
was,O,6
believed,O,6
to,O,6
rest,O,6
more,O,6
upon,O,6
the,O,6
texture,O,6
of,O,6
garments,O,6
than,O,6
upon,O,6
their,O,6
shaping,O,6
.,O,6
A,O,7
silk,O,7
dress,O,7
needed,O,7
no,O,7
remodelling,O,7
when,O,7
it,O,7
was,O,7
a,O,7
year,O,7
