token,label,sentence
During,O,0
the,O,0
whole,O,0
of,O,0
a,O,0
dull,O,0
",",O,0
dark,O,0
",",O,0
and,O,0
soundless,O,0
day,O,0
in,O,0
the,O,0
autumn,O,0
of,O,0
the,O,0
year,O,0
",",O,0
when,O,0
the,O,0
clouds,O,0
hung,O,0
oppressively,O,0
low,O,0
in,O,0
the,O,0
heavens,O,0
",",O,0
I,O,0
had,O,0
been,O,0
passing,EVENT,0
alone,O,0
",",O,0
on,O,0
horseback,O,0
",",O,0
through,O,0
a,O,0
singularly,O,0
dreary,O,0
tract,O,0
of,O,0
country,O,0
;,O,0
and,O,0
at,O,0
length,O,0
found,EVENT,0
myself,O,0
",",O,0
as,O,0
the,O,0
shades,O,0
of,O,0
the,O,0
evening,O,0
drew,O,0
on,O,0
",",O,0
within,O,0
view,O,0
of,O,0
the,O,0
melancholy,O,0
House,O,0
of,O,0
Usher,O,0
.,O,0
I,O,1
know,O,1
not,O,1
how,O,1
it,O,1
was,O,1
--,O,1
but,O,1
",",O,1
with,O,1
the,O,1
first,O,1
glimpse,EVENT,1
of,O,1
the,O,1
building,O,1
",",O,1
a,O,1
sense,O,1
of,O,1
insufferable,O,1
gloom,EVENT,1
pervaded,O,1
my,O,1
spirit,O,1
.,O,1
I,O,2
say,O,2
insufferable,O,2
;,O,2
for,O,2
the,O,2
feeling,O,2
was,O,2
unrelieved,O,2
by,O,2
any,O,2
of,O,2
that,O,2
half-pleasureable,O,2
",",O,2
because,O,2
poetic,O,2
",",O,2
sentiment,O,2
",",O,2
with,O,2
which,O,2
the,O,2
mind,O,2
usually,O,2
receives,O,2
even,O,2
the,O,2
sternest,O,2
natural,O,2
images,O,2
of,O,2
the,O,2
desolate,O,2
or,O,2
terrible,O,2
.,O,2
I,O,3
looked,EVENT,3
upon,O,3
the,O,3
scene,O,3
before,O,3
me,O,3
--,O,3
upon,O,3
the,O,3
mere,O,3
house,O,3
",",O,3
and,O,3
the,O,3
simple,O,3
landscape,O,3
features,O,3
of,O,3
the,O,3
domain,O,3
--,O,3
upon,O,3
the,O,3
bleak,O,3
walls,O,3
--,O,3
upon,O,3
the,O,3
vacant,O,3
eye-like,O,3
windows,O,3
--,O,3
upon,O,3
a,O,3
few,O,3
rank,O,3
sedges,O,3
--,O,3
and,O,3
upon,O,3
a,O,3
few,O,3
white,O,3
trunks,O,3
of,O,3
decayed,O,3
trees,O,3
--,O,3
with,O,3
an,O,3
utter,O,3
depression,O,3
of,O,3
soul,O,3
which,O,3
I,O,3
can,O,3
compare,O,3
to,O,3
no,O,3
earthly,O,3
sensation,O,3
more,O,3
properly,O,3
than,O,3
to,O,3
the,O,3
after-dream,O,3
of,O,3
the,O,3
reveller,O,3
upon,O,3
opium,O,3
--,O,3
the,O,3
bitter,O,3
lapse,O,3
into,O,3
everyday,O,3
life,O,3
--,O,3
the,O,3
hideous,O,3
dropping,O,3
off,O,3
of,O,3
the,O,3
veil,O,3
.,O,3
There,O,4
was,O,4
an,O,4
iciness,O,4
",",O,4
a,O,4
sinking,O,4
",",O,4
a,O,4
sickening,O,4
of,O,4
the,O,4
heart,O,4
--,O,4
an,O,4
unredeemed,O,4
dreariness,O,4
of,O,4
thought,O,4
which,O,4
no,O,4
goading,O,4
of,O,4
the,O,4
imagination,O,4
could,O,4
torture,O,4
into,O,4
aught,O,4
of,O,4
the,O,4
sublime,O,4
.,O,4
What,O,5
was,O,5
it,O,5
--,O,5
I,O,5
paused,EVENT,5
to,O,5
think,EVENT,5
--,O,5
what,O,5
was,O,5
it,O,5
that,O,5
so,O,5
unnerved,EVENT,5
me,O,5
in,O,5
the,O,5
contemplation,EVENT,5
of,O,5
the,O,5
House,O,5
of,O,5
Usher,O,5
?,O,5
It,O,5
was,O,5
a,O,5
mystery,O,5
all,O,5
insoluble,O,5
;,O,5
nor,O,5
could,O,5
I,O,5
grapple,O,5
with,O,5
the,O,5
shadowy,O,5
fancies,EVENT,5
that,O,5
crowded,O,5
upon,O,5
me,O,5
as,O,5
I,O,5
pondered,EVENT,5
.,O,5
I,O,6
was,O,6
forced,O,6
to,O,6
fall,O,6
back,O,6
upon,O,6
the,O,6
unsatisfactory,O,6
conclusion,EVENT,6
",",O,6
that,O,6
while,O,6
",",O,6
beyond,O,6
doubt,O,6
",",O,6
there,O,6
are,O,6
combinations,O,6
of,O,6
very,O,6
simple,O,6
natural,O,6
objects,O,6
which,O,6
have,O,6
the,O,6
power,O,6
of,O,6
thus,O,6
affecting,O,6
us,O,6
",",O,6
still,O,6
the,O,6
analysis,O,6
of,O,6
this,O,6
power,O,6
lies,O,6
among,O,6
considerations,O,6
beyond,O,6
our,O,6
depth,O,6
.,O,6
It,O,7
was,O,7
possible,O,7
",",O,7
I,O,7
reflected,EVENT,7
",",O,7
that,O,7
a,O,7
mere,O,7
different,O,7
arrangement,O,7
of,O,7
the,O,7
particulars,O,7
of,O,7
the,O,7
scene,O,7
",",O,7
of,O,7
the,O,7
details,O,7
of,O,7
the,O,7
picture,O,7
",",O,7
would,O,7
be,O,7
sufficient,O,7
to,O,7
modify,O,7
",",O,7
or,O,7
perhaps,O,7
to,O,7
annihilate,O,7
its,O,7
capacity,O,7
for,O,7
sorrowful,O,7
impression,O,7
;,O,7
and,O,7
",",O,7
acting,EVENT,7
upon,O,7
this,O,7
idea,O,7
",",O,7
I,O,7
reined,EVENT,7
my,O,7
horse,O,7
to,O,7
the,O,7
precipitous,O,7
brink,O,7
of,O,7
a,O,7
black,O,7
and,O,7
lurid,O,7
tarn,O,7
that,O,7
lay,O,7
in,O,7
unruffled,O,7
lustre,O,7
by,O,7
the,O,7
dwelling,O,7
",",O,7
and,O,7
gazed,EVENT,7
down,O,7
--,O,7
but,O,7
with,O,7
a,O,7
shudder,EVENT,7
even,O,7
more,O,7
thrilling,EVENT,7
than,O,7
before,O,7
--,O,7
upon,O,7
the,O,7
remodelled,O,7
and,O,7
inverted,O,7
images,O,7
of,O,7
the,O,7
grey,O,7
sedge,O,7
",",O,7
and,O,7
the,O,7
ghastly,O,7
tree-stems,O,7
",",O,7
and,O,7
the,O,7
vacant,O,7
and,O,7
eye-like,O,7
windows,O,7
.,O,7
Nevertheless,O,8
",",O,8
in,O,8
this,O,8
mansion,O,8
of,O,8
gloom,O,8
I,O,8
now,O,8
proposed,EVENT,8
to,O,8
myself,O,8
a,O,8
sojourn,O,8
of,O,8
some,O,8
weeks,O,8
.,O,8
Its,O,9
proprietor,O,9
",",O,9
Roderick,O,9
Usher,O,9
",",O,9
had,O,9
been,O,9
one,O,9
of,O,9
my,O,9
boon,O,9
companions,O,9
in,O,9
boyhood,O,9
;,O,9
but,O,9
many,O,9
years,O,9
had,O,9
elapsed,O,9
since,O,9
our,O,9
last,O,9
meeting,EVENT,9
.,O,9
A,O,10
letter,O,10
",",O,10
however,O,10
",",O,10
had,O,10
lately,O,10
reached,EVENT,10
me,O,10
in,O,10
a,O,10
distant,O,10
part,O,10
of,O,10
the,O,10
country,O,10
--,O,10
a,O,10
letter,O,10
from,O,10
him,O,10
--,O,10
which,O,10
",",O,10
in,O,10
its,O,10
wildly,O,10
importunate,O,10
nature,O,10
",",O,10
had,O,10
admitted,O,10
of,O,10
no,O,10
other,O,10
than,O,10
a,O,10
personal,O,10
reply,O,10
.,O,10
The,O,11
MS,O,11
gave,O,11
evidence,O,11
of,O,11
nervous,O,11
agitation,O,11
.,O,11
The,O,12
writer,O,12
spoke,EVENT,12
of,O,12
acute,O,12
bodily,O,12
illness,O,12
--,O,12
of,O,12
a,O,12
mental,O,12
disorder,O,12
which,O,12
oppressed,O,12
him,O,12
--,O,12
and,O,12
of,O,12
an,O,12
earnest,O,12
desire,O,12
to,O,12
see,O,12
me,O,12
",",O,12
as,O,12
his,O,12
best,O,12
",",O,12
and,O,12
indeed,O,12
his,O,12
only,O,12
personal,O,12
friend,O,12
",",O,12
with,O,12
a,O,12
view,O,12
of,O,12
attempting,O,12
",",O,12
by,O,12
the,O,12
cheerfulness,O,12
of,O,12
my,O,12
society,O,12
",",O,12
some,O,12
alleviation,O,12
of,O,12
his,O,12
malady,O,12
.,O,12
It,O,13
was,O,13
the,O,13
manner,O,13
in,O,13
which,O,13
all,O,13
this,O,13
",",O,13
and,O,13
much,O,13
more,O,13
",",O,13
was,O,13
said,EVENT,13
--,O,13
it,O,13
was,O,13
the,O,13
apparent,O,13
heart,O,13
that,O,13
went,O,13
with,O,13
his,O,13
request,EVENT,13
--,O,13
which,O,13
allowed,O,13
me,O,13
no,O,13
room,O,13
for,O,13
hesitation,O,13
;,O,13
and,O,13
I,O,13
accordingly,O,13
obeyed,O,13
forthwith,O,13
what,O,13
I,O,13
still,O,13
considered,O,13
a,O,13
very,O,13
singular,O,13
summons,O,13
.,O,13
Although,O,14
",",O,14
as,O,14
boys,O,14
",",O,14
we,O,14
had,O,14
been,O,14
even,O,14
intimate,O,14
associates,O,14
",",O,14
yet,O,14
I,O,14
really,O,14
knew,O,14
little,O,14
of,O,14
my,O,14
friend,O,14
.,O,14
His,O,15
reserve,O,15
had,O,15
been,O,15
always,O,15
excessive,O,15
and,O,15
habitual,O,15
.,O,15
I,O,16
was,O,16
aware,O,16
",",O,16
however,O,16
",",O,16
that,O,16
his,O,16
very,O,16
ancient,O,16
family,O,16
had,O,16
been,O,16
noted,O,16
",",O,16
time,O,16
out,O,16
of,O,16
mind,O,16
",",O,16
for,O,16
a,O,16
peculiar,O,16
sensibility,O,16
of,O,16
temperament,O,16
",",O,16
displaying,O,16
itself,O,16
",",O,16
through,O,16
long,O,16
ages,O,16
",",O,16
in,O,16
many,O,16
works,O,16
of,O,16
exalted,O,16
art,O,16
",",O,16
and,O,16
manifested,O,16
",",O,16
of,O,16
late,O,16
",",O,16
in,O,16
repeated,O,16
deeds,O,16
of,O,16
munificent,O,16
yet,O,16
unobtrusive,O,16
charity,O,16
",",O,16
as,O,16
well,O,16
as,O,16
in,O,16
a,O,16
passionate,O,16
devotion,O,16
to,O,16
the,O,16
intricacies,O,16
",",O,16
perhaps,O,16
even,O,16
more,O,16
than,O,16
to,O,16
the,O,16
orthodox,O,16
and,O,16
easily,O,16
recognisable,O,16
beauties,O,16
of,O,16
musical,O,16
science,O,16
.,O,16
I,O,17
had,O,17
learned,O,17
",",O,17
too,O,17
",",O,17
the,O,17
very,O,17
remarkable,O,17
fact,O,17
",",O,17
that,O,17
the,O,17
stem,O,17
of,O,17
the,O,17
Usher,O,17
race,O,17
",",O,17
all,O,17
time-honoured,O,17
as,O,17
it,O,17
was,O,17
",",O,17
had,O,17
put,O,17
forth,O,17
",",O,17
at,O,17
no,O,17
period,O,17
",",O,17
any,O,17
enduring,O,17
branch,O,17
;,O,17
in,O,17
other,O,17
words,O,17
",",O,17
that,O,17
the,O,17
entire,O,17
family,O,17
lay,O,17
in,O,17
the,O,17
direct,O,17
line,O,17
of,O,17
descent,O,17
",",O,17
and,O,17
had,O,17
always,O,17
",",O,17
with,O,17
very,O,17
trifling,O,17
and,O,17
very,O,17
temporary,O,17
variation,O,17
",",O,17
so,O,17
lain,O,17
.,O,17
It,O,18
was,O,18
this,O,18
deficiency,O,18
",",O,18
I,O,18
considered,EVENT,18
",",O,18
while,O,18
running,O,18
over,O,18
in,O,18
thought,EVENT,18
the,O,18
perfect,O,18
keeping,O,18
of,O,18
the,O,18
character,O,18
of,O,18
the,O,18
premises,O,18
with,O,18
the,O,18
accredited,O,18
character,O,18
of,O,18
the,O,18
people,O,18
",",O,18
and,O,18
while,O,18
speculating,EVENT,18
upon,O,18
the,O,18
possible,O,18
influence,O,18
which,O,18
the,O,18
one,O,18
",",O,18
in,O,18
the,O,18
long,O,18
lapse,O,18
of,O,18
centuries,O,18
",",O,18
might,O,18
have,O,18
exercised,O,18
upon,O,18
the,O,18
other,O,18
--,O,18
it,O,18
was,O,18
this,O,18
deficiency,O,18
",",O,18
perhaps,O,18
",",O,18
of,O,18
collateral,O,18
issue,O,18
",",O,18
and,O,18
the,O,18
consequent,O,18
undeviating,O,18
transmission,O,18
",",O,18
from,O,18
sire,O,18
to,O,18
son,O,18
",",O,18
of,O,18
the,O,18
patrimony,O,18
with,O,18
the,O,18
name,O,18
",",O,18
which,O,18
had,O,18
",",O,18
at,O,18
length,O,18
",",O,18
so,O,18
identified,O,18
the,O,18
two,O,18
as,O,18
to,O,18
merge,O,18
the,O,18
original,O,18
title,O,18
of,O,18
the,O,18
estate,O,18
in,O,18
the,O,18
quaint,O,18
and,O,18
equivocal,O,18
appellation,O,18
of,O,18
the,O,18
--,O,18
an,O,18
appellation,O,18
which,O,18
seemed,O,18
to,O,18
include,O,18
",",O,18
in,O,18
the,O,18
minds,O,18
of,O,18
the,O,18
peasantry,O,18
who,O,18
used,O,18
it,O,18
",",O,18
both,O,18
the,O,18
family,O,18
and,O,18
the,O,18
family,O,18
mansion,O,18
.,O,18
I,O,19
have,O,19
said,EVENT,19
that,O,19
the,O,19
sole,O,19
effect,O,19
of,O,19
my,O,19
somewhat,O,19
childish,O,19
experiment,EVENT,19
--,O,19
that,O,19
of,O,19
looking,EVENT,19
down,O,19
within,O,19
the,O,19
tarn,O,19
--,O,19
had,O,19
been,O,19
to,O,19
deepen,EVENT,19
the,O,19
first,O,19
singular,O,19
impression,EVENT,19
.,O,19
There,O,20
can,O,20
be,O,20
no,O,20
doubt,O,20
that,O,20
the,O,20
consciousness,O,20
of,O,20
the,O,20
rapid,O,20
increase,O,20
of,O,20
my,O,20
superstition,O,20
--,O,20
for,O,20
why,O,20
should,O,20
I,O,20
not,O,20
so,O,20
term,O,20
it,O,20
?,O,20
--,O,20
served,O,20
mainly,O,20
to,O,20
accelerate,O,20
the,O,20
increase,O,20
itself,O,20
.,O,20
Such,O,21
",",O,21
I,O,21
have,O,21
long,O,21
known,O,21
",",O,21
is,O,21
the,O,21
paradoxical,O,21
law,O,21
of,O,21
all,O,21
sentiments,O,21
having,O,21
terror,O,21
as,O,21
a,O,21
basis,O,21
.,O,21
And,O,22
it,O,22
might,O,22
have,O,22
been,O,22
for,O,22
this,O,22
reason,O,22
only,O,22
",",O,22
that,O,22
",",O,22
when,O,22
I,O,22
again,O,22
uplifted,EVENT,22
my,O,22
eyes,O,22
to,O,22
the,O,22
house,O,22
itself,O,22
",",O,22
from,O,22
its,O,22
image,O,22
in,O,22
the,O,22
pool,O,22
",",O,22
there,O,22
grew,O,22
in,O,22
my,O,22
mind,O,22
a,O,22
strange,O,22
fancy,EVENT,22
--,O,22
a,O,22
fancy,EVENT,22
so,O,22
ridiculous,O,22
",",O,22
indeed,O,22
",",O,22
that,O,22
I,O,22
but,O,22
mention,EVENT,22
it,O,22
to,O,22
show,EVENT,22
the,O,22
vivid,O,22
force,O,22
of,O,22
the,O,22
sensations,O,22
which,O,22
oppressed,O,22
me,O,22
.,O,22
I,O,23
had,O,23
so,O,23
worked,EVENT,23
upon,O,23
my,O,23
imagination,O,23
as,O,23
really,O,23
to,O,23
believe,O,23
that,O,23
about,O,23
the,O,23
whole,O,23
mansion,O,23
and,O,23
domain,O,23
there,O,23
hung,O,23
an,O,23
atmosphere,O,23
peculiar,O,23
to,O,23
themselves,O,23
and,O,23
their,O,23
immediate,O,23
vicinity,O,23
--,O,23
an,O,23
atmosphere,O,23
which,O,23
had,O,23
no,O,23
affinity,O,23
with,O,23
the,O,23
air,O,23
of,O,23
heaven,O,23
",",O,23
but,O,23
which,O,23
had,O,23
reeked,O,23
up,O,23
from,O,23
the,O,23
decayed,O,23
trees,O,23
",",O,23
and,O,23
the,O,23
grey,O,23
wall,O,23
",",O,23
and,O,23
the,O,23
silent,O,23
tarn,O,23
--,O,23
a,O,23
pestilent,O,23
and,O,23
mystic,O,23
vapour,O,23
",",O,23
dull,O,23
",",O,23
sluggish,O,23
",",O,23
faintly,O,23
discernible,O,23
",",O,23
and,O,23
leaden-hued,O,23
.,O,23
Shaking,EVENT,24
off,O,24
from,O,24
my,O,24
spirit,O,24
what,O,24
must,O,24
have,O,24
been,O,24
a,O,24
dream,O,24
",",O,24
I,O,24
scanned,EVENT,24
more,O,24
narrowly,O,24
the,O,24
real,O,24
aspect,O,24
of,O,24
the,O,24
building,O,24
.,O,24
Its,O,25
principal,O,25
feature,O,25
seemed,O,25
to,O,25
be,O,25
that,O,25
of,O,25
an,O,25
excessive,O,25
antiquity,O,25
.,O,25
The,O,26
discoloration,O,26
of,O,26
ages,O,26
had,O,26
been,O,26
great,O,26
.,O,26
Minute,O,27
fungi,O,27
overspread,O,27
the,O,27
whole,O,27
exterior,O,27
",",O,27
hanging,O,27
in,O,27
a,O,27
fine,O,27
tangled,O,27
web-work,O,27
from,O,27
the,O,27
eaves,O,27
.,O,27
Yet,O,28
all,O,28
this,O,28
was,O,28
apart,O,28
from,O,28
any,O,28
extraordinary,O,28
dilapidation,O,28
.,O,28
No,O,29
portion,O,29
of,O,29
the,O,29
masonry,O,29
had,O,29
fallen,O,29
;,O,29
and,O,29
there,O,29
appeared,O,29
to,O,29
be,O,29
a,O,29
wild,O,29
inconsistency,O,29
between,O,29
its,O,29
still,O,29
perfect,O,29
adaptation,O,29
of,O,29
parts,O,29
",",O,29
and,O,29
the,O,29
crumbling,O,29
condition,O,29
of,O,29
the,O,29
individual,O,29
stones,O,29
.,O,29
In,O,30
this,O,30
there,O,30
was,O,30
much,O,30
that,O,30
reminded,EVENT,30
me,O,30
of,O,30
the,O,30
specious,O,30
totality,O,30
of,O,30
old,O,30
wood-work,O,30
which,O,30
has,O,30
rotted,O,30
for,O,30
long,O,30
years,O,30
in,O,30
some,O,30
neglected,O,30
vault,O,30
",",O,30
with,O,30
no,O,30
disturbance,O,30
from,O,30
the,O,30
breath,O,30
of,O,30
the,O,30
external,O,30
air,O,30
.,O,30
Beyond,O,31
this,O,31
indication,O,31
of,O,31
extensive,O,31
decay,O,31
",",O,31
however,O,31
",",O,31
the,O,31
fabric,O,31
gave,O,31
little,O,31
token,O,31
of,O,31
instability,O,31
.,O,31
Perhaps,O,32
the,O,32
eye,O,32
of,O,32
a,O,32
scrutinizing,O,32
observer,O,32
might,O,32
have,O,32
discovered,O,32
a,O,32
barely,O,32
perceptible,O,32
fissure,O,32
",",O,32
which,O,32
",",O,32
extending,O,32
from,O,32
the,O,32
roof,O,32
of,O,32
the,O,32
building,O,32
in,O,32
front,O,32
",",O,32
made,O,32
its,O,32
way,O,32
down,O,32
the,O,32
wall,O,32
in,O,32
a,O,32
zigzag,O,32
direction,O,32
",",O,32
until,O,32
it,O,32
became,O,32
lost,O,32
in,O,32
the,O,32
sullen,O,32
waters,O,32
of,O,32
the,O,32
tarn,O,32
.,O,32
Noticing,EVENT,33
these,O,33
things,O,33
",",O,33
I,O,33
rode,EVENT,33
over,O,33
a,O,33
short,O,33
causeway,O,33
to,O,33
the,O,33
house,O,33
.,O,33
A,O,34
servant,O,34
in,O,34
waiting,O,34
took,EVENT,34
my,O,34
horse,O,34
",",O,34
and,O,34
I,O,34
entered,EVENT,34
the,O,34
Gothic,O,34
archway,O,34
of,O,34
the,O,34
hall,O,34
.,O,34
A,O,35
valet,O,35
",",O,35
of,O,35
stealthy,O,35
step,O,35
",",O,35
thence,O,35
conducted,EVENT,35
me,O,35
",",O,35
in,O,35
silence,O,35
",",O,35
through,O,35
