token,label,sentence
CHAPTER,O,0
1,O,0
“,O,0
Mine,O,0
ear,O,0
is,O,0
open,O,0
",",O,0
and,O,0
my,O,0
heart,O,0
prepared,O,0
:,O,0
The,O,0
worst,O,0
is,O,0
wordly,O,0
loss,O,0
thou,O,0
canst,O,0
unfold,O,0
:,O,0
--,O,0
Say,O,0
",",O,0
is,O,0
my,O,0
kingdom,O,0
lost,O,0
?,O,0
”,O,0
--,O,0
Shakespeare,O,0
It,O,0
was,O,0
a,O,0
feature,O,0
peculiar,O,0
to,O,0
the,O,0
colonial,O,0
wars,O,0
of,O,0
North,O,0
America,O,0
",",O,0
that,O,0
the,O,0
toils,O,0
and,O,0
dangers,O,0
of,O,0
the,O,0
wilderness,O,0
were,O,0
to,O,0
be,O,0
encountered,O,0
before,O,0
the,O,0
adverse,O,0
hosts,O,0
could,O,0
meet,O,0
.,O,0
A,O,1
wide,O,1
and,O,1
apparently,O,1
an,O,1
impervious,O,1
boundary,O,1
of,O,1
forests,O,1
severed,O,1
the,O,1
possessions,O,1
of,O,1
the,O,1
hostile,O,1
provinces,O,1
of,O,1
France,O,1
and,O,1
England,O,1
.,O,1
The,O,2
hardy,O,2
colonist,O,2
",",O,2
and,O,2
the,O,2
trained,O,2
European,O,2
who,O,2
fought,O,2
at,O,2
his,O,2
side,O,2
",",O,2
frequently,O,2
expended,O,2
months,O,2
in,O,2
struggling,O,2
against,O,2
the,O,2
rapids,O,2
of,O,2
the,O,2
streams,O,2
",",O,2
or,O,2
in,O,2
effecting,O,2
the,O,2
rugged,O,2
passes,O,2
of,O,2
the,O,2
mountains,O,2
",",O,2
in,O,2
quest,O,2
of,O,2
an,O,2
opportunity,O,2
to,O,2
exhibit,O,2
their,O,2
courage,O,2
in,O,2
a,O,2
more,O,2
martial,O,2
conflict,O,2
.,O,2
But,O,3
",",O,3
emulating,O,3
the,O,3
patience,O,3
and,O,3
self-denial,O,3
of,O,3
the,O,3
practiced,O,3
native,O,3
warriors,O,3
",",O,3
they,O,3
learned,O,3
to,O,3
overcome,O,3
every,O,3
difficulty,O,3
;,O,3
and,O,3
it,O,3
would,O,3
seem,O,3
that,O,3
",",O,3
in,O,3
time,O,3
",",O,3
there,O,3
was,O,3
no,O,3
recess,O,3
of,O,3
the,O,3
woods,O,3
so,O,3
dark,O,3
",",O,3
nor,O,3
any,O,3
secret,O,3
place,O,3
so,O,3
lovely,O,3
",",O,3
that,O,3
it,O,3
might,O,3
claim,O,3
exemption,O,3
from,O,3
the,O,3
inroads,O,3
of,O,3
those,O,3
who,O,3
had,O,3
pledged,O,3
their,O,3
blood,O,3
to,O,3
satiate,O,3
their,O,3
vengeance,O,3
",",O,3
or,O,3
to,O,3
uphold,O,3
the,O,3
cold,O,3
and,O,3
selfish,O,3
policy,O,3
of,O,3
the,O,3
distant,O,3
monarchs,O,3
of,O,3
Europe,O,3
.,O,3
Perhaps,O,4
no,O,4
district,O,4
throughout,O,4
the,O,4
wide,O,4
extent,O,4
of,O,4
the,O,4
intermediate,O,4
frontiers,O,4
can,O,4
furnish,O,4
a,O,4
livelier,O,4
picture,O,4
of,O,4
the,O,4
cruelty,O,4
and,O,4
fierceness,O,4
of,O,4
the,O,4
savage,O,4
warfare,O,4
of,O,4
those,O,4
periods,O,4
than,O,4
the,O,4
country,O,4
which,O,4
lies,O,4
between,O,4
the,O,4
head,O,4
waters,O,4
of,O,4
the,O,4
Hudson,O,4
and,O,4
the,O,4
adjacent,O,4
lakes,O,4
.,O,4
The,O,5
facilities,O,5
which,O,5
nature,O,5
had,O,5
there,O,5
offered,O,5
to,O,5
the,O,5
march,O,5
of,O,5
the,O,5
combatants,O,5
were,O,5
too,O,5
obvious,O,5
to,O,5
be,O,5
neglected,O,5
.,O,5
The,O,6
lengthened,O,6
sheet,O,6
of,O,6
the,O,6
Champlain,O,6
stretched,O,6
from,O,6
the,O,6
frontiers,O,6
of,O,6
Canada,O,6
",",O,6
deep,O,6
within,O,6
the,O,6
borders,O,6
of,O,6
the,O,6
neighboring,O,6
province,O,6
of,O,6
New,O,6
York,O,6
",",O,6
forming,O,6
a,O,6
natural,O,6
passage,O,6
across,O,6
half,O,6
the,O,6
distance,O,6
that,O,6
the,O,6
French,O,6
were,O,6
compelled,O,6
to,O,6
master,O,6
in,O,6
order,O,6
to,O,6
strike,O,6
their,O,6
enemies,O,6
.,O,6
Near,O,7
its,O,7
southern,O,7
termination,O,7
",",O,7
it,O,7
received,O,7
the,O,7
contributions,O,7
of,O,7
another,O,7
lake,O,7
",",O,7
whose,O,7
waters,O,7
were,O,7
so,O,7
limpid,O,7
as,O,7
to,O,7
have,O,7
been,O,7
exclusively,O,7
selected,O,7
by,O,7
the,O,7
Jesuit,O,7
missionaries,O,7
to,O,7
perform,O,7
the,O,7
typical,O,7
purification,O,7
of,O,7
baptism,O,7
",",O,7
and,O,7
to,O,7
obtain,O,7
for,O,7
it,O,7
the,O,7
title,O,7
of,O,7
lake,O,7
“,O,7
du,O,7
Saint,O,7
Sacrement,O,7
.,O,7
”,O,8
The,O,8
less,O,8
zealous,O,8
English,O,8
thought,O,8
they,O,8
conferred,O,8
a,O,8
sufficient,O,8
honor,O,8
on,O,8
its,O,8
unsullied,O,8
fountains,O,8
",",O,8
when,O,8
they,O,8
bestowed,O,8
the,O,8
name,O,8
of,O,8
their,O,8
reigning,O,8
prince,O,8
",",O,8
the,O,8
second,O,8
of,O,8
the,O,8
house,O,8
of,O,8
Hanover,O,8
.,O,8
The,O,9
two,O,9
united,O,9
to,O,9
rob,O,9
the,O,9
untutored,O,9
possessors,O,9
of,O,9
its,O,9
wooded,O,9
scenery,O,9
of,O,9
their,O,9
native,O,9
right,O,9
to,O,9
perpetuate,O,9
its,O,9
original,O,9
appellation,O,9
of,O,9
“,O,9
Horican,O,9
.,O,9
”,O,10
*,O,10
*,O,10
As,O,10
each,O,10
nation,O,10
of,O,10
the,O,10
Indians,O,10
had,O,10
its,O,10
language,O,10
or,O,10
its,O,10
dialect,O,10
",",O,10
they,O,10
usually,O,10
gave,O,10
different,O,10
names,O,10
to,O,10
the,O,10
same,O,10
places,O,10
",",O,10
though,O,10
nearly,O,10
all,O,10
of,O,10
their,O,10
appellations,O,10
were,O,10
descriptive,O,10
of,O,10
the,O,10
object,O,10
.,O,10
Thus,O,11
a,O,11
literal,O,11
translation,O,11
of,O,11
the,O,11
name,O,11
of,O,11
this,O,11
beautiful,O,11
sheet,O,11
of,O,11
water,O,11
",",O,11
used,O,11
by,O,11
the,O,11
tribe,O,11
that,O,11
dwelt,O,11
on,O,11
its,O,11
banks,O,11
",",O,11
would,O,11
be,O,11
“,O,11
The,O,11
Tail,O,11
of,O,11
the,O,11
Lake,O,11
.,O,11
”,O,12
Lake,O,12
George,O,12
",",O,12
as,O,12
it,O,12
is,O,12
vulgarly,O,12
",",O,12
and,O,12
now,O,12
",",O,12
indeed,O,12
",",O,12
legally,O,12
",",O,12
called,O,12
",",O,12
forms,O,12
a,O,12
sort,O,12
of,O,12
tail,O,12
to,O,12
Lake,O,12
Champlain,O,12
",",O,12
when,O,12
viewed,O,12
on,O,12
the,O,12
map,O,12
.,O,12
Hence,O,13
",",O,13
the,O,13
name,O,13
.,O,13
Winding,O,14
its,O,14
way,O,14
among,O,14
countless,O,14
islands,O,14
",",O,14
and,O,14
imbedded,O,14
in,O,14
mountains,O,14
",",O,14
the,O,14
“,O,14
holy,O,14
lake,O,14
”,O,14
extended,O,14
a,O,14
dozen,O,14
leagues,O,14
still,O,14
further,O,14
to,O,14
the,O,14
south,O,14
.,O,14
With,O,15
the,O,15
high,O,15
plain,O,15
that,O,15
there,O,15
interposed,O,15
itself,O,15
to,O,15
the,O,15
further,O,15
passage,O,15
of,O,15
the,O,15
water,O,15
",",O,15
commenced,O,15
a,O,15
portage,O,15
of,O,15
as,O,15
many,O,15
miles,O,15
",",O,15
which,O,15
conducted,O,15
the,O,15
adventurer,O,15
to,O,15
the,O,15
banks,O,15
of,O,15
the,O,15
Hudson,O,15
",",O,15
at,O,15
a,O,15
point,O,15
where,O,15
",",O,15
with,O,15
the,O,15
usual,O,15
obstructions,O,15
of,O,15
the,O,15
rapids,O,15
",",O,15
or,O,15
rifts,O,15
",",O,15
as,O,15
they,O,15
were,O,15
then,O,15
termed,O,15
in,O,15
the,O,15
language,O,15
of,O,15
the,O,15
country,O,15
",",O,15
the,O,15
river,O,15
became,O,15
navigable,O,15
to,O,15
the,O,15
tide,O,15
.,O,15
While,O,16
",",O,16
in,O,16
the,O,16
pursuit,O,16
of,O,16
their,O,16
daring,O,16
plans,O,16
of,O,16
annoyance,O,16
",",O,16
the,O,16
restless,O,16
enterprise,O,16
of,O,16
the,O,16
French,O,16
even,O,16
attempted,O,16
the,O,16
distant,O,16
and,O,16
difficult,O,16
gorges,O,16
of,O,16
the,O,16
Alleghany,O,16
",",O,16
it,O,16
may,O,16
easily,O,16
be,O,16
imagined,O,16
that,O,16
their,O,16
proverbial,O,16
acuteness,O,16
would,O,16
not,O,16
overlook,O,16
the,O,16
natural,O,16
advantages,O,16
of,O,16
the,O,16
district,O,16
we,O,16
have,O,16
just,O,16
described,O,16
.,O,16
It,O,17
became,O,17
",",O,17
emphatically,O,17
",",O,17
the,O,17
bloody,O,17
arena,O,17
",",O,17
in,O,17
which,O,17
most,O,17
of,O,17
the,O,17
battles,O,17
for,O,17
the,O,17
mastery,O,17
of,O,17
the,O,17
colonies,O,17
were,O,17
contested,O,17
.,O,17
Forts,O,18
were,O,18
erected,O,18
at,O,18
the,O,18
different,O,18
points,O,18
that,O,18
commanded,O,18
the,O,18
facilities,O,18
of,O,18
the,O,18
route,O,18
",",O,18
and,O,18
were,O,18
taken,O,18
and,O,18
retaken,O,18
",",O,18
razed,O,18
and,O,18
rebuilt,O,18
",",O,18
as,O,18
victory,O,18
alighted,O,18
on,O,18
the,O,18
hostile,O,18
banners,O,18
.,O,18
While,O,19
the,O,19
husbandman,O,19
shrank,O,19
back,O,19
from,O,19
the,O,19
dangerous,O,19
passes,O,19
",",O,19
within,O,19
the,O,19
safer,O,19
boundaries,O,19
of,O,19
