token,label,sentence
CHAPTER,O,0
1,O,0
The,O,0
Rassendylls,O,0
--,O,0
With,O,0
a,O,0
Word,O,0
on,O,0
the,O,0
Elphbergs,O,0
“,O,0
I,O,0
wonder,EVENT,0
when,O,0
in,O,0
the,O,0
world,O,0
you,O,0
’re,O,0
going,O,0
to,O,0
do,O,0
anything,O,0
",",O,0
Rudolf,O,0
?,O,0
”,O,0
said,EVENT,0
my,O,0
brother,O,0
’s,O,0
wife,O,0
.,O,0
“,O,1
My,O,1
dear,O,1
Rose,O,1
",",O,1
”,O,1
I,O,1
answered,EVENT,1
",",O,1
laying,EVENT,1
down,O,1
my,O,1
egg-spoon,O,1
",",O,1
“,O,1
why,O,1
in,O,1
the,O,1
world,O,1
should,O,1
I,O,1
do,O,1
anything,O,1
?,O,1
My,O,1
position,O,1
is,O,1
a,O,1
comfortable,O,1
one,O,1
.,O,1
I,O,2
have,O,2
an,O,2
income,O,2
nearly,O,2
sufficient,O,2
for,O,2
my,O,2
wants,O,2
(,O,2
no,O,2
one,O,2
’s,O,2
income,O,2
is,O,2
ever,O,2
quite,O,2
sufficient,O,2
",",O,2
you,O,2
know,O,2
),O,2
",",O,2
I,O,2
enjoy,O,2
an,O,2
enviable,O,2
social,O,2
position,O,2
:,O,2
I,O,2
am,O,2
brother,O,2
to,O,2
Lord,O,2
Burlesdon,O,2
",",O,2
and,O,2
brother-in-law,O,2
to,O,2
that,O,2
charming,O,2
lady,O,2
",",O,2
his,O,2
countess,O,2
.,O,2
Behold,O,3
",",O,3
it,O,3
is,O,3
enough,O,3
!,O,3
”,O,3
“,O,3
You,O,3
are,O,3
nine-and-twenty,O,3
",",O,3
”,O,3
she,O,3
observed,EVENT,3
",",O,3
“,O,3
and,O,3
you,O,3
’ve,O,3
done,O,3
nothing,O,3
but,O,3
--,O,3
”,O,3
“,O,3
Knock,O,3
about,O,3
?,O,3
It,O,3
is,O,3
true,O,3
.,O,3
Our,O,4
family,O,4
does,O,4
n’t,O,4
need,O,4
to,O,4
do,O,4
things,O,4
.,O,4
”,O,5
This,O,5
remark,EVENT,5
of,O,5
mine,O,5
rather,O,5
annoyed,EVENT,5
Rose,O,5
",",O,5
for,O,5
everybody,O,5
knows,O,5
(,O,5
and,O,5
therefore,O,5
there,O,5
can,O,5
be,O,5
no,O,5
harm,O,5
in,O,5
referring,O,5
to,O,5
the,O,5
fact,O,5
),O,5
that,O,5
",",O,5
pretty,O,5
and,O,5
accomplished,O,5
as,O,5
she,O,5
herself,O,5
is,O,5
",",O,5
her,O,5
family,O,5
is,O,5
hardly,O,5
of,O,5
the,O,5
same,O,5
standing,O,5
as,O,5
the,O,5
Rassendylls,O,5
.,O,5
Besides,O,6
her,O,6
attractions,O,6
",",O,6
she,O,6
possessed,O,6
a,O,6
large,O,6
fortune,O,6
",",O,6
and,O,6
my,O,6
brother,O,6
Robert,O,6
was,O,6
wise,O,6
enough,O,6
not,O,6
to,O,6
mind,O,6
about,O,6
her,O,6
ancestry,O,6
.,O,6
Ancestry,O,7
is,O,7
",",O,7
in,O,7
fact,O,7
",",O,7
a,O,7
matter,O,7
concerning,O,7
which,O,7
the,O,7
next,O,7
observation,O,7
of,O,7
Rose,O,7
’s,O,7
has,O,7
some,O,7
truth,O,7
.,O,7
“,O,8
Good,O,8
families,O,8
are,O,8
generally,O,8
worse,O,8
than,O,8
any,O,8
others,O,8
",",O,8
”,O,8
she,O,8
said,EVENT,8
.,O,8
Upon,O,9
this,O,9
I,O,9
stroked,EVENT,9
my,O,9
hair,O,9
:,O,9
I,O,9
knew,O,9
quite,O,9
well,O,9
what,O,9
she,O,9
meant,EVENT,9
.,O,9
“,O,10
I,O,10
’m,O,10
so,O,10
glad,O,10
Robert,O,10
’s,O,10
is,O,10
black,O,10
!,O,10
”,O,10
she,O,10
cried,EVENT,10
.,O,10
At,O,11
this,O,11
moment,O,11
Robert,O,11
(,O,11
who,O,11
rises,O,11
at,O,11
seven,O,11
and,O,11
works,O,11
before,O,11
breakfast,O,11
),O,11
came,EVENT,11
in,O,11
.,O,11
He,O,12
glanced,EVENT,12
at,O,12
his,O,12
wife,O,12
:,O,12
her,O,12
cheek,O,12
was,O,12
slightly,O,12
flushed,O,12
;,O,12
he,O,12
patted,EVENT,12
it,O,12
caressingly,O,12
.,O,12
“,O,13
What,O,13
’s,O,13
the,O,13
matter,O,13
",",O,13
my,O,13
dear,O,13
?,O,13
”,O,13
he,O,13
asked,EVENT,13
.,O,13
“,O,14
She,O,14
objects,EVENT,14
to,O,14
my,O,14
doing,O,14
nothing,O,14
and,O,14
having,O,14
red,O,14
hair,O,14
",",O,14
”,O,14
said,EVENT,14
I,O,14
",",O,14
in,O,14
an,O,14
injured,O,14
tone,O,14
.,O,14
“,O,15
Oh,O,15
!,O,15
of,O,15
course,O,15
he,O,15
ca,O,15
n’t,O,15
help,O,15
his,O,15
hair,O,15
",",O,15
”,O,15
admitted,EVENT,15
Rose,O,15
.,O,15
“,O,16
It,O,16
generally,O,16
crops,O,16
out,O,16
once,O,16
in,O,16
a,O,16
generation,O,16
",",O,16
”,O,16
said,EVENT,16
my,O,16
brother,O,16
.,O,16
“,O,17
So,O,17
does,O,17
the,O,17
nose,O,17
.,O,17
Rudolf,O,18
has,O,18
got,O,18
them,O,18
both,O,18
.,O,18
”,O,19
“,O,19
I,O,19
wish,EVENT,19
they,O,19
did,O,19
n’t,O,19
crop,O,19
out,O,19
",",O,19
”,O,19
said,EVENT,19
Rose,O,19
",",O,19
still,O,19
flushed,O,19
.,O,19
“,O,20
I,O,20
rather,O,20
like,O,20
them,O,20
myself,O,20
",",O,20
”,O,20
said,EVENT,20
I,O,20
",",O,20
and,O,20
",",O,20
rising,EVENT,20
",",O,20
I,O,20
bowed,EVENT,20
to,O,20
the,O,20
portrait,O,20
of,O,20
Countess,O,20
Amelia,O,20
.,O,20
My,O,21
brother,O,21
’s,O,21
wife,O,21
uttered,O,21
an,O,21
exclamation,EVENT,21
of,O,21
impatience,O,21
.,O,21
“,O,22
I,O,22
wish,EVENT,22
you,O,22
’d,O,22
take,O,22
that,O,22
picture,O,22
away,O,22
",",O,22
Robert,O,22
",",O,22
”,O,22
said,EVENT,22
she,O,22
.,O,22
“,O,23
My,O,23
dear,O,23
!,O,23
”,O,23
he,O,23
cried,EVENT,23
.,O,23
“,O,24
Good,O,24
heavens,O,24
!,O,24
”,O,24
I,O,24
added,EVENT,24
.,O,24
“,O,25
Then,O,25
it,O,25
might,O,25
be,O,25
forgotten,O,25
",",O,25
”,O,25
she,O,25
continued,EVENT,25
.,O,25
“,O,26
Hardly,O,26
--,O,26
with,O,26
Rudolf,O,26
about,O,26
",",O,26
”,O,26
said,EVENT,26
Robert,O,26
",",O,26
shaking,EVENT,26
his,O,26
head,O,26
.,O,26
“,O,27
Why,O,27
should,O,27
it,O,27
be,O,27
forgotten,O,27
?,O,27
”,O,27
I,O,27
asked,EVENT,27
.,O,27
“,O,28
Rudolf,O,28
!,O,28
”,O,28
exclaimed,EVENT,28
my,O,28
brother,O,28
’s,O,28
wife,O,28
",",O,28
blushing,EVENT,28
very,O,28
prettily,O,28
.,O,28
I,O,29
laughed,EVENT,29
",",O,29
and,O,29
went,EVENT,29
on,O,29
with,O,29
my,O,29
egg,O,29
.,O,29
At,O,30
least,O,30
I,O,30
had,O,30
shelved,EVENT,30
the,O,30
question,O,30
of,O,30
what,O,30
(,O,30
if,O,30
anything,O,30
),O,30
I,O,30
ought,O,30
to,O,30
do,O,30
.,O,30
And,O,31
",",O,31
by,O,31
way,O,31
of,O,31
closing,EVENT,31
the,O,31
discussion,EVENT,31
--,O,31
and,O,31
also,O,31
",",O,31
I,O,31
must,O,31
admit,EVENT,31
",",O,31
of,O,31
exasperating,O,31
my,O,31
strict,O,31
little,O,31
sister-in-law,O,31
a,O,31
trifle,O,31
more,O,31
--,O,31
I,O,31
observed,EVENT,31
:,O,31
“,O,31
I,O,31
rather,O,31
like,O,31
being,O,31
an,O,31
Elphberg,O,31
myself,O,31
.,O,31
”,O,32
When,O,32
I,O,32
read,O,32
a,O,32
story,O,32
",",O,32
I,O,32
skip,O,32
the,O,32
explanations,O,32
;,O,32
yet,O,32
the,O,32
moment,O,32
I,O,32
begin,O,32
to,O,32
write,O,32
one,O,32
",",O,32
I,O,32
find,O,32
that,O,32
I,O,32
must,O,32
have,O,32
an,O,32
explanation,O,32
.,O,32
For,O,33
it,O,33
is,O,33
manifest,O,33
that,O,33
I,O,33
must,O,33
explain,O,33
why,O,33
my,O,33
sister-in-law,O,33
was,O,33
vexed,O,33
with,O,33
my,O,33
nose,O,33
and,O,33
hair,O,33
",",O,33
and,O,33
why,O,33
I,O,33
ventured,O,33
to,O,33
call,O,33
myself,O,33
an,O,33
Elphberg,O,33
.,O,33
For,O,34
eminent,O,34
as,O,34
",",O,34
I,O,34
must,O,34
protest,EVENT,34
",",O,34
the,O,34
Rassendylls,O,34
have,O,34
been,O,34
for,O,34
many,O,34
generations,O,34
",",O,34
yet,O,34
participation,O,34
in,O,34
their,O,34
blood,O,34
of,O,34
course,O,34
does,O,34
not,O,34
",",O,34
at,O,34
first,O,34
sight,O,34
",",O,34
justify,O,34
the,O,34
boast,O,34
of,O,34
a,O,34
connection,O,34
with,O,34
the,O,34
grander,O,34
stock,O,34
of,O,34
the,O,34
Elphbergs,O,34
or,O,34
a,O,34
claim,O,34
to,O,34
be,O,34
one,O,34
of,O,34
that,O,34
Royal,O,34
House,O,34
.,O,34
For,O,35
what,O,35
relationship,O,35
is,O,35
there,O,35
between,O,35
Ruritania,O,35
and,O,35
Burlesdon,O,35
",",O,35
between,O,35
the,O,35
Palace,O,35
at,O,35
Strelsau,O,35
or,O,35
the,O,35
Castle,O,35
of,O,35
Zenda,O,35
and,O,35
Number,O,35
305,O,35
Park,O,35
Lane,O,35
",",O,35
W.,O,35
?,O,35
Well,O,35
then,O,35
--,O,35
and,O,35
I,O,35
must,O,35
premise,EVENT,35
that,O,35
I,O,35
am,O,35
going,O,35
",",O,35
perforce,O,35
",",O,35
to,O,35
rake,O,35
up,O,35
the,O,35
very,O,35
