token,label,sentence
CHAPTER,O,0
I,O,0
You,O,0
must,O,0
go,O,0
back,O,0
with,O,0
me,O,0
to,O,0
the,O,0
autumn,O,0
of,O,0
1827,O,0
.,O,0
My,O,1
father,O,1
",",O,1
as,O,1
you,O,1
know,O,1
",",O,1
was,O,1
a,O,1
sort,O,1
of,O,1
gentleman,O,1
farmer,O,1
in,O,1
—,O,1
shire,O,1
;,O,1
and,O,1
I,O,1
",",O,1
by,O,1
his,O,1
express,O,1
desire,O,1
",",O,1
succeeded,O,1
him,O,1
in,O,1
the,O,1
same,O,1
quiet,O,1
occupation,O,1
",",O,1
not,O,1
very,O,1
willingly,O,1
",",O,1
for,O,1
ambition,O,1
urged,O,1
me,O,1
to,O,1
higher,O,1
aims,O,1
",",O,1
and,O,1
self-conceit,O,1
assured,O,1
me,O,1
that,O,1
",",O,1
in,O,1
disregarding,O,1
its,O,1
voice,O,1
",",O,1
I,O,1
was,O,1
burying,O,1
my,O,1
talent,O,1
in,O,1
the,O,1
earth,O,1
",",O,1
and,O,1
hiding,O,1
my,O,1
light,O,1
under,O,1
a,O,1
bushel,O,1
.,O,1
My,O,2
mother,O,2
had,O,2
done,O,2
her,O,2
utmost,O,2
to,O,2
persuade,O,2
me,O,2
that,O,2
I,O,2
was,O,2
capable,O,2
of,O,2
great,O,2
achievements,O,2
;,O,2
but,O,2
my,O,2
father,O,2
",",O,2
who,O,2
thought,O,2
ambition,O,2
was,O,2
the,O,2
surest,O,2
road,O,2
to,O,2
ruin,O,2
",",O,2
and,O,2
change,O,2
but,O,2
another,O,2
word,O,2
for,O,2
destruction,O,2
",",O,2
would,O,2
listen,O,2
to,O,2
no,O,2
scheme,O,2
for,O,2
bettering,O,2
either,O,2
my,O,2
own,O,2
condition,O,2
",",O,2
or,O,2
that,O,2
of,O,2
my,O,2
fellow,O,2
mortals,O,2
.,O,2
He,O,3
assured,EVENT,3
me,O,3
it,O,3
was,O,3
all,O,3
rubbish,O,3
",",O,3
and,O,3
exhorted,EVENT,3
me,O,3
",",O,3
with,O,3
his,O,3
dying,O,3
breath,EVENT,3
",",O,3
to,O,3
continue,O,3
in,O,3
the,O,3
good,O,3
old,O,3
way,O,3
",",O,3
to,O,3
follow,O,3
his,O,3
steps,O,3
",",O,3
and,O,3
those,O,3
of,O,3
his,O,3
father,O,3
before,O,3
him,O,3
",",O,3
and,O,3
let,O,3
my,O,3
highest,O,3
ambition,O,3
be,O,3
to,O,3
walk,O,3
honestly,O,3
through,O,3
the,O,3
world,O,3
",",O,3
looking,O,3
neither,O,3
to,O,3
the,O,3
right,O,3
hand,O,3
nor,O,3
to,O,3
the,O,3
left,O,3
",",O,3
and,O,3
to,O,3
transmit,O,3
the,O,3
paternal,O,3
acres,O,3
to,O,3
my,O,3
children,O,3
in,O,3
",",O,3
at,O,3
least,O,3
",",O,3
as,O,3
flourishing,O,3
a,O,3
condition,O,3
as,O,3
he,O,3
left,O,3
them,O,3
to,O,3
me,O,3
.,O,3
‘,O,4
Well,O,4
!,O,4
—,O,4
an,O,4
honest,O,4
and,O,4
industrious,O,4
farmer,O,4
is,O,4
one,O,4
of,O,4
the,O,4
most,O,4
useful,O,4
members,O,4
of,O,4
society,O,4
;,O,4
and,O,4
if,O,4
I,O,4
devote,O,4
my,O,4
talents,O,4
to,O,4
the,O,4
cultivation,O,4
of,O,4
my,O,4
farm,O,4
",",O,4
and,O,4
the,O,4
improvement,O,4
of,O,4
agriculture,O,4
in,O,4
general,O,4
",",O,4
I,O,4
shall,O,4
thereby,O,4
benefit,O,4
",",O,4
not,O,4
only,O,4
my,O,4
own,O,4
immediate,O,4
connections,O,4
and,O,4
dependants,O,4
",",O,4
but,O,4
",",O,4
in,O,4
some,O,4
degree,O,4
",",O,4
mankind,O,4
at,O,4
large,O,4
:,O,4
—,O,4
hence,O,4
I,O,4
shall,O,4
not,O,4
have,O,4
lived,O,4
in,O,4
vain,O,4
.,O,4
