token,label,sentence
CHAPTER,O,0
I,O,0
Mr,O,0
Verloc,O,0
",",O,0
going,O,0
out,O,0
in,O,0
the,O,0
morning,O,0
",",O,0
left,O,0
his,O,0
shop,O,0
nominally,O,0
in,O,0
charge,O,0
of,O,0
his,O,0
brother-in-law,O,0
.,O,0
It,O,1
could,O,1
be,O,1
done,O,1
",",O,1
because,O,1
there,O,1
was,O,1
very,O,1
little,O,1
business,O,1
at,O,1
any,O,1
time,O,1
",",O,1
and,O,1
practically,O,1
none,O,1
at,O,1
all,O,1
before,O,1
the,O,1
evening,O,1
.,O,1
Mr,O,2
Verloc,O,2
cared,O,2
but,O,2
little,O,2
about,O,2
his,O,2
ostensible,O,2
business,O,2
.,O,2
And,O,3
",",O,3
moreover,O,3
",",O,3
his,O,3
wife,O,3
was,O,3
in,O,3
charge,O,3
of,O,3
his,O,3
brother-in-law,O,3
.,O,3
The,O,4
shop,O,4
was,O,4
small,O,4
",",O,4
and,O,4
so,O,4
was,O,4
the,O,4
house,O,4
.,O,4
It,O,5
was,O,5
one,O,5
of,O,5
those,O,5
grimy,O,5
brick,O,5
houses,O,5
which,O,5
existed,O,5
in,O,5
large,O,5
quantities,O,5
before,O,5
the,O,5
era,O,5
of,O,5
reconstruction,O,5
dawned,O,5
upon,O,5
London,O,5
.,O,5
The,O,6
shop,O,6
was,O,6
a,O,6
square,O,6
box,O,6
of,O,6
a,O,6
place,O,6
",",O,6
with,O,6
the,O,6
front,O,6
glazed,O,6
in,O,6
small,O,6
panes,O,6
.,O,6
In,O,7
the,O,7
daytime,O,7
the,O,7
door,O,7
remained,O,7
closed,O,7
;,O,7
in,O,7
the,O,7
evening,O,7
it,O,7
stood,O,7
discreetly,O,7
but,O,7
suspiciously,O,7
ajar,O,7
.,O,7
The,O,8
window,O,8
contained,O,8
photographs,O,8
of,O,8
more,O,8
or,O,8
less,O,8
undressed,O,8
dancing,O,8
girls,O,8
;,O,8
nondescript,O,8
packages,O,8
in,O,8
wrappers,O,8
like,O,8
patent,O,8
medicines,O,8
;,O,8
closed,O,8
yellow,O,8
paper,O,8
envelopes,O,8
",",O,8
very,O,8
flimsy,O,8
",",O,8
and,O,8
marked,O,8
two-and-six,O,8
in,O,8
heavy,O,8
black,O,8
figures,O,8
;,O,8
a,O,8
few,O,8
numbers,O,8
of,O,8
ancient,O,8
French,O,8
comic,O,8
publications,O,8
hung,O,8
across,O,8
a,O,8
string,O,8
as,O,8
if,O,8
to,O,8
dry,O,8
;,O,8
a,O,8
dingy,O,8
blue,O,8
china,O,8
bowl,O,8
",",O,8
a,O,8
casket,O,8
of,O,8
black,O,8
wood,O,8
",",O,8
bottles,O,8
of,O,8
marking,O,8
ink,O,8
",",O,8
and,O,8
rubber,O,8
stamps,O,8
;,O,8
a,O,8
few,O,8
books,O,8
",",O,8
with,O,8
titles,O,8
hinting,O,8
at,O,8
impropriety,O,8
;,O,8
a,O,8
few,O,8
apparently,O,8
old,O,8
copies,O,8
of,O,8
obscure,O,8
newspapers,O,8
",",O,8
badly,O,8
printed,O,8
",",O,8
with,O,8
titles,O,8
like,O,8
_,O,8
The,O,8
Torch,O,8
_,O,8
",",O,8
_,O,8
The,O,8
Gong,O,8
_,O,8
—,O,8
rousing,O,8
titles,O,8
.,O,8
And,O,9
the,O,9
two,O,9
gas,O,9
jets,O,9
inside,O,9
the,O,9
panes,O,9
were,O,9
always,O,9
turned,O,9
low,O,9
",",O,9
either,O,9
for,O,9
economy,O,9
’s,O,9
sake,O,9
or,O,9
for,O,9
the,O,9
sake,O,9
of,O,9
the,O,9
customers,O,9
.,O,9
These,O,10
customers,O,10
were,O,10
either,O,10
very,O,10
young,O,10
men,O,10
",",O,10
who,O,10
hung,O,10
about,O,10
the,O,10
window,O,10
for,O,10
a,O,10
time,O,10
before,O,10
slipping,O,10
in,O,10
suddenly,O,10
;,O,10
or,O,10
men,O,10
of,O,10
a,O,10
more,O,10
