token,label,sentence
BOOK,O,0
ONE,O,0
CHAPTER,O,0
I,O,0
ANTHONY,O,0
PATCH,O,0
In,O,0
1913,O,0
",",O,0
when,O,0
Anthony,O,0
Patch,O,0
was,O,0
twenty-five,O,0
",",O,0
two,O,0
years,O,0
were,O,0
already,O,0
gone,O,0
since,O,0
irony,O,0
",",O,0
the,O,0
Holy,O,0
Ghost,O,0
of,O,0
this,O,0
later,O,0
day,O,0
",",O,0
had,O,0
",",O,0
theoretically,O,0
at,O,0
least,O,0
",",O,0
descended,O,0
upon,O,0
him,O,0
.,O,0
Irony,O,1
was,O,1
the,O,1
final,O,1
polish,O,1
of,O,1
the,O,1
shoe,O,1
",",O,1
the,O,1
ultimate,O,1
dab,O,1
of,O,1
the,O,1
clothes-brush,O,1
",",O,1
a,O,1
sort,O,1
of,O,1
intellectual,O,1
--,O,1
yet,O,1
at,O,1
the,O,1
brink,O,1
of,O,1
this,O,1
story,O,1
he,O,1
has,O,1
as,O,1
yet,O,1
gone,O,1
no,O,1
further,O,1
than,O,1
the,O,1
conscious,O,1
stage,O,1
.,O,1
As,O,2
you,O,2
first,O,2
see,O,2
him,O,2
he,O,2
wonders,O,2
frequently,O,2
whether,O,2
he,O,2
is,O,2
not,O,2
without,O,2
honor,O,2
and,O,2
slightly,O,2
mad,O,2
",",O,2
a,O,2
shameful,O,2
and,O,2
obscene,O,2
thinness,O,2
glistening,O,2
on,O,2
the,O,2
surface,O,2
of,O,2
the,O,2
world,O,2
like,O,2
oil,O,2
on,O,2
a,O,2
clean,O,2
pond,O,2
",",O,2
these,O,2
occasions,O,2
being,O,2
varied,O,2
",",O,2
of,O,2
course,O,2
",",O,2
with,O,2
those,O,2
in,O,2
which,O,2
he,O,2
thinks,O,2
himself,O,2
rather,O,2
an,O,2
exceptional,O,2
young,O,2
man,O,2
",",O,2
thoroughly,O,2
sophisticated,O,2
",",O,2
well,O,2
adjusted,O,2
to,O,2
his,O,2
environment,O,2
",",O,2
and,O,2
somewhat,O,2
more,O,2
significant,O,2
than,O,2
any,O,2
one,O,2
else,O,2
he,O,2
knows,O,2
.,O,2
This,O,3
was,O,3
his,O,3
healthy,O,3
state,O,3
and,O,3
it,O,3
made,O,3
him,O,3
cheerful,O,3
",",O,3
pleasant,O,3
",",O,3
and,O,3
very,O,3
attractive,O,3
to,O,3
intelligent,O,3
men,O,3
and,O,3
to,O,3
all,O,3
women,O,3
.,O,3
In,O,4
this,O,4
state,O,4
he,O,4
considered,O,4
that,O,4
he,O,4
would,O,4
one,O,4
day,O,4
accomplish,O,4
some,O,4
quiet,O,4
subtle,O,4
thing,O,4
that,O,4
the,O,4
elect,O,4
would,O,4
deem,O,4
worthy,O,4
and,O,4
",",O,4
passing,O,4
on,O,4
",",O,4
would,O,4
join,O,4
the,O,4
dimmer,O,4
stars,O,4
in,O,4
a,O,4
nebulous,O,4
",",O,4
indeterminate,O,4
heaven,O,4
half-way,O,4
between,O,4
death,O,4
and,O,4
immortality,O,4
.,O,4
Until,O,5
the,O,5
time,O,5
came,O,5
for,O,5
this,O,5
effort,O,5
he,O,5
would,O,5
be,O,5
Anthony,O,5
Patch,O,5
--,O,5
not,O,5
a,O,5
portrait,O,5
of,O,5
a,O,5
man,O,5
but,O,5
a,O,5
distinct,O,5
and,O,5
dynamic,O,5
personality,O,5
",",O,5
opinionated,O,5
",",O,5
contemptuous,O,5
",",O,5
functioning,O,5
from,O,5
within,O,5
outward,O,5
--,O,5
a,O,5
man,O,5
who,O,5
was,O,5
aware,O,5
that,O,5
there,O,5
could,O,5
be,O,5
no,O,5
honor,O,5
and,O,5
yet,O,5
had,O,5
honor,O,5
",",O,5
who,O,5
knew,O,5
the,O,5
sophistry,O,5
of,O,5
courage,O,5
and,O,5
yet,O,5
was,O,5
brave,O,5
.,O,5
A,O,6
WORTHY,O,6
MAN,O,6
AND,O,6
HIS,O,6
GIFTED,O,6
SON,O,6
Anthony,O,6
drew,O,6
as,O,6
much,O,6
consciousness,O,6
of,O,6
social,O,6
security,O,6
from,O,6
being,O,6
the,O,6
grandson,O,6
of,O,6
Adam,O,6
J.,O,6
Patch,O,6
as,O,6
he,O,6
would,O,6
have,O,6
had,O,6
from,O,6
tracing,O,6
his,O,6
line,O,6
over,O,6
the,O,6
sea,O,6
to,O,6
the,O,6
crusaders,O,6
.,O,6
This,O,7
is,O,7
inevitable,O,7
;,O,7
Virginians,O,7
and,O,7
Bostonians,O,7
to,O,7
the,O,7
contrary,O,7
notwithstanding,O,7
",",O,7
an,O,7
aristocracy,O,7
founded,O,7
sheerly,O,7
on,O,7
money,O,7
postulates,O,7
wealth,O,7
in,O,7
the,O,7
particular,O,7
.,O,7
Now,O,8
Adam,O,8
J.,O,8
Patch,O,8
",",O,8
more,O,8
familiarly,O,8
known,O,8
as,O,8
left,EVENT,8
his,O,8
father,O,8
's,O,8
farm,O,8
in,O,8
Tarrytown,O,8
early,O,8
in,O,8
sixty-one,O,8
to,O,8
join,O,8
a,O,8
New,O,8
York,O,8
cavalry,O,8
regiment,O,8
.,O,8
He,O,9
came,EVENT,9
home,O,9
from,O,9
the,O,9
war,O,9
a,O,9
major,O,9
",",O,9
charged,EVENT,9
into,O,9
Wall,O,9
Street,O,9
",",O,9
and,O,9
amid,O,9
much,O,9
fuss,O,9
",",O,9
fume,O,9
",",O,9
applause,O,9
",",O,9
and,O,9
ill,O,9
will,O,9
he,O,9
gathered,O,9
to,O,9
himself,O,9
some,O,9
seventy-five,O,9
million,O,9
dollars,O,9
.,O,9
This,O,10
occupied,O,10
his,O,10
energies,O,10
until,O,10
he,O,10
was,O,10
fifty-seven,O,10
years,O,10
old,O,10
.,O,10
It,O,11
was,O,11
then,O,11
that,O,11
he,O,11
determined,EVENT,11
",",O,11
after,O,11
a,O,11
severe,O,11
attack,EVENT,11
of,O,11
sclerosis,O,11
",",O,11
to,O,11
consecrate,O,11
the,O,11
remainder,O,11
of,O,11
his,O,11
life,O,11
to,O,11
the,O,11
moral,O,11
regeneration,O,11
of,O,11
the,O,11
world,O,11
.,O,11
He,O,12
became,O,12
a,O,12
reformer,O,12
among,O,12
reformers,O,12
.,O,12
Emulating,O,13
the,O,13
magnificent,O,13
efforts,O,13
of,O,13
Anthony,O,13
Comstock,O,13
",",O,13
after,O,13
whom,O,13
his,O,13
grandson,O,13
was,O,13
named,O,13
",",O,13
he,O,13
levelled,O,13
a,O,13
varied,O,13
assortment,O,13
of,O,13
uppercuts,O,13
and,O,13
body-blows,O,13
at,O,13
liquor,O,13
",",O,13
literature,O,13
",",O,13
vice,O,13
",",O,13
art,O,13
",",O,13
patent,O,13
medicines,O,13
",",O,13
and,O,13
Sunday,O,13
theatres,O,13
.,O,13
His,O,14
mind,O,14
",",O,14
under,O,14
the,O,14
influence,O,14
of,O,14
that,O,14
insidious,O,14
mildew,O,14
which,O,14
eventually,O,14
forms,O,14
on,O,14
all,O,14
but,O,14
the,O,14
few,O,14
",",O,14
gave,O,14
itself,O,14
up,O,14
furiously,O,14
to,O,14
every,O,14
indignation,O,14
of,O,14
the,O,14
age,O,14
.,O,14
From,O,15
an,O,15
armchair,O,15
in,O,15
the,O,15
office,O,15
of,O,15
his,O,15
Tarrytown,O,15
estate,O,15
he,O,15
directed,O,15
against,O,15
the,O,15
enormous,O,15
hypothetical,O,15
enemy,O,15
",",O,15
unrighteousness,O,15
",",O,15
a,O,15
campaign,O,15
which,O,15
went,O,15
on,O,15
through,O,15
fifteen,O,15
years,O,15
",",O,15
during,O,15
which,O,15
he,O,15
displayed,O,15
himself,O,15
a,O,15
rabid,O,15
monomaniac,O,15
",",O,15
an,O,15
unqualified,O,15
nuisance,O,15
",",O,15
and,O,15
an,O,15
intolerable,O,15
bore,O,15
.,O,15
The,O,16
year,O,16
in,O,16
which,O,16
this,O,16
story,O,16
opens,O,16
found,O,16
him,O,16
wearying,O,16
;,O,16
his,O,16
campaign,O,16
had,O,16
grown,O,16
desultory,O,16
;,O,16
1861,O,16
was,O,16
creeping,O,16
up,O,16
slowly,O,16
on,O,16
1895,O,16
;,O,16
his,O,16
thoughts,O,16
ran,O,16
a,O,16
great,O,16
deal,O,16
on,O,16
the,O,16
Civil,O,16
War,O,16
",",O,16
somewhat,O,16
on,O,16
his,O,16
dead,O,16
wife,O,16
and,O,16
son,O,16
",",O,16
almost,O,16
infinitesimally,O,16
on,O,16
his,O,16
grandson,O,16
Anthony,O,16
.,O,16
