doc,token,sentence,t_id,doc_id,m_id,tag
40203,Apple,0,1,,,
40203,Corps,0,2,,,
40203,loses,0,3,40203,38,EVENT_MENTION
40203,court,0,4,,,
40203,case,0,5,40203,37,EVENT_MENTION
40203,against,0,6,,,
40203,Apple,0,7,,,
40203,Computer,0,8,,,
40203,May,1,9,,,
40203,8,1,10,,,
40203,",",1,11,,,
40203,2006,1,12,,,
40203,The,2,13,,,
40203,Beatles,2,14,,,
40203,',2,15,,,
40203,label,2,16,,,
40203,Apple,2,17,,,
40203,Corps,2,18,,,
40203,lost,2,19,40203,36,EVENT_MENTION
40203,its,2,20,,,
40203,court,2,21,,,
40203,case,2,22,40203,39,EVENT_MENTION
40203,against,2,23,,,
40203,Apple,2,24,,,
40203,Computer,2,25,,,
40203,today,2,26,,,
40203,in,2,27,,,
40203,the,2,28,,,
40203,High,2,29,,,
40203,Court,2,30,,,
40203,.,2,31,,,
40203,Apple,3,32,,,
40203,Corps,3,33,,,
40203,argued,3,34,40203,42,EVENT_MENTION
40203,that,3,35,,,
40203,the,3,36,,,
40203,iTunes,3,37,,,
40203,Music,3,38,,,
40203,Store,3,39,,,
40203,was,3,40,40203,44,EVENT_MENTION
40203,a,3,41,,,
40203,breach,3,42,40203,46,EVENT_MENTION
40203,of,3,43,,,
40203,the,3,44,,,
40203,1991,3,45,,,
40203,settlement,3,46,40203,48,EVENT_MENTION
40203,reached,3,47,40203,29,EVENT_MENTION
40203,between,3,48,,,
40203,the,3,49,,,
40203,two,3,50,,,
40203,parties,3,51,,,
40203,.,3,52,,,
40203,The,4,53,,,
40203,1991,4,54,,,
40203,agreement,4,55,40203,33,EVENT_MENTION
40203,was,4,56,40203,34,EVENT_MENTION
40203,that,4,57,,,
40203,Apple,4,58,,,
40203,Computer,4,59,,,
40203,would,4,60,,,
40203,not,4,61,,,
40203,sell,4,62,40203,35,EVENT_MENTION
40203,music,4,63,,,
40203,branded,4,64,,,
40203,with,4,65,,,
40203,an,4,66,,,
40203,apple,4,67,,,
40203,.,4,68,,,
40203,Mr,5,69,,,
40203,Justice,5,70,,,
40203,Anthony,5,71,,,
40203,Mann,5,72,,,
40203,agreed,5,73,40203,40,EVENT_MENTION
40203,with,5,74,,,
40203,Apple,5,75,,,
40203,Computer,5,76,,,
40203,'s,5,77,,,
40203,defence,5,78,,,
40203,that,5,79,,,
40203,",",5,80,,,
40203,while,5,81,,,
40203,the,5,82,,,
40203,iTunes,5,83,,,
40203,Music,5,84,,,
40203,Store,5,85,,,
40203,is,5,86,40203,32,EVENT_MENTION
40203,branded,5,87,,,
40203,",",5,88,,,
40203,the,5,89,,,
40203,music,5,90,,,
40203,it,5,91,,,
40203,sells,5,92,40203,43,EVENT_MENTION
40203,is,5,93,40203,41,EVENT_MENTION
40203,not,5,94,,,
40203,-,5,95,,,
40203,"""",5,96,,,
40203,I,5,97,,,
40203,conclude,5,98,40203,45,EVENT_MENTION
40203,that,5,99,,,
40203,the,5,100,,,
40203,use,5,101,40203,47,EVENT_MENTION
40203,of,5,102,,,
40203,the,5,103,,,
40203,Apple,5,104,,,
40203,logo,5,105,,,
40203,...,5,106,,,
40203,does,5,107,,,
40203,not,5,108,,,
40203,suggest,5,109,40203,28,EVENT_MENTION
40203,a,5,110,,,
40203,relevant,5,111,,,
40203,connection,5,112,40203,30,EVENT_MENTION
40203,with,5,113,,,
40203,the,5,114,,,
40203,creative,5,115,,,
40203,work,5,116,40203,31,EVENT_MENTION
40203,.,5,117,,,
40203,"""",5,118,,,
40203,Speaking,10,209,,,
40203,for,10,210,,,
40203,Apple,10,211,,,
40203,Corps,10,212,,,
40203,",",10,213,,,
40203,manager,10,214,,,
40203,Neil,10,215,,,
40203,Aspinall,10,216,,,
40203,said,10,217,,,
40203,",",10,218,,,
40203,"""",10,219,,,
40203,with,10,220,,,
40203,great,10,221,,,
40203,respect,10,222,,,
40203,to,10,223,,,
40203,the,10,224,,,
40203,trial,10,225,,,
40203,judge,10,226,,,
40203,",",10,227,,,
40203,we,10,228,,,
40203,consider,10,229,,,
40203,he,10,230,,,
40203,has,10,231,,,
40203,reached,10,232,,,
40203,the,10,233,,,
40203,wrong,10,234,,,
40203,conclusion,10,235,,,
40203,.,10,236,,,
40203,"""",10,237,,,
