_id,label,id,token,sentence
Q560307_1,ENTITY,kOMy1PTQvX,Jayne,0
Q560307_2,ENTITY,kOMy1PTQvX,Cortez,0
,,,(,0
,,,May,0
,,,10,0
,,,",",0
,,,1934,0
,,,–,0
,,,December,0
,,,28,0
,,,",",0
,,,2012,0
,,,),0
Q560307_3,EVENT-GR,kBmlTc8O5a,was,0
,,,an,0
,,,African,0
,,,-,0
,,,American,0
Q560307_4,EVENT,H_UVrjkJtw,poet,0
,,,",",0
Q560307_5,EVENT,p1qEiVvJPu,activist,0
,,,",",0
,,,small,0
,,,press,0
Q560307_6,EVENT,Pk5xJz28BJ,publisher,0
,,,and,0
,,,spoken,0
,,,-,0
,,,word,0
,,,performance,0
Q560307_7,EVENT,48qllkchiw,artist,0
,,,whose,0
,,,voice,0
,,,is,0
,,,celebrated,0
,,,for,0
,,,its,0
,,,political,0
,,,",",0
,,,surrealistic,0
,,,and,0
,,,dynamic,0
,,,innovations,0
,,,in,0
,,,lyricism,0
,,,and,0
,,,visceral,0
,,,sound,0
,,,.,0
,,,Her,1
,,,writing,1
,,,is,1
,,,part,1
,,,of,1
,,,the,1
,,,canon,1
,,,of,1
,,,the,1
,,,Black,1
,,,Arts,1
,,,Movement,1
,,,.,1
Q560307_8,ENTITY,WodIYU3lNH,She,2
,,,was,2
Q560307_9,EVENT,6eV7t04Lqz,married,2
,,,to,2
,,,jazz,2
,,,saxophonist,2
,,,Ornette,2
,,,Coleman,2
,,,(,2
,,,1954–64,2
,,,),2
,,,",",2
,,,and,2
,,,their,2
,,,son,2
,,,is,2
,,,jazz,2
,,,drummer,2
,,,Denardo,2
,,,Coleman,2
,,,.,2
,,,In,3
,,,1975,3
Q560307_10,ENTITY,jFfOeOqrD8,Cortez,3
Q560307_11,EVENT,Ln5U8ahNXI,married,3
,,,painter,3
,,,",",3
,,,sculptor,3
,,,",",3
,,,and,3
,,,printmaker,3
,,,Melvin,3
,,,Edwards,3
,,,",",3
,,,and,3
Q560307_12,ENTITY,wSU36rEgpF,they,3
Q560307_13,EVENT,SW-YUWYTPb,lived,3
,,,in,3
,,,Dakar,3
,,,",",3
,,,Senegal,3
,,,",",3
,,,and,3
,,,New,3
,,,York,3
,,,City,3
,,,.,3
Q560307_14,ENTITY,gUoW9Z_Zuu,Jayne,4
Q560307_15,ENTITY,gUoW9Z_Zuu,Cortez,4
,,,was,4
Q560307_16,EVENT,PaSmM1rrBE,born,4
,,,Sallie,4
,,,Jayne,4
,,,Richardson,4
,,,on,4
,,,the,4
,,,Army,4
,,,base,4
,,,at,4
,,,Fort,4
,,,Huachuca,4
,,,",",4
,,,Arizona,4
,,,",",4
,,,on,4
,,,May,4
,,,10,4
,,,",",4
,,,1934,4
,,,.,4
,,,Her,5
,,,father,5
,,,was,5
,,,a,5
,,,career,5
,,,soldier,5
,,,who,5
,,,would,5
,,,serve,5
,,,in,5
,,,both,5
,,,world,5
,,,wars,5
,,,;,5
,,,her,5
,,,mother,5
,,,was,5
,,,a,5
,,,secretary,5
,,,.,5
,,,She,6
,,,is,6
,,,the,6
,,,second,6
,,,-,6
,,,born,6
,,,of,6
,,,three,6
,,,children,6
,,,with,6
,,,an,6
,,,older,6
,,,sister,6
,,,and,6
,,,a,6
,,,younger,6
,,,brother,6
,,,.,6
,,,At,7
,,,the,7
,,,age,7
,,,of,7
,,,seven,7
,,,",",7
Q560307_17,ENTITY,md8Q8hKs3X,she,7
Q560307_18,EVENT,jtAFV1TjF4,moved,7
,,,to,7
,,,Los,7
,,,Angeles,7
,,,",",7
,,,where,7
Q560307_19,ENTITY,kn1A77tsCm,she,7
Q560307_20,EVENT,o6k5qZdwbn,grew,7
,,,up,7
,,,in,7
,,,the,7
,,,Watts,7
,,,district,7
,,,.,7
,,,Young,8
,,,Jayne,8
,,,Richardson,8
,,,reveled,8
,,,in,8
,,,the,8
,,,jazz,8
,,,and,8
,,,Latin,8
,,,recordings,8
,,,that,8
,,,her,8
,,,parents,8
,,,collected,8
,,,.,8
,,,She,9
,,,studied,9
,,,art,9
,,,",",9
,,,music,9
,,,and,9
,,,drama,9
,,,in,9
,,,high,9
,,,school,9
,,,.,9
,,,Later,10
Q560307_21,ENTITY,99J7JBoSYD,she,10
Q560307_22,EVENT,K68swFmitm,attended,10
,,,Compton,10
,,,Community,10
,,,College,10
,,,",",10
,,,but,10
Q560307_156,EVENT,-NMf3j5Cld,dropped,10
,,,out,10
,,,of,10
,,,her,10
,,,course,10
,,,work,10
,,,due,10
,,,to,10
,,,financial,10
,,,difficulties,10
,,,.,10
Q560307_23,ENTITY,dWYkWeEbNQ,She,11
Q560307_24,EVENT,bv8Tv4UChD,took,11
,,,the,11
,,,surname,11
,,,Cortez,11
,,,",",11
,,,the,11
,,,maiden,11
,,,name,11
,,,of,11
,,,her,11
,,,Filipino,11
,,,maternal,11
,,,grandmother,11
,,,",",11
,,,early,11
,,,in,11
,,,her,11
,,,artistic,11
,,,career,11
,,,.,11
,,,In,12
,,,1954,12
,,,",",12
Q560307_25,ENTITY,SITzOJjJh0,Cortez,12
Q560307_26,EVENT,wLFH5EJ544,married,12
,,,jazz,12
,,,saxophonist,12
,,,Ornette,12
,,,Coleman,12
,,,when,12
,,,she,12
,,,was,12
,,,18,12
,,,years,12
,,,old,12
,,,.,12
,,,Their,13
,,,son,13
,,,Denardo,13
,,,",",13
,,,born,13
,,,in,13
,,,1956,13
,,,",",13
,,,began,13
,,,drumming,13
,,,with,13
,,,his,13
,,,father,13
,,,while,13
,,,still,13
,,,a,13
,,,child,13
,,,and,13
,,,devoted,13
,,,his,13
,,,adult,13
,,,life,13
,,,to,13
,,,collaborating,13
,,,with,13
,,,both,13
,,,parents,13
,,,in,13
,,,their,13
,,,respective,13
,,,careers,13
,,,.,13
,,,In,14
,,,1964,14
,,,",",14
Q560307_27,ENTITY,P8-TmvVcIr,Cortez,14
Q560307_28,EVENT,_CcLWoxhMt,divorced,14
,,,Coleman,14
,,,and,14
Q560307_29,EVENT,O7k2ggKenZ,founded,14
,,,the,14
,,,Watts,14
,,,Repertory,14
,,,Theater,14
,,,Company,14
,,,",",14
,,,of,14
,,,which,14
Q560307_30,ENTITY,c5IFPZKyom,she,14
Q560307_31,EVENT,gbYsjboxmf,served,14
,,,as,14
,,,artistic,14
,,,director,14
,,,until,14
,,,1970,14
,,,.,14
Q560307_32,EVENT,Kgk1p77787,Active,15
,,,in,15
,,,the,15
,,,struggle,15
,,,for,15
,,,Civil,15
,,,Rights,15
,,,",",15
Q560307_33,ENTITY,aLREXuVeku,she,15
Q560307_34,EVENT,x23R_KIWks,collaborated,15
