token,label,sentence
Ichiyō,ENTITY,0
Higuchi,ENTITY,0
Ichiyō,0,0
Higuchi,0,0
(,0,0
樋口,ENTITY,0
一葉,ENTITY,0
Higuchi,ENTITY,0
Ichiyō,ENTITY,0
",",0,0
May,0,0
2,0,0
",",0,0
1872,0,0
–,0,0
November,0,0
23,0,0
",",0,0
1896,0,0
),0,0
was,0,0
a,0,0
pen,0,0
name,0,0
of,0,0
Japanese,ENTITY,0
author,0,0
Natsu,0,0
Higuchi,0,0
(,0,0
樋口,0,0
奈津,0,0
Higuchi,0,0
Natsu,0,0
),0,0
",",0,0
also,0,0
known,0,0
as,0,0
Natsuko,ENTITY,0
Higuchi,0,0
(,0,0
樋口,0,0
夏子,ENTITY,0
Higuchi,ENTITY,0
Natsuko,ENTITY,0
),ENTITY,0
.,0,0
Specializing,0,1
in,0,1
short,0,1
stories,0,1
",",0,1
she,ENTITY,1
was,0,1
one,0,1
of,0,1
the,0,1
first,0,1
important,0,1
writers,0,1
to,0,1
appear,0,1
in,0,1
the,0,1
Meiji,0,1
period,0,1
(,0,1
1868,0,1
-,0,1
1912,0,1
),0,1
and,0,1
Japan,ENTITY,1
's,0,1
first,0,1
prominent,0,1
woman,0,1
writer,0,1
of,0,1
modern,0,1
times,ENTITY,1
.,0,1
She,ENTITY,2
wrote,0,2
relatively,0,2
little,0,2
as,0,2
a,0,2
result,0,2
of,0,2
living,0,2
a,0,2
brief,0,2
life,0,2
—,0,2
she,ENTITY,2
died,0,2
at,0,2
24,0,2
—,0,2
but,0,2
her,ENTITY,2
stories,0,2
had,0,2
a,0,2
large,0,2
impact,0,2
on,0,2
Japanese,0,2
literature,0,2
and,0,2
she,ENTITY,2
is,0,2
still,0,2
appreciated,0,2
by,0,2
the,0,2
Japanese,0,2
public,0,2
today,0,2
.,0,2
Efforts,0,3
to,0,3
become,0,3
a,0,3
writer,0,3
She,ENTITY,3
",",0,3
her,ENTITY,3
mother,0,3
",",0,3
and,0,3
younger,0,3
sister,0,3
made,0,3
ends,0,3
meet,0,3
by,0,3
doing,0,3
needlework,0,3
",",0,3
washing,0,3
",",0,3
and,0,3
other,0,3
jobs,0,3
.,0,3
In,0,4
1892,0,4
",",0,4
after,0,4
seeing,0,4
the,0,4
success,0,4
of,0,4
a,0,4
classmate,0,4
",",0,4
Kaho,0,4
Tanabe,0,4
",",0,4
who,0,4
wrote,0,4
a,0,4
novel,0,4
",",0,4
Higuchi,ENTITY,4
decided,0,4
to,0,4
become,0,4
a,0,4
novelist,0,4
to,0,4
support,0,4
her,ENTITY,4
family,0,4
.,0,4
Nevertheless,0,5
",",0,5
her,ENTITY,5
initial,0,5
efforts,0,5
at,0,5
writing,0,5
fiction,0,5
were,0,5
in,0,5
the,0,5
form,0,5
of,0,5
a,0,5
short,0,5
story,0,5
",",0,5
a,0,5
form,0,5
to,0,5
which,0,5
she,ENTITY,5
would,0,5
remain,0,5
true,0,5
.,0,5
In,0,6
1891,0,6
she,ENTITY,6
met,0,6
her,ENTITY,6
future,0,6
advisor,0,6
who,0,6
