token,sentence,idx,pos,event_id,label,simple_label
On,0,0,ADP,,0,0
the,0,1,DET,,0,0
other,0,2,ADJ,,0,0
hand,0,3,NOUN,,0,0
",",0,4,PUNCT,,0,0
it,0,5,PRON,,0,0
's,0,6,AUX,,0,0
turning,0,7,NOUN,e1,OCCURRENCE,EVENT
out,0,8,ADP,,0,0
to,0,9,PART,,0,0
be,0,10,AUX,,0,0
another,0,11,DET,,0,0
very,0,12,ADV,,0,0
bad,0,13,NOUN,e369,STATE,EVENT
financial,0,14,ADJ,,0,0
week,0,15,NOUN,,0,0
for,0,16,ADP,,0,0
Asia,0,17,PROPN,,0,0
.,0,18,PUNCT,,0,0
The,1,0,DET,,0,0
financial,1,1,ADJ,,0,0
assistance,1,2,NOUN,e3,OCCURRENCE,EVENT
from,1,3,ADP,,0,0
the,1,4,DET,,0,0
World,1,5,PROPN,,0,0
Bank,1,6,PROPN,,0,0
and,1,7,CCONJ,,0,0
the,1,8,DET,,0,0
International,1,9,PROPN,,0,0
Monetary,1,10,PROPN,,0,0
Fund,1,11,PROPN,,0,0
are,1,12,AUX,,0,0
not,1,13,PART,,0,0
helping,1,14,ADJ,e4,OCCURRENCE,EVENT
.,1,15,PUNCT,,0,0
In,2,0,ADP,,0,0
the,2,1,DET,,0,0
last,2,2,ADJ,,0,0
twenty,2,3,NUM,,0,0
four,2,4,NUM,,0,0
hours,2,5,NOUN,,0,0
",",2,6,PUNCT,,0,0
the,2,7,DET,,0,0
value,2,8,NOUN,,0,0
of,2,9,ADP,,0,0
the,2,10,DET,,0,0
Indonesian,2,11,ADJ,,0,0
stock,2,12,NOUN,,0,0
market,2,13,NOUN,,0,0
has,2,14,AUX,,0,0
fallen,2,15,PROPN,e7,OCCURRENCE,EVENT
by,2,16,ADP,,0,0
twelve,2,17,NUM,,0,0
percent,2,18,NOUN,,0,0
.,2,19,PUNCT,,0,0
The,3,0,DET,,0,0
Indonesian,3,1,ADJ,,0,0
currency,3,2,NOUN,,0,0
has,3,3,AUX,,0,0
lost,3,4,PROPN,e9,OCCURRENCE,EVENT
twenty,3,5,NUM,,0,0
six,3,6,NUM,,0,0
percent,3,7,NOUN,,0,0
of,3,8,ADP,,0,0
its,3,9,DET,,0,0
value,3,10,NOUN,,0,0
.,3,11,PUNCT,,0,0
In,4,0,ADP,,0,0
Singapore,4,1,PROPN,,0,0
",",4,2,PUNCT,,0,0
stocks,4,3,NOUN,,0,0
hit,4,4,NUM,e10,OCCURRENCE,EVENT
a,4,5,DET,,0,0
five,4,6,NUM,,0,0
year,4,7,NOUN,,0,0
low,4,8,ADJ,,0,0
.,4,9,PUNCT,,0,0
In,5,0,ADP,,0,0
the,5,1,DET,,0,0
Philippines,5,2,PROPN,,0,0
",",5,3,PUNCT,,0,0
a,5,4,DET,,0,0
four,5,5,NUM,,0,0
year,5,6,NOUN,,0,0
low,5,7,NOUN,,0,0
.,5,8,PUNCT,,0,0
And,6,0,CCONJ,,0,0
in,6,1,ADP,,0,0
Hong,6,2,PROPN,,0,0
Kong,6,3,PROPN,,0,0
",",6,4,PUNCT,,0,0
a,6,5,DET,,0,0
three,6,6,NUM,,0,0
percent,6,7,NOUN,,0,0
drop,6,8,NOUN,e147,OCCURRENCE,EVENT
.,6,9,PUNCT,,0,0
More,7,0,ADJ,,0,0
problems,7,1,NOUN,e153,OCCURRENCE,EVENT
in,7,2,ADP,,0,0
Hong,7,3,PROPN,,0,0
Kong,7,4,PROPN,,0,0
for,7,5,ADP,,0,0
a,7,6,DET,,0,0
place,7,7,NOUN,,0,0
",",7,8,PUNCT,,0,0
for,7,9,ADP,,0,0
an,7,10,DET,,0,0
economy,7,11,NOUN,,0,0
",",7,12,PUNCT,,0,0
that,7,13,SCONJ,,0,0
many,7,14,ADJ,,0,0
experts,7,15,NOUN,,0,0
thought,7,16,NOUN,e11,I_STATE,EVENT
was,7,17,AUX,,0,0
once,7,18,ADV,,0,0
invincible,7,19,ADJ,e376,STATE,EVENT
.,7,20,PUNCT,,0,0
Here,8,0,ADV,,0,0
's,8,1,AUX,,0,0
ABC,8,2,PROPN,,0,0
's,8,3,PART,,0,0
Jim,8,4,PROPN,,0,0
Laurie,8,5,PROPN,,0,0
.,8,6,PUNCT,,0,0
Not,9,0,PART,,0,0
that,9,1,DET,,0,0
long,9,2,ADV,,0,0
ago,9,3,ADV,,0,0
",",9,4,PUNCT,,0,0
before,9,5,ADP,,0,0
the,9,6,DET,,0,0
Chinese,9,7,ADJ,,0,0
takeover,9,8,NOUN,e12,OCCURRENCE,EVENT
",",9,9,PUNCT,,0,0
the,9,10,DET,,0,0
news,9,11,NOUN,e14,OCCURRENCE,EVENT
about,9,12,ADP,,0,0
real,9,13,ADJ,,0,0
estate,9,14,NOUN,,0,0
here,9,15,ADV,,0,0
was,9,16,AUX,,0,0
that,9,17,SCONJ,,0,0
the,9,18,DET,,0,0
sky,9,19,NOUN,,0,0
was,9,20,AUX,,0,0
the,9,21,DET,,0,0
limit,9,22,NOUN,,0,0
the,9,23,DET,,0,0
highest,9,24,ADJ,,0,0
prices,9,25,NOUN,,0,0
in,9,26,ADP,,0,0
the,9,27,DET,,0,0
world,9,28,NOUN,,0,0
.,9,29,PUNCT,,0,0
So,10,0,ADV,,0,0
when,10,1,ADV,,0,0
Wong,10,2,PROPN,,0,0
Kwan,10,3,PROPN,,0,0
spent,10,4,NOUN,e16,OCCURRENCE,EVENT
seventy,10,5,NUM,,0,0
million,10,6,NUM,,0,0
dollars,10,7,NOUN,,0,0
for,10,8,ADP,,0,0
this,10,9,DET,,0,0
house,10,10,NOUN,,0,0
",",10,11,PUNCT,,0,0
he,10,12,PRON,,0,0
thought,10,13,VERB,e17,I_STATE,EVENT
it,10,14,PRON,,0,0
was,10,15,AUX,,0,0
a,10,16,DET,,0,0
great,10,17,ADJ,,0,0
deal,10,18,NOUN,e18,OCCURRENCE,EVENT
.,10,19,PUNCT,,0,0
He,11,0,PRON,,0,0
sold,11,1,VERB,e19,OCCURRENCE,EVENT
the,11,2,DET,,0,0
property,11,3,NOUN,,0,0
to,11,4,ADP,,0,0
five,11,5,NUM,,0,0
buyers,11,6,NOUN,,0,0
and,11,7,CCONJ,,0,0
said,11,8,NOUN,e20,REPORTING,EVENT
he,11,9,PRON,,0,0
'd,11,10,VERB,,0,0
double,11,11,VERB,e21,OCCURRENCE,EVENT
his,11,12,DET,,0,0
money,11,13,NOUN,,0,0
