token,sentence,idx,pos,event_id,label,simple_label
u,0,0,NOUN,,0,0
i,0,1,NOUN,,0,0
PM,0,2,PROPN,,0,0
-,0,3,PUNCT,,0,0
GulfRdp,0,4,PROPN,,0,0
8thLd,0,5,PROPN,,0,0
-,1,0,PUNCT,,0,0
Writethru,1,1,NOUN,,0,0
08,1,3,NUM,,0,0
-,1,4,SYM,,0,0
15,1,5,NUM,,0,0
1334,1,6,NUM,,0,0
PM,1,7,PROPN,,0,0
-,1,8,PUNCT,,0,0
Gulf,1,9,PROPN,,0,0
Rdp,1,10,PROPN,,0,0
",",1,11,PUNCT,,0,0
8th,2,0,ADJ,,0,0
Ld,2,1,PROPN,,0,0
-,2,2,PUNCT,,0,0
Writethru,2,3,PROPN,,0,0
",",2,4,PUNCT,,0,0
"a0605,1368",2,5,PUNCT,,0,0
Saddam,3,0,PROPN,,0,0
Seeks,3,1,VERB,,0,0
End,4,0,NOUN,,0,0
To,5,0,ADP,,0,0
War,5,1,NOUN,,0,0
With,5,2,ADP,,0,0
Iran,5,3,PROPN,,0,0
;,5,4,PUNCT,,0,0
Bush,5,5,PROPN,,0,0
To,5,6,PART,,0,0
Urge,5,7,VERB,,0,0
Jordan,5,8,PROPN,,0,0
To,5,9,PART,,0,0
Close,5,10,VERB,,0,0
Port,5,11,PROPN,,0,0
Eds,5,12,PROPN,,0,0
:,5,13,PUNCT,,0,0
SUBS,5,14,PROPN,,0,0
28th,5,15,NUM,,0,0
graf,5,16,NOUN,,0,0
pvs,5,17,PROPN,,0,0
",",5,18,PUNCT,,0,0
Crown,5,19,PROPN,,0,0
Prince,5,20,PROPN,,0,0
...,5,21,PUNCT,,0,0
to,5,22,ADP,,0,0
CORRECT,5,23,PROPN,,0,0
spelling,5,24,NOUN,,0,0
of,5,25,ADP,,0,0
Hassan,5,26,PROPN,,0,0
;,5,27,PUNCT,,0,0
pick,5,28,VERB,,0,0
up,5,29,ADP,,0,0
29th,5,30,ADJ,,0,0
graf,5,31,PROPN,,0,0
pvs,5,32,NOUN,,0,0
",",5,33,PUNCT,,0,0
`,5,34,PUNCT,,0,0
A,5,35,DET,,0,0
CBS,5,36,PROPN,,0,0
...,5,37,PUNCT,,0,0
',5,38,PUNCT,,0,0
LaserPhotos,6,0,PROPN,,0,0
"WX6,7,XSAV1,NY5,10,TOK1,XAAFB1,AMM1",6,1,PROPN,,0,0
",",6,2,PUNCT,,0,0
LaserColor,6,3,PROPN,,0,0
XAAFB1,6,4,NOUN,,0,0
By,7,0,ADP,,0,0
CHRISTOPHER,7,1,PROPN,,0,0
BURNS,7,2,ADV,,0,0
Associated,8,0,PROPN,,0,0
Press,8,1,PROPN,,0,0
Writer,8,2,PROPN,,0,0
Iraq,8,4,PROPN,,0,0
's,8,5,PART,,0,0
Saddam,8,6,PROPN,,0,0
Hussein,8,7,PROPN,,0,0
",",8,8,PUNCT,,0,0
facing,8,9,NOUN,e5,STATE,EVENT
U.S.,8,10,PROPN,,0,0
and,8,11,CCONJ,,0,0
Arab,8,12,ADJ,,0,0
troops,8,13,NOUN,,0,0
at,8,14,ADP,,0,0
the,8,15,DET,,0,0
Saudi,8,16,ADJ,,0,0
border,8,17,NOUN,,0,0
",",8,18,PUNCT,,0,0
today,8,19,NOUN,,0,0
sought,8,20,ADP,e6,I_ACTION,EVENT
peace,8,21,PROPN,e7,STATE,EVENT
on,8,22,ADP,,0,0
another,8,23,DET,,0,0
front,8,24,NOUN,,0,0
by,8,25,ADP,,0,0
promising,8,26,NOUN,e8,I_ACTION,EVENT
to,8,27,ADP,,0,0
withdraw,8,28,NOUN,e9,OCCURRENCE,EVENT
from,8,29,ADP,,0,0
Iranian,8,30,ADJ,,0,0
territory,8,31,NOUN,,0,0
and,8,32,CCONJ,,0,0
release,8,33,NOUN,e10,OCCURRENCE,EVENT
soldiers,8,34,NOUN,,0,0
captured,8,35,NOUN,e11,OCCURRENCE,EVENT
during,8,36,ADP,,0,0
the,8,37,DET,,0,0
Iran,8,38,PROPN,,0,0
-,8,39,PUNCT,,0,0
Iraq,8,40,PROPN,,0,0
war,8,41,NOUN,e13,OCCURRENCE,EVENT
.,8,42,PUNCT,,0,0
Also,9,0,ADV,,0,0
today,9,1,NOUN,,0,0
",",9,2,PUNCT,,0,0
King,9,3,PROPN,,0,0
Hussein,9,4,PROPN,,0,0
of,9,5,ADP,,0,0
Jordan,9,6,PROPN,,0,0
arrived,9,7,NOUN,e15,OCCURRENCE,EVENT
in,9,8,ADP,,0,0
Washington,9,9,PROPN,,0,0
seeking,9,10,NOUN,e16,I_ACTION,EVENT
to,9,11,ADP,,0,0
mediate,9,12,NOUN,e17,OCCURRENCE,EVENT
the,9,13,DET,,0,0
Persian,9,14,PROPN,,0,0
Gulf,9,15,PROPN,,0,0
crisis,9,16,NOUN,e18,OCCURRENCE,EVENT
.,9,17,PUNCT,,0,0
President,10,0,PROPN,,0,0
Bush,10,1,PROPN,,0,0
on,10,2,ADP,,0,0
Tuesday,10,3,PROPN,,0,0
said,10,4,NOUN,e19,REPORTING,EVENT
the,10,5,DET,,0,0
United,10,6,PROPN,,0,0
States,10,7,PROPN,,0,0
may,10,8,VERB,,0,0
extend,10,9,VERB,e23,OCCURRENCE,EVENT
its,10,10,DET,,0,0
naval,10,11,ADJ,,0,0
quarantine,10,12,NOUN,e26,OCCURRENCE,EVENT
to,10,13,ADP,,0,0
Jordan,10,14,PROPN,,0,0
's,10,15,PART,,0,0
Red,10,16,PROPN,,0,0
Sea,10,17,PROPN,,0,0
port,10,18,NOUN,,0,0
of,10,19,ADP,,0,0
Aqaba,10,20,PROPN,,0,0
to,10,21,ADP,,0,0
shut,10,22,NOUN,e27,OCCURRENCE,EVENT
off,10,23,ADP,,0,0
Iraq,10,24,PROPN,,0,0
's,10,25,PART,,0,0
last,10,26,ADJ,,0,0
unhindered,10,27,ADJ,,0,0
trade,10,28,NOUN,,0,0
route,10,29,NOUN,,0,0
.,10,30,PUNCT,,0,0
In,11,0,ADP,,0,0
another,11,1,DET,,0,0
mediation,11,2,NOUN,,0,0
effort,11,3,NOUN,,0,0
",",11,4,PUNCT,,0,0
the,11,5,DET,,0,0
Soviet,11,6,PROPN,,0,0
Union,11,7,PROPN,,0,0
said,11,8,NOUN,e28,REPORTING,EVENT
today,11,9,NOUN,,0,0
it,11,10,PRON,,0,0
had,11,11,AUX,,0,0
sent,11,12,NUM,e29,OCCURRENCE,EVENT
an,11,13,DET,,0,0
envoy,11,14,NOUN,,0,0
to,11,15,ADP,,0,0
the,11,16,DET,,0,0
Middle,11,17,PROPN,,0,0
East,11,18,PROPN,,0,0
on,11,19,ADP,,0,0
a,11,20,DET,,0,0
series,11,21,NOUN,,0,0
of,11,22,ADP,,0,0
stops,11,23,NOUN,e387,OCCURRENCE,EVENT
to,11,24,PART,,0,0
include,11,25,VERB,,0,0
Baghdad,11,26,PROPN,,0,0
.,11,27,PUNCT,,0,0
Soviet,12,0,ADJ,,0,0
officials,12,1,NOUN,,0,0
