token,sentence,idx,pos,event_id,label,simple_label
w1219,0,0,PROPN,,0,0
Cx1f,1,0,PROPN,,0,0
wstm-,1,1,PROPN,,0,0
u,2,0,PROPN,,0,0
i,2,1,PROPN,,0,0
Cx13,2,2,PUNCT,,0,0
Cx11,3,0,PROPN,,0,0
BC,4,0,PROPN,,0,0
-,4,1,PUNCT,,0,0
Israel,4,2,PROPN,,0,0
-,4,3,PUNCT,,0,0
Lebanon,4,4,PROPN,,0,0
03,4,6,NUM,,0,0
-,4,7,SYM,,0,0
01,4,8,NUM,,0,0
0570,4,9,NUM,,0,0
BC,5,0,PROPN,,0,0
-,5,1,PUNCT,,0,0
Israel,5,2,PROPN,,0,0
-,5,3,PUNCT,,0,0
Lebanon,5,4,PROPN,,0,0
Political,5,6,ADJ,,0,0
momentum,5,7,NOUN,,0,0
gathers,5,8,NOUN,,0,0
for,5,9,ADP,,0,0
Israeli,5,10,ADJ,,0,0
pullout,5,11,NOUN,,0,0
from,5,12,ADP,,0,0
Lebanon,5,13,PROPN,,0,0
UR,5,14,PROPN,,0,0
Eds,5,15,PROPN,,0,0
:,5,16,PUNCT,,0,0
INCORPORATES,5,17,PROPN,,0,0
Israel,5,18,PROPN,,0,0
-,5,19,PUNCT,,0,0
Syria,5,20,PROPN,,0,0
;,5,21,PUNCT,,0,0
ADDS,5,22,PROPN,,0,0
background,5,23,NOUN,,0,0
and,5,24,CCONJ,,0,0
additional,5,25,ADJ,,0,0
comment,5,26,NOUN,,0,0
Sunday,5,27,PROPN,,0,0
QL,5,28,PROPN,,0,0
JERUSALEM,5,30,PROPN,,0,0
(,5,31,PUNCT,,0,0
AP,5,32,PROPN,,0,0
),5,33,PUNCT,,0,0
_,6,0,PROPN,,0,0
Top,6,1,PROPN,,0,0
Israeli,6,2,ADJ,,0,0
officials,6,3,NOUN,,0,0
sent,6,4,VERB,e1,OCCURRENCE,EVENT
strong,6,5,ADJ,,0,0
new,6,6,ADJ,,0,0
signals,6,7,NOUN,e124,I_ACTION,EVENT
Sunday,6,8,PROPN,,0,0
that,6,9,SCONJ,,0,0
Israel,6,10,PROPN,,0,0
wants,6,11,PROPN,e3,I_STATE,EVENT
to,6,12,PART,,0,0
withdraw,6,13,VERB,e5,OCCURRENCE,EVENT
from,6,14,ADP,,0,0
southern,6,15,ADJ,,0,0
Lebanon,6,16,PROPN,,0,0
",",6,17,PUNCT,,0,0
where,6,18,ADV,,0,0
a,6,19,DET,,0,0
costly,6,20,ADJ,,0,0
war,6,21,NOUN,e6,OCCURRENCE,EVENT
of,6,22,ADP,,0,0
attrition,6,23,NOUN,,0,0
has,6,24,AUX,,0,0
been,6,25,AUX,,0,0
steadily,6,26,ADV,,0,0
