token,sentence,idx,pos,event_id,label,simple_label
Major,0,0,ADJ,,0,0
job,0,1,NOUN,,0,0
cuts,0,2,NOUN,e35,OCCURRENCE,EVENT
at,0,3,ADP,,0,0
AT,0,4,PROPN,,0,0
and,0,5,CCONJ,,0,0
T.,0,6,PROPN,,0,0
The,1,0,DET,,0,0
long,1,1,ADJ,,0,0
distance,1,2,NOUN,,0,0
giant,1,3,NOUN,,0,0
slashing,1,4,NOUN,e1,OCCURRENCE,EVENT
up,1,5,ADP,,0,0
to,1,6,PART,,0,0
eighteen,1,7,NUM,,0,0
thousand,1,8,NUM,,0,0
jobs,1,9,NOUN,,0,0
",",1,10,PUNCT,,0,0
freezing,1,11,PROPN,e38,OCCURRENCE,EVENT
executive,1,12,ADJ,,0,0
salaries,1,13,NOUN,,0,0
and,1,14,CCONJ,,0,0
shaking,1,15,VERB,e3,OCCURRENCE,EVENT
up,1,16,ADP,,0,0
management,1,17,NOUN,,0,0
.,1,18,PUNCT,,0,0
The,2,0,DET,,0,0
changes,2,1,NOUN,e39,ASPECTUAL,EVENT
are,2,2,AUX,,0,0
part,2,3,NOUN,,0,0
of,2,4,ADP,,0,0
a,2,5,DET,,0,0
one,2,6,NUM,,0,0
point,2,7,NOUN,,0,0
six,2,8,NUM,,0,0
billion,2,9,NUM,,0,0
dollar,2,10,NOUN,,0,0
cost,2,11,NOUN,,0,0
cutting,2,12,NOUN,e41,OCCURRENCE,EVENT
initiative,2,13,NOUN,e40,I_ACTION,EVENT
to,2,14,PART,,0,0
revitalize,2,15,PROPN,e4,OCCURRENCE,EVENT
its,2,16,DET,,0,0
position,2,17,NOUN,,0,0
in,2,18,ADP,,0,0
the,2,19,DET,,0,0
telecommunications,2,20,NOUN,,0,0
business,2,21,NOUN,,0,0
.,2,22,PUNCT,,0,0
Earlier,3,0,ADV,,0,0
AT,3,1,PROPN,,0,0
and,3,2,CCONJ,,0,0
T,3,3,PROPN,,0,0
also,3,4,ADV,,0,0
announced,3,5,VERB,e7,REPORTING,EVENT
an,3,6,DET,,0,0
eighteen,3,7,NUM,,0,0
percent,3,8,NOUN,,0,0
drop,3,9,NOUN,e42,OCCURRENCE,EVENT
in,3,10,ADP,,0,0
profits,3,11,NOUN,e43,STATE,EVENT
for,3,12,ADP,,0,0
the,3,13,DET,,0,0
fourth,3,14,ADJ,,0,0
quarter,3,15,NOUN,,0,0
.,3,16,PUNCT,,0,0
The,4,0,DET,,0,0
company,4,1,NOUN,,0,0
's,4,2,PART,,0,0
sales,4,3,NOUN,,0,0
force,4,4,NOUN,,0,0
applauded,4,5,PROPN,e9,I_ACTION,EVENT
the,4,6,DET,,0,0
shake,4,7,NOUN,e205,OCCURRENCE,EVENT
up,4,8,ADV,,0,0
.,4,9,PUNCT,,0,0
It,5,0,PRON,,0,0
's,5,1,AUX,,0,0
not,5,2,PART,,0,0
something,5,3,PRON,,0,0
we,5,4,PRON,,0,0
're,5,5,AUX,,0,0
not,5,6,PART,,0,0
used,5,7,ADJ,e206,STATE,EVENT
to,5,8,PART,,0,0
in,5,9,ADP,,0,0
the,5,10,DET,,0,0
industry,5,11,NOUN,,0,0
.,5,12,PUNCT,,0,0
But,6,0,CCONJ,,0,0
I,6,1,PRON,,0,0
think,6,2,VERB,e14,I_STATE,EVENT
right,6,3,ADV,,0,0
now,6,4,ADV,,0,0
",",6,5,PUNCT,,0,0
for,6,6,ADP,,0,0
AT,6,7,PROPN,,0,0
and,6,8,CCONJ,,0,0
T,6,9,PROPN,,0,0
