token,sentence,idx,pos,event_id,label,simple_label
Cx1f,0,0,PROPN,,0,0
taf,0,1,NOUN,,0,0
-,0,2,PUNCT,,0,0
z,0,3,PROPN,,0,0
u,0,4,PROPN,,0,0
k,1,0,PROPN,,0,0
Cx13,1,1,PROPN,,0,0
Cx11,2,0,PROPN,,0,0
ON,3,0,ADP,,0,0
STEREOTYPES,3,1,PROPN,,0,0
UR,3,2,PROPN,,0,0
(,3,3,PUNCT,,0,0
af,3,4,NOUN,,0,0
),3,5,PUNCT,,0,0
LR,3,6,PROPN,,0,0
QL,3,7,PROPN,,0,0
UR,3,8,PROPN,,0,0
c.1998,4,0,PROPN,,0,0
N.Y.,4,1,PROPN,,0,0
Times,4,2,PROPN,,0,0
News,4,3,PROPN,,0,0
Service,4,4,PROPN,,0,0
QC,4,5,PROPN,,0,0
LR,4,6,PROPN,,0,0
QL,4,7,PROPN,,0,0
The,5,0,DET,,0,0
New,5,1,PROPN,,0,0
York,5,2,PROPN,,0,0
Times,5,3,PROPN,,0,0
said,5,4,PROPN,e1,REPORTING,EVENT
in,5,5,ADP,,0,0
an,5,6,DET,,0,0
editorial,5,7,NOUN,,0,0
on,5,8,ADP,,0,0
Saturday,5,9,PROPN,,0,0
",",5,10,PUNCT,,0,0
April,5,11,PROPN,,0,0
25,5,12,NUM,,0,0
:,5,13,PUNCT,,0,0
The,5,14,DET,,0,0
Supreme,5,15,PROPN,,0,0
Court,5,16,PROPN,,0,0
took,5,17,PROPN,e4,OCCURRENCE,EVENT
a,5,18,DET,,0,0
detour,5,19,NOUN,,0,0
this,5,20,DET,,0,0
week,5,21,NOUN,,0,0
from,5,22,ADP,,0,0
the,5,23,DET,,0,0
core,5,24,NOUN,,0,0
principle,5,25,NOUN,,0,0
of,5,26,ADP,,0,0
gender,5,27,NOUN,,0,0
fairness,5,28,NOUN,,0,0
it,5,29,PRON,,0,0
vindicated,5,30,VERB,e5,OCCURRENCE,EVENT
two,5,31,NUM,,0,0
years,5,32,NOUN,,0,0
ago,5,33,ADV,,0,0
in,5,34,ADP,,0,0
its,5,35,DET,,0,0
ruling,5,36,NOUN,e2031,OCCURRENCE,EVENT
invalidating,5,37,PROPN,e8,I_ACTION,EVENT
the,5,38,DET,,0,0
use,5,39,NOUN,e2040,OCCURRENCE,EVENT
of,5,40,ADP,,0,0
sexual,5,41,ADJ,,0,0
stereotypes,5,42,NOUN,,0,0
to,5,43,PART,,0,0
justify,5,44,VERB,,0,0
denying,5,45,VERB,,0,0
women,5,46,NOUN,,0,0
admission,5,47,NOUN,,0,0
to,5,48,ADP,,0,0
the,5,49,DET,,0,0
Virginia,5,50,PROPN,,0,0
Military,5,51,PROPN,,0,0
Institute,5,52,PROPN,,0,0
.,5,53,PUNCT,,0,0
By,6,0,ADP,,0,0
a,6,1,DET,,0,0
6,6,2,NUM,,0,0
-,6,3,SYM,,0,0
3,6,4,NUM,,0,0
vote,6,5,NOUN,,0,0
",",6,6,PUNCT,,0,0
the,6,7,DET,,0,0
court,6,8,NOUN,,0,0
upheld,6,9,VERB,e11,OCCURRENCE,EVENT
a,6,10,DET,,0,0
discriminatory,6,11,ADJ,,0,0
immigration,6,12,NOUN,,0,0
law,6,13,NOUN,,0,0
that,6,14,DET,,0,0
gives,6,15,VERB,,0,0
a,6,16,DET,,0,0
child,6,17,NOUN,,0,0
born,6,18,VERB,,0,0
overseas,6,19,ADV,,0,0
to,6,20,ADP,,0,0
an,6,21,DET,,0,0
unmarried,6,22,ADJ,,0,0
American,6,23,ADJ,,0,0
woman,6,24,NOUN,,0,0
a,6,25,DET,,0,0
better,6,26,ADJ,,0,0
chance,6,27,NOUN,,0,0
at,6,28,ADP,,0,0
citizenship,6,29,NOUN,,0,0
than,6,30,SCONJ,,0,0
a,6,31,DET,,0,0
child,6,32,NOUN,,0,0
born,6,33,VERB,,0,0
to,6,34,ADP,,0,0
an,6,35,DET,,0,0
unmarried,6,36,ADJ,,0,0
American,6,37,ADJ,,0,0
man,6,38,NOUN,,0,0
.,6,39,PUNCT,,0,0
Under,7,0,ADP,,0,0
the,7,1,DET,,0,0
statute,7,2,NOUN,,0,0
",",7,3,PUNCT,,0,0
a,7,4,DET,,0,0
child,7,5,NOUN,,0,0
born,7,6,VERB,,0,0
abroad,7,7,ADV,,0,0
to,7,8,ADP,,0,0
an,7,9,DET,,0,0
unwed,7,10,ADJ,,0,0
American,7,11,ADJ,,0,0
mother,7,12,NOUN,,0,0
is,7,13,AUX,,0,0
automatically,7,14,ADV,,0,0
considered,7,15,VERB,,0,0
a,7,16,DET,,0,0
U.S.,7,17,PROPN,,0,0
citizen,7,18,NOUN,,0,0
.,7,19,PUNCT,,0,0
But,8,0,CCONJ,,0,0
the,8,1,DET,,0,0
child,8,2,NOUN,,0,0
of,8,3,ADP,,0,0
an,8,4,DET,,0,0
unwed,8,5,ADJ,,0,0
American,8,6,ADJ,,0,0
father,8,7,NOUN,,0,0
has,8,8,AUX,,0,0
no,8,9,DET,,0,0
citizenship,8,10,NOUN,,0,0
rights,8,11,NOUN,,0,0
unless,8,12,SCONJ,,0,0
the,8,13,DET,,0,0
father,8,14,NOUN,,0,0
takes,8,15,VERB,,0,0
the,8,16,DET,,0,0
affirmative,8,17,ADJ,,0,0
step,8,18,NOUN,,0,0
of,8,19,ADP,,0,0
acknowledging,8,20,VERB,,0,0
paternity,8,21,NOUN,,0,0
and,8,22,CCONJ,,0,0
formally,8,23,ADV,,0,0
agrees,8,24,VERB,,0,0
to,8,25,PART,,0,0
provide,8,26,VERB,,0,0
support,8,27,NOUN,,0,0
until,8,28,ADP,,0,0
the,8,29,DET,,0,0
child,8,30,NOUN,,0,0
