token,sentence,idx,pos,event_id,label,simple_label
Photo,0,0,PROPN,,0,0
;,0,1,PUNCT,,0,0
PHOTO,0,2,PROPN,,0,0
:,0,3,PUNCT,,0,0
Sununu,0,4,PROPN,,0,0
;,0,5,PUNCT,,0,0
(,0,6,PUNCT,,0,0
Photo,1,0,PROPN,,0,0
ran,1,1,VERB,,0,0
in,1,2,ADP,,0,0
PM,1,3,NOUN,,0,0
editions,1,4,NOUN,,0,0
only,1,5,ADV,,0,0
),1,6,PUNCT,,0,0
One,2,0,NUM,,0,0
of,2,1,ADP,,0,0
President,2,2,PROPN,,0,0
Bush,2,3,PROPN,,0,0
's,2,4,PART,,0,0
sons,2,5,NOUN,,0,0
has,2,6,AUX,,0,0
informed,2,7,NUM,e64,REPORTING,EVENT
White,2,8,PROPN,,0,0
House,2,9,PROPN,,0,0
Chief,2,10,PROPN,,0,0
of,2,11,ADP,,0,0
Staff,2,12,PROPN,,0,0
John,2,13,PROPN,,0,0
Sununu,2,14,PROPN,,0,0
that,2,15,SCONJ,,0,0
he,2,16,PRON,,0,0
has,2,17,AUX,,0,0
lost,2,18,NOUN,e65,OCCURRENCE,EVENT
much,2,19,ADJ,,0,0
of,2,20,ADP,,0,0
his,2,21,DET,,0,0
support,2,22,NOUN,,0,0
among,2,23,ADP,,0,0
Republicans,2,24,PROPN,,0,0
",",2,25,PUNCT,,0,0
prompting,2,26,VERB,e68,OCCURRENCE,EVENT
an,2,27,DET,,0,0
intense,2,28,ADJ,,0,0
effort,2,29,NOUN,,0,0
by,2,30,ADP,,0,0
Sununu,2,31,PROPN,,0,0
to,2,32,ADP,,0,0
hold,2,33,VERB,e83,STATE,EVENT
on,2,34,ADP,,0,0
to,2,35,ADP,,0,0
his,2,36,DET,,0,0
job,2,37,NOUN,,0,0
by,2,38,ADP,,0,0
demonstrating,2,39,NOUN,e84,OCCURRENCE,EVENT
his,2,40,DET,,0,0
GOP,2,41,PROPN,,0,0
backing,2,42,NOUN,,0,0
",",2,43,PUNCT,,0,0
White,2,44,PROPN,,0,0
House,2,45,PROPN,,0,0
and,2,46,CCONJ,,0,0
Republican,2,47,PROPN,,0,0
sources,2,48,NOUN,,0,0
said,2,49,NUM,e69,REPORTING,EVENT
Monday,2,50,PROPN,,0,0
.,2,51,PUNCT,,0,0
;,3,0,PUNCT,,0,0
Sununu,3,2,PROPN,,0,0
was,3,3,AUX,,0,0
told,3,4,NOUN,e85,REPORTING,EVENT
Wednesday,3,5,PROPN,,0,0
by,3,6,ADP,,0,0
Bush,3,7,PROPN,,0,0
's,3,8,PART,,0,0
son,3,9,NOUN,,0,0
",",3,10,PUNCT,,0,0
George,3,11,PROPN,,0,0
",",3,12,PUNCT,,0,0
that,3,13,SCONJ,,0,0
he,3,14,PRON,,0,0
had,3,15,AUX,,0,0
alienated,3,16,NOUN,e75,OCCURRENCE,EVENT
members,3,17,NOUN,,0,0
of,3,18,ADP,,0,0
the,3,19,DET,,0,0
Cabinet,3,20,PROPN,,0,0
",",3,21,PUNCT,,0,0
the,3,22,DET,,0,0
White,3,23,PROPN,,0,0
House,3,24,PROPN,,0,0
staff,3,25,NOUN,,0,0
and,3,26,CCONJ,,0,0
the,3,27,DET,,0,0
Republican,3,28,ADJ,,0,0
political,3,29,ADJ,,0,0
community,3,30,NOUN,,0,0
",",3,31,PUNCT,,0,0
creating,3,32,NOUN,e76,OCCURRENCE,EVENT
a,3,33,DET,,0,0
situation,3,34,NOUN,,0,0
that,3,35,DET,,0,0
puts,3,36,VERB,,0,0
his,3,37,DET,,0,0
effectiveness,3,38,NOUN,,0,0
in,3,39,ADP,,0,0
significant,3,40,ADJ,,0,0
doubt,3,41,NOUN,,0,0
",",3,42,PUNCT,,0,0
the,3,43,DET,,0,0
sources,3,44,NOUN,,0,0
said,3,45,NOUN,e77,REPORTING,EVENT
.,3,46,PUNCT,,0,0
Front,4,0,ADJ,,0,0
The,5,0,DET,,0,0
message,5,1,NOUN,e1,OCCURRENCE,EVENT
to,5,2,ADP,,0,0
the,5,3,DET,,0,0
chief,5,4,NOUN,,0,0
of,5,5,ADP,,0,0
staff,5,6,NOUN,,0,0
was,5,7,AUX,,0,0
meant,5,8,NOUN,e2,I_STATE,EVENT
to,5,9,PART,,0,0
be,5,10,AUX,,0,0
taken,5,11,PROPN,e4,OCCURRENCE,EVENT
as,5,12,SCONJ,,0,0
a,5,13,DET,,0,0
suggestion,5,14,NOUN,e5,OCCURRENCE,EVENT
that,5,15,DET,,0,0
Sununu,5,16,PROPN,,0,0
offer,5,17,NOUN,e89,I_ACTION,EVENT
to,5,18,ADP,,0,0
resign,5,19,PROPN,e7,OCCURRENCE,EVENT
",",5,20,PUNCT,,0,0
one,5,21,NUM,,0,0
highly,5,22,ADV,,0,0
placed,5,23,VERB,,0,0
source,5,24,NOUN,,0,0
said,5,25,NOUN,e8,REPORTING,EVENT
.,5,26,PUNCT,,0,0
Instead,6,0,ADV,,0,0
",",6,1,PUNCT,,0,0
Sununu,6,2,PROPN,,0,0
sought,6,3,NOUN,e9,I_ACTION,EVENT
to,6,4,ADP,,0,0
prove,6,5,NOUN,e11,OCCURRENCE,EVENT
to,6,6,ADP,,0,0
the,6,7,DET,,0,0
president,6,8,NOUN,,0,0
that,6,9,SCONJ,,0,0
his,6,10,DET,,0,0
supporters,6,11,NOUN,,0,0
outnumber,6,12,NUM,e12,OCCURRENCE,EVENT
his,6,13,DET,,0,0
critics,6,14,NOUN,,0,0
and,6,15,CCONJ,,0,0
that,6,16,SCONJ,,0,0
he,6,17,PRON,,0,0
should,6,18,VERB,,0,0
remain,6,19,VERB,e13,STATE,EVENT
in,6,20,ADP,,0,0
his,6,21,DET,,0,0
post,6,22,NOUN,,0,0
.,6,23,PUNCT,,0,0
;,7,0,PUNCT,,0,0
One,7,2,NUM,,0,0
senior,7,3,ADJ,,0,0
official,7,4,NOUN,,0,0
Monday,7,5,PROPN,,0,0
described,7,6,NOUN,e15,REPORTING,EVENT
the,7,7,DET,,0,0
White,7,8,PROPN,,0,0
House,7,9,PROPN,,0,0
as,7,10,SCONJ,,0,0
"""",7,11,PUNCT,,0,0
a,7,12,DET,,0,0
collection,7,13,NOUN,,0,0
of,7,14,ADP,,0,0
small,7,15,ADJ,,0,0
groups,7,16,NOUN,,0,0
of,7,17,ADP,,0,0
aides,7,18,NOUN,,0,0
holding,7,19,PUNCT,e16,STATE,EVENT
their,7,20,DET,,0,0
breaths,7,21,NOUN,,0,0
",",7,22,PUNCT,,0,0
"""",7,23,PUNCT,,0,0
waiting,7,24,NOUN,e17,I_STATE,EVENT
to,7,25,ADP,,0,0
see,7,26,NOUN,e19,PERCEPTION,EVENT
whether,7,27,SCONJ,,0,0
Sununu,7,28,PROPN,,0,0
survives,7,29,NOUN,e20,OCCURRENCE,EVENT
.,7,30,PUNCT,,0,0
