token,sentence,idx,pos,event_id,label,simple_label
The,0,0,DET,,0,0
US,0,1,PROPN,,0,0
government,0,2,NOUN,,0,0
recently,0,3,ADV,,0,0
announced,0,4,VERB,e1,REPORTING,EVENT
new,0,5,ADJ,,0,0
regulations,0,6,NOUN,,0,0
designed,0,7,PUNCT,e3,I_STATE,EVENT
to,0,8,PART,,0,0
change,0,9,VERB,e5,OCCURRENCE,EVENT
the,0,10,DET,,0,0
way,0,11,NOUN,,0,0
transplant,0,12,NOUN,,0,0
organs,0,13,NOUN,,0,0
are,0,14,AUX,,0,0
made,0,15,VERB,,0,0
available,0,16,ADJ,,0,0
to,0,17,ADP,,0,0
sick,0,18,ADJ,,0,0
patients,0,19,NOUN,,0,0
.,0,20,PUNCT,,0,0
Under,1,0,ADP,,0,0
the,1,1,DET,,0,0
new,1,2,ADJ,,0,0
guidelines,1,3,NOUN,,0,0
",",1,4,PUNCT,,0,0
donor,1,5,NOUN,,0,0
organs,1,6,NOUN,,0,0
will,1,7,VERB,,0,0
be,1,8,AUX,,0,0
made,1,9,VERB,,0,0
available,1,10,ADJ,,0,0
to,1,11,ADP,,0,0
the,1,12,DET,,0,0
sickest,1,13,ADJ,,0,0
people,1,14,NOUN,,0,0
first,1,15,ADV,,0,0
",",1,16,PUNCT,,0,0
wherever,1,17,ADV,,0,0
they,1,18,PRON,,0,0
live,1,19,VERB,,0,0
in,1,20,ADP,,0,0
the,1,21,DET,,0,0
country,1,22,NOUN,,0,0
.,1,23,PUNCT,,0,0
Currently,2,0,ADV,,0,0
",",2,1,PUNCT,,0,0
transplant,2,2,NOUN,,0,0
organs,2,3,NOUN,,0,0
are,2,4,AUX,,0,0
rationed,2,5,VERB,,0,0
through,2,6,ADP,,0,0
a,2,7,DET,,0,0
regional,2,8,ADJ,,0,0
system,2,9,NOUN,,0,0
of,2,10,ADP,,0,0
distribution,2,11,NOUN,,0,0
.,2,12,PUNCT,,0,0
The,3,0,DET,,0,0
private,3,1,ADJ,,0,0
group,3,2,NOUN,,0,0
that,3,3,DET,,0,0
runs,3,4,VERB,e11,OCCURRENCE,EVENT
the,3,5,DET,,0,0
current,3,6,ADJ,,0,0
system,3,7,NOUN,,0,0
",",3,8,PUNCT,,0,0
United,3,9,PROPN,,0,0
Network,3,10,PROPN,,0,0
for,3,11,ADP,,0,0
Organ,3,12,PROPN,,0,0
Sharing,3,13,PROPN,,0,0
",",3,14,PUNCT,,0,0
or,3,15,CCONJ,,0,0
UNOS,3,16,PROPN,,0,0
",",3,17,PUNCT,,0,0
objects,3,18,VERB,,0,0
to,3,19,ADP,,0,0
the,3,20,DET,,0,0
new,3,21,ADJ,,0,0
regulations,3,22,NOUN,,0,0
.,3,23,PUNCT,,0,0
UNOS,4,0,PROPN,,0,0
says,4,1,PUNCT,e13,REPORTING,EVENT
the,4,2,DET,,0,0
regulations,4,3,NOUN,,0,0
put,4,4,VERB,e15,OCCURRENCE,EVENT
the,4,5,DET,,0,0
federal,4,6,ADJ,,0,0
government,4,7,NOUN,,0,0
in,4,8,ADP,,0,0
charge,4,9,NOUN,,0,0
of,4,10,ADP,,0,0
deciding,4,11,NOUN,e16,OCCURRENCE,EVENT
who,4,12,PRON,,0,0
gets,4,13,NOUN,e17,OCCURRENCE,EVENT
transplants,4,14,NOUN,e18,OCCURRENCE,EVENT
and,4,15,CCONJ,,0,0
that,4,16,SCONJ,,0,0
many,4,17,ADJ,,0,0
hospital,4,18,NOUN,,0,0
transplant,4,19,NOUN,,0,0
centers,4,20,NOUN,,0,0
would,4,21,VERB,,0,0
be,4,22,AUX,,0,0
forced,4,23,NOUN,e19,OCCURRENCE,EVENT
to,4,24,ADP,,0,0
close,4,25,NOUN,e22,OCCURRENCE,EVENT
.,4,26,PUNCT,,0,0
Health,5,0,PROPN,,0,0
and,5,1,CCONJ,,0,0
Human,5,2,PROPN,,0,0
Services,5,3,PROPN,,0,0
Secretary,5,4,PROPN,,0,0
Do-,5,5,PROPN,,0,0
Donna,5,6,PROPN,,0,0
Shalala,5,7,PROPN,,0,0
says,5,8,NOUN,e23,REPORTING,EVENT
patients,5,9,NOUN,,0,0
who,5,10,PRON,,0,0
need,5,11,VERB,e24,I_STATE,EVENT
an,5,12,DET,,0,0
organ,5,13,NOUN,,0,0
transplant,5,14,NOUN,e25,OCCURRENCE,EVENT
should,5,15,VERB,,0,0
not,5,16,PART,,0,0
have,5,17,AUX,,0,0
to,5,18,PART,,0,0
take,5,19,VERB,e30,OCCURRENCE,EVENT
a,5,20,DET,,0,0
chance,5,21,NOUN,,0,0
that,5,22,SCONJ,,0,0
an,5,23,DET,,0,0
organ,5,24,NOUN,,0,0
will,5,25,VERB,,0,0
become,5,26,VERB,e31,OCCURRENCE,EVENT
available,5,27,ADJ,,0,0
in,5,28,ADP,,0,0
their,5,29,DET,,0,0
local,5,30,ADJ,,0,0
area,5,31,NOUN,,0,0
",",5,32,PUNCT,,0,0
nor,5,33,CCONJ,,0,0
should,5,34,VERB,,0,0
patients,5,35,NOUN,,0,0
have,5,36,AUX,,0,0
to,5,37,PART,,0,0
travel,5,38,VERB,e34,OCCURRENCE,EVENT
to,5,39,PART,,0,0
transplant,5,40,NOUN,,0,0
centers,5,41,NOUN,,0,0
far,5,42,ADV,,0,0
from,5,43,ADP,,0,0
their,5,44,DET,,0,0
homes,5,45,NOUN,,0,0
to,5,46,PART,,0,0
improve,5,47,VERB,e38,OCCURRENCE,EVENT
their,5,48,DET,,0,0
chances,5,49,NOUN,,0,0
of,5,50,ADP,,0,0
getting,5,51,NOUN,e39,OCCURRENCE,EVENT
an,5,52,DET,,0,0
organ,5,53,NOUN,,0,0
.,5,54,PUNCT,,0,0
UNOS,6,0,PROPN,,0,0
spokeswoman,6,1,NOUN,,0,0
Donna,6,2,PROPN,,0,0
Henry,6,3,PROPN,,0,0
Wright,6,4,PROPN,,0,0
says,6,5,NOUN,e40,REPORTING,EVENT
the,7,0,DET,,0,0
new,7,1,ADJ,,0,0
policy,7,2,NOUN,,0,0
would,7,3,VERB,,0,0
not,7,4,PART,,0,0
necessarily,7,5,ADV,,0,0
be,7,6,AUX,,0,0
more,7,7,ADJ,,0,0
fair,7,8,PROPN,e121,STATE,EVENT
or,7,9,CCONJ,,0,0
effective,7,10,PROPN,e122,STATE,EVENT
because,7,11,SCONJ,,0,0
allowances,7,12,NOUN,,0,0
are,7,13,AUX,,0,0
already,7,14,ADV,,0,0
made,7,15,NOUN,e43,OCCURRENCE,EVENT
for,7,16,ADP,,0,0
the,7,17,DET,,0,0
most,7,18,ADJ,,0,0
needy,7,19,ADJ,,0,0
patients,7,20,NOUN,,0,0
.,7,21,PUNCT,,0,0
The,8,0,DET,,0,0
sickest,8,1,ADJ,,0,0
patients,8,2,NOUN,,0,0
are,8,3,AUX,,0,0
already,8,4,ADV,,0,0
treated,8,5,NOUN,e44,OCCURRENCE,EVENT
first,8,6,ADJ,,0,0
.,8,7,PUNCT,,0,0
There,9,0,PRON,,0,0
are,9,1,AUX,,0,0
not,9,2,PART,,0,0
huge,9,3,ADJ,,0,0
waiting,9,4,INTJ,e45,OCCURRENCE,EVENT
uh,9,5,INTJ,,0,0
disparit-,9,6,NOUN,,0,0
waiting,10,0,VERB,,0,0
time,10,1,NOUN,,0,0
disparities,10,2,NOUN,,0,0
amongst,10,3,ADP,,0,0
the,10,4,DET,,0,0
very,10,5,ADV,,0,0
uh,10,6,INTJ,,0,0
sickest,10,7,ADJ,,0,0
patients,10,8,NOUN,,0,0
.,10,9,PUNCT,,0,0
It,11,0,PRON,,0,0
's,11,1,AUX,,0,0
between,11,2,ADP,,0,0
two,11,3,NUM,,0,0
to,11,4,PART,,0,0
six,11,5,NUM,,0,0
days,11,6,NOUN,,0,0
for,11,7,ADP,,0,0
every,11,8,DET,,0,0
one,11,9,NUM,,0,0
uh,11,10,INTJ,,0,0
of,11,11,ADP,,0,0
the,11,12,DET,,0,0
sickest,11,13,ADJ,,0,0
patients,11,14,NOUN,,0,0
across,11,15,ADP,,0,0
the,11,16,DET,,0,0
country,11,17,NOUN,,0,0
.,11,18,PUNCT,,0,0
um,12,0,INTJ,,0,0
So,12,1,ADV,,0,0
it,12,2,PRON,,0,0
's,12,3,AUX,,0,0
a-,12,4,X,,0,0
it,13,0,PRON,,0,0
's,13,1,AUX,,0,0
a,13,2,DET,,0,0
fallacy,13,3,NOUN,,0,0
that,13,4,SCONJ,,0,0
they,13,5,PRON,,0,0
're,13,6,AUX,,0,0
doing,13,7,ADP,e48,OCCURRENCE,EVENT
this,13,8,DET,,0,0
because,13,9,SCONJ,,0,0
um,13,10,INTJ,,0,0
the,13,11,DET,,0,0
sickest,13,12,ADJ,,0,0
patients,13,13,NOUN,,0,0
are,13,14,AUX,,0,0
n't,13,15,PART,,0,0
being,13,16,AUX,,0,0
