token,sentence,idx,pos,event_id,label,simple_label
Breakthrough,0,0,PROPN,,0,0
:,0,1,PUNCT,,0,0
U.S.,0,3,PROPN,,0,0
Hails,0,4,PROPN,,0,0
Invasion,0,5,PROPN,,0,0
Of,0,7,ADP,,0,0
Kuwait,0,8,PROPN,,0,0
and,0,9,CCONJ,,0,0
Iraq,0,10,PROPN,,0,0
As,1,0,SCONJ,,0,0
`,1,1,PUNCT,,0,0
Dramatic,1,2,PROPN,,0,0
Success,1,3,PROPN,,0,0
',1,4,PART,,0,0
---,1,6,PUNCT,,0,0
Troops,1,8,NOUN,,0,0
Meet,1,9,VERB,,0,0
Little,1,10,PROPN,,0,0
Resistance,1,11,PROPN,,0,0
But,2,0,CCONJ,,0,0
Allied,2,1,PROPN,,0,0
Forces,2,2,PROPN,,0,0
Face,2,3,VERB,,0,0
Political,2,5,ADJ,,0,0
",",2,6,PUNCT,,0,0
Military,2,7,PROPN,,0,0
Risks,2,8,PROPN,,0,0
---,2,10,PUNCT,,0,0
Long,2,12,PROPN,,0,0
Columns,2,13,PROPN,,0,0
of,2,14,ADP,,0,0
Iraqi,2,15,ADJ,,0,0
POWs,2,16,NOUN,,0,0
By,3,0,ADP,,0,0
Gerald,3,1,PROPN,,0,0
F.,3,2,PROPN,,0,0
Seib,3,3,PROPN,,0,0
Staff,3,5,PROPN,,0,0
Reporter,3,6,NOUN,,0,0
of,3,7,ADP,,0,0
The,3,8,DET,,0,0
Wall,3,9,PROPN,,0,0
Street,3,10,PROPN,,0,0
Journal,3,11,PROPN,,0,0
With,4,0,ADP,,0,0
the,4,1,DET,,0,0
ground,4,2,NOUN,,0,0
battle,4,3,NOUN,e433,OCCURRENCE,EVENT
to,4,4,ADP,,0,0
liberate,4,5,PROPN,e435,OCCURRENCE,EVENT
Kuwait,4,6,PROPN,,0,0
proceeding,4,7,NOUN,e436,ASPECTUAL,EVENT
with,4,8,ADP,,0,0
surprising,4,9,ADJ,,0,0
speed,4,10,NOUN,,0,0
and,4,11,CCONJ,,0,0
success,4,12,NOUN,,0,0
",",4,13,PUNCT,,0,0
Bush,4,14,PROPN,,0,0
administration,4,15,NOUN,,0,0
officials,4,16,NOUN,,0,0
are,4,17,AUX,,0,0
optimistic,4,18,ADJ,,0,0
the,5,0,DET,,0,0
Persian,5,1,PROPN,,0,0
Gulf,5,2,PROPN,,0,0
war,5,3,PROPN,e438,OCCURRENCE,EVENT
can,5,4,VERB,,0,0
begin,5,5,VERB,e439,ASPECTUAL,EVENT
winding,5,6,VERB,e441,OCCURRENCE,EVENT
down,5,7,ADP,,0,0
in,5,8,ADP,,0,0
a,5,9,DET,,0,0
matter,5,10,NOUN,,0,0
of,5,11,ADP,,0,0
days,5,12,NOUN,,0,0
.,5,13,PUNCT,,0,0
The,6,0,DET,,0,0
enormous,6,1,ADJ,,0,0
ground,6,2,NOUN,,0,0
offensive,6,3,NOUN,e524,OCCURRENCE,EVENT
by,6,4,ADP,,0,0
U.S.,6,5,PROPN,,0,0
Marines,6,6,PROPN,,0,0
and,6,7,CCONJ,,0,0
Army,6,8,PROPN,,0,0
troops,6,9,NOUN,,0,0
",",6,10,PUNCT,,0,0
at,6,11,ADP,,0,0
least,6,12,ADJ,,0,0
during,6,13,ADP,,0,0
its,6,14,DET,,0,0
first,6,15,ADJ,,0,0
24,6,16,NUM,,0,0
hours,6,17,NOUN,,0,0
",",6,18,PUNCT,,0,0
met,6,19,VERB,e442,OCCURRENCE,EVENT
only,6,20,ADV,,0,0
sporadic,6,21,ADJ,,0,0
Iraqi,6,22,ADJ,,0,0
resistance,6,23,PROPN,e443,OCCURRENCE,EVENT
as,6,24,SCONJ,,0,0
it,6,25,PRON,,0,0
quickly,6,26,ADV,,0,0
penetrated,6,27,VERB,e444,OCCURRENCE,EVENT
deep,6,28,ADV,,0,0
into,6,29,ADP,,0,0
Kuwait,6,30,PROPN,,0,0
and,6,31,CCONJ,,0,0
parts,6,32,NOUN,,0,0
of,6,33,ADP,,0,0
Iraq,6,34,PROPN,,0,0
",",6,35,PUNCT,,0,0
military,6,36,ADJ,,0,0
officials,6,37,NOUN,,0,0
said,6,38,NOUN,e446,REPORTING,EVENT
.,6,39,PUNCT,,0,0
According,7,0,VERB,,0,0
to,7,1,ADP,,0,0
press,7,2,NOUN,,0,0
pool,7,3,NOUN,,0,0
reports,7,4,NOUN,e447,REPORTING,EVENT
",",7,5,PUNCT,,0,0
U.S.,7,6,PROPN,,0,0
Marines,7,7,PROPN,,0,0
are,7,8,AUX,,0,0
already,7,9,ADV,,0,0
on,7,10,PRON,e534,STATE,EVENT
the,7,11,DET,,0,0
outskirts,7,12,NOUN,,0,0
of,7,13,ADP,,0,0
Kuwait,7,14,PROPN,,0,0
City,7,15,PROPN,,0,0
.,7,16,PUNCT,,0,0
"""",8,0,PUNCT,,0,0
So,8,1,ADV,,0,0
far,8,2,ADV,,0,0
",",8,3,PUNCT,,0,0
the,8,4,DET,,0,0
offensive,8,5,ADJ,e449,OCCURRENCE,EVENT
is,8,6,AUX,,0,0
progressing,8,7,NOUN,e2,OCCURRENCE,EVENT
with,8,8,ADP,,0,0
dramatic,8,9,ADJ,,0,0
success,8,10,NOUN,,0,0
",",8,11,PUNCT,,0,0
"""",8,12,PUNCT,,0,0
said,8,13,PROPN,e4,REPORTING,EVENT
a,8,14,DET,,0,0
buoyant,8,15,ADJ,,0,0
Gen.,8,16,PROPN,,0,0
Norman,8,17,PROPN,,0,0
Schwarzkopf,8,18,PROPN,,0,0
",",8,19,PUNCT,,0,0
commander,8,20,NOUN,,0,0
of,8,21,ADP,,0,0
U.S.,8,22,PROPN,,0,0
forces,8,23,NOUN,,0,0
.,8,24,PUNCT,,0,0
Similarly,9,0,ADV,,0,0
",",9,1,PUNCT,,0,0
while,9,2,SCONJ,,0,0
cautioning,9,3,NOUN,e6,OCCURRENCE,EVENT
about,9,4,ADP,,0,0
the,9,5,DET,,0,0
uncertainty,9,6,ADJ,e531,STATE,EVENT
of,9,7,ADP,,0,0
early,9,8,ADJ,,0,0
battle,9,9,PROPN,e450,OCCURRENCE,EVENT
reports,9,10,NOUN,e7,OCCURRENCE,EVENT
",",9,11,PUNCT,,0,0
White,9,12,PROPN,,0,0
House,9,13,PROPN,,0,0
spokesman,9,14,NOUN,,0,0
Marlin,9,15,PROPN,,0,0
Fitzwater,9,16,PROPN,,0,0
said,9,17,VERB,e8,REPORTING,EVENT
late,9,18,ADJ,,0,0
yesterday,9,19,NOUN,,0,0
that,9,20,SCONJ,,0,0
"""",9,21,PUNCT,,0,0
the,9,22,DET,,0,0
operation,9,23,NOUN,e9,OCCURRENCE,EVENT
has,9,24,AUX,,0,0
been,9,25,AUX,,0,0
very,9,26,ADV,,0,0
successful,9,27,ADJ,,0,0
.,9,28,PUNCT,,0,0
"""",9,29,PUNCT,,0,0
Amid,10,0,ADP,,0,0
reports,10,1,NOUN,e10,REPORTING,EVENT
that,10,2,SCONJ,,0,0
thousands,10,3,NOUN,,0,0
of,10,4,ADP,,0,0
Iraqi,10,5,ADJ,,0,0
soldiers,10,6,NOUN,,0,0
had,10,7,AUX,,0,0
surrendered,10,8,NOUN,e11,OCCURRENCE,EVENT
",",10,9,PUNCT,,0,0
administration,10,10,NOUN,,0,0
aides,10,11,NOUN,,0,0
were,10,12,AUX,,0,0
also,10,13,ADV,,0,0
upbeat,10,14,ADJ,,0,0
in,10,15,ADP,,0,0
private,10,16,ADJ,,0,0
",",10,17,PUNCT,,0,0
with,10,18,ADP,,0,0
one,10,19,NUM,,0,0
even,10,20,ADV,,0,0
talking,10,21,NOUN,e12,OCCURRENCE,EVENT
of,10,22,ADP,,0,0
victory,10,23,NOUN,e13,OCCURRENCE,EVENT
within,10,24,ADP,,0,0
a,10,25,DET,,0,0
week,10,26,NOUN,,0,0
.,10,27,PUNCT,,0,0
But,11,0,CCONJ,,0,0
even,11,1,ADV,,0,0
continued,11,2,NUM,e14,OCCURRENCE,EVENT
military,11,3,ADJ,,0,0
success,11,4,NOUN,,0,0
carries,11,5,NOUN,e16,OCCURRENCE,EVENT
political,11,6,ADJ,,0,0
and,11,7,CCONJ,,0,0
diplomatic,11,8,ADJ,,0,0
risks,11,9,NOUN,e17,OCCURRENCE,EVENT
for,11,10,ADP,,0,0
President,11,11,PROPN,,0,0
Bush,11,12,PROPN,,0,0
and,11,13,CCONJ,,0,0
the,11,14,DET,,0,0
U.S.,11,15,PROPN,,0,0
The,12,0,DET,,0,0
allied,12,1,VERB,,0,0
rejection,12,2,NOUN,e18,OCCURRENCE,EVENT
of,12,3,ADP,,0,0
the,12,4,DET,,0,0
last,12,5,ADJ,,0,0
-,12,6,PUNCT,,0,0
minute,12,7,NOUN,,0,0
Soviet,12,8,PROPN,,0,0
-,12,9,PUNCT,,0,0
led,12,10,VERB,,0,0
diplomatic,12,11,ADJ,,0,0
effort,12,12,NOUN,e19,OCCURRENCE,EVENT
to,12,13,PART,,0,0
avoid,12,14,VERB,e21,I_ACTION,EVENT
the,12,15,DET,,0,0
ground,12,16,NOUN,,0,0
war,12,17,NOUN,e22,OCCURRENCE,EVENT
enabled,12,18,NUM,e23,I_STATE,EVENT
Mr.,12,19,PROPN,,0,0
Bush,12,20,PROPN,,0,0
to,12,21,ADP,,0,0
seize,12,22,VERB,e25,OCCURRENCE,EVENT
the,12,23,DET,,0,0
initiative,12,24,NOUN,,0,0
