token,sentence,idx,pos,event_id,label,simple_label
ea980120.1830.0071,0,1,PROPN,,0,0
NEWS,0,3,NOUN,,0,0
STORY,0,4,PROPN,,0,0
Good,1,0,ADJ,,0,0
evening,1,1,NOUN,,0,0
from,1,2,ADP,,0,0
the,1,3,DET,,0,0
central,1,4,PROPN,,0,0
park,1,5,NOUN,,0,0
in,1,6,ADP,,0,0
downtown,1,7,NOUN,,0,0
Havana,1,8,PROPN,,0,0
.,1,9,PUNCT,,0,0
We,2,0,PRON,,0,0
are,2,1,AUX,,0,0
here,2,2,PROPN,e116,STATE,EVENT
this,2,3,DET,,0,0
week,2,4,NOUN,,0,0
to,2,5,PART,,0,0
witness,2,6,VERB,e61,PERCEPTION,EVENT
the,2,7,DET,,0,0
rendezvous,2,8,NOUN,e62,OCCURRENCE,EVENT
that,2,9,SCONJ,,0,0
Fidel,2,10,PROPN,,0,0
Castro,2,11,PROPN,,0,0
and,2,12,CCONJ,,0,0
the,2,13,DET,,0,0
Pope,2,14,PROPN,,0,0
are,2,15,AUX,,0,0
having,2,16,VERB,,0,0
with,2,17,ADP,,0,0
history,2,18,NOUN,,0,0
.,2,19,PUNCT,,0,0
We,3,0,PRON,,0,0
are,3,1,AUX,,0,0
here,3,2,ADJ,e117,STATE,EVENT
because,3,3,SCONJ,,0,0
what,3,4,PRON,,0,0
happens,3,5,PROPN,e3,OCCURRENCE,EVENT
on,3,6,ADP,,0,0
this,3,7,DET,,0,0
island,3,8,NOUN,,0,0
will,3,9,VERB,,0,0
also,3,10,ADV,,0,0
have,3,11,AUX,,0,0
an,3,12,DET,,0,0
impact,3,13,NOUN,e4,OCCURRENCE,EVENT
on,3,14,ADP,,0,0
the,3,15,DET,,0,0
United,3,16,PROPN,,0,0
States,3,17,PROPN,,0,0
.,3,18,PUNCT,,0,0
Everything,4,0,PRON,,0,0
that,4,1,DET,,0,0
happens,4,2,VERB,,0,0
in,4,3,ADP,,0,0
Cuba,4,4,PROPN,,0,0
gets,4,5,VERB,,0,0
America,4,6,PROPN,,0,0
's,4,7,PART,,0,0
attention,4,8,NOUN,,0,0
.,4,9,PUNCT,,0,0
Incidentally,5,0,ADV,,0,0
",",5,1,PUNCT,,0,0
we,5,2,PRON,,0,0
just,5,3,ADV,,0,0
show,5,4,VERB,,0,0
up,5,5,NOUN,e6,OCCURRENCE,EVENT
to,5,6,PART,,0,0
do,5,7,AUX,,0,0
the,5,8,DET,,0,0
broadcast,5,9,NOUN,e65,OCCURRENCE,EVENT
",",5,10,PUNCT,,0,0
and,5,11,CCONJ,,0,0
Cubans,5,12,PROPN,,0,0
want,5,13,VERB,e8,I_STATE,EVENT
to,5,14,PART,,0,0
know,5,15,VERB,e9,I_STATE,EVENT
what,5,16,PRON,,0,0
we,5,17,PRON,,0,0
're,5,18,AUX,,0,0
going,5,19,VERB,,0,0
to,5,20,PART,,0,0
tell,5,21,VERB,e11,REPORTING,EVENT
Americans,5,22,PROPN,,0,0
",",5,23,PUNCT,,0,0
in,5,24,ADP,,0,0
many,5,25,ADJ,,0,0
cases,5,26,NOUN,,0,0
",",5,27,PUNCT,,0,0
what,5,28,PRON,,0,0
their,5,29,DET,,0,0
relatives,5,30,NOUN,,0,0
in,5,31,ADP,,0,0
the,5,32,DET,,0,0
