token,sentence,idx,pos,event_id,label,simple_label
ed980111.1130.0089,0,1,PROPN,,0,0
NEWS,0,3,PROPN,,0,0
STORY,0,4,PROPN,,0,0
The,1,0,DET,,0,0
lights,1,1,NOUN,,0,0
are,1,2,AUX,,0,0
out,1,3,NOUN,e21,STATE,EVENT
and,1,4,CCONJ,,0,0
the,1,5,DET,,0,0
heat,1,6,NOUN,,0,0
is,1,7,AUX,,0,0
off,1,8,NOUN,e22,STATE,EVENT
and,1,9,CCONJ,,0,0
those,1,10,DET,,0,0
vital,1,11,ADJ,,0,0
signs,1,12,NOUN,,0,0
are,1,13,AUX,,0,0
not,1,14,PART,,0,0
likely,1,15,NOUN,e25,STATE,EVENT
to,1,16,PART,,0,0
change,1,17,NOUN,e1,OCCURRENCE,EVENT
much,1,18,ADV,,0,0
over,1,19,ADP,,0,0
the,1,20,DET,,0,0
next,1,21,ADJ,,0,0
several,1,22,ADJ,,0,0
days,1,23,NOUN,,0,0
for,1,24,ADP,,0,0
p-,1,25,ADJ,,0,0
people,1,26,NOUN,,0,0
in,1,27,ADP,,0,0
parts,1,28,NOUN,,0,0
of,1,29,ADP,,0,0
the,1,30,DET,,0,0
northeastern,1,31,ADJ,,0,0
US,1,32,PROPN,,0,0
and,1,33,CCONJ,,0,0
eastern,1,34,ADJ,,0,0
Canada,1,35,PROPN,,0,0
.,1,36,PUNCT,,0,0
A,2,0,DET,,0,0
powerful,2,1,ADJ,,0,0
ice,2,2,NOUN,,0,0
storm,2,3,NOUN,,0,0
continues,2,4,NOUN,e2,ASPECTUAL,EVENT
to,2,5,PART,,0,0
maintain,2,6,VERB,e3,STATE,EVENT
its,2,7,DET,,0,0
grip,2,8,NOUN,e27,STATE,EVENT
.,2,9,PUNCT,,0,0
Yesterday,3,0,NOUN,,0,0
New,3,1,PROPN,,0,0
York,3,2,PROPN,,0,0
governor,3,3,NOUN,,0,0
George,3,4,PROPN,,0,0
Pataki,3,5,PROPN,,0,0
toured,3,6,PROPN,e4,OCCURRENCE,EVENT
five,3,7,NUM,,0,0
counties,3,8,NOUN,,0,0
that,3,9,DET,,0,0
have,3,10,AUX,,0,0
been,3,11,AUX,,0,0
declared,3,12,VERB,e5,I_ACTION,EVENT
under,3,13,ADP,,0,0
a,3,14,DET,,0,0
state,3,15,NOUN,e34,STATE,EVENT
of,3,16,ADP,,0,0
emergency,3,17,NOUN,,0,0
.,3,18,PUNCT,,0,0
He,4,0,PRON,,0,0
added,4,1,VERB,e6,ASPECTUAL,EVENT
one,4,2,NUM,,0,0
more,4,3,ADJ,,0,0
today,4,4,NOUN,,0,0
.,4,5,PUNCT,,0,0
Helicopters,5,0,NOUN,,0,0
are,5,1,AUX,,0,0
flying,5,2,ADJ,e7,OCCURRENCE,EVENT
over,5,3,ADP,,0,0
northern,5,4,ADJ,,0,0
New,5,5,PROPN,,0,0
York,5,6,PROPN,,0,0
today,5,7,NOUN,,0,0
trying,5,8,VERB,e8,I_ACTION,EVENT
to,5,9,PART,,0,0
locate,5,10,VERB,e9,OCCURRENCE,EVENT
people,5,11,NOUN,,0,0
stranded,5,12,NOUN,e10,OCCURRENCE,EVENT
without,5,13,ADP,,0,0
food,5,14,NOUN,,0,0
",",5,15,PUNCT,,0,0
heat,5,16,NOUN,,0,0
or,5,17,CCONJ,,0,0
medicine,5,18,NOUN,,0,0
.,5,19,PUNCT,,0,0
In,6,0,ADP,,0,0
Maine,6,1,PROPN,,0,0
",",6,2,PUNCT,,0,0
about,6,3,ADV,,0,0
a,6,4,DET,,0,0
half,6,5,ADJ,,0,0
million,6,6,NUM,,0,0
people,6,7,NOUN,,0,0
still,6,8,ADV,,0,0
do,6,9,AUX,,0,0
n't,6,10,PART,,0,0
have,6,11,VERB,e32,STATE,EVENT
power,6,12,NOUN,,0,0
and,6,13,CCONJ,,0,0
they,6,14,PRON,,0,0
're,6,15,AUX,,0,0
going,6,16,VERB,,0,0
to,6,17,PART,,0,0
have,6,18,AUX,,0,0
to,6,19,PART,,0,0
live,6,20,NUM,e12,STATE,EVENT
without,6,21,ADP,,0,0
it,6,22,PRON,,0,0
for,6,23,ADP,,0,0
a,6,24,DET,,0,0
while,6,25,NOUN,,0,0
.,6,26,PUNCT,,0,0
