token,sentence,idx,pos,event_id,label,simple_label
Dominion,0,0,PROPN,,0,0
Textile,0,1,PROPN,,0,0
Rights,0,2,PROPN,,0,0
Plan,0,3,PROPN,,0,0
MONTREAL,1,0,PROPN,,0,0
Dominion,1,2,PROPN,,0,0
Textile,1,3,PROPN,,0,0
Inc.,1,4,PROPN,,0,0
holders,1,5,NOUN,,0,0
adopted,2,0,VERB,e1,OCCURRENCE,EVENT
a,2,1,DET,,0,0
shareholder,2,2,NOUN,,0,0
-,2,3,PUNCT,,0,0
rights,2,4,NOUN,,0,0
plan,2,5,NOUN,,0,0
at,2,6,ADP,,0,0
the,2,7,DET,,0,0
annual,2,8,ADJ,,0,0
meeting,2,9,NOUN,e2,OCCURRENCE,EVENT
.,2,10,PUNCT,,0,0
The,3,0,DET,,0,0
so,3,1,ADV,,0,0
-,3,2,PUNCT,,0,0
called,3,3,VERB,,0,0
poison,3,4,NOUN,,0,0
pill,3,5,NOUN,,0,0
took,3,6,PROPN,e4,OCCURRENCE,EVENT
effect,3,7,NOUN,,0,0
Aug.,4,0,PROPN,,0,0
9,4,1,NUM,,0,0
pending,4,2,NOUN,e25,I_STATE,EVENT
ratification,4,3,NOUN,e5,OCCURRENCE,EVENT
by,4,4,ADP,,0,0
holders,4,5,NOUN,,0,0
.,4,6,PUNCT,,0,0
Rights,5,0,NOUN,,0,0
attached,5,1,VERB,,0,0
to,5,2,ADP,,0,0
the,5,3,DET,,0,0
company,5,4,NOUN,,0,0
's,5,5,PART,,0,0
common,5,6,ADJ,,0,0
shares,5,7,NOUN,,0,0
were,5,8,AUX,,0,0
issued,5,9,PROPN,e7,OCCURRENCE,EVENT
that,5,10,DET,,0,0
are,5,11,AUX,,0,0
triggered,5,12,NOUN,e8,OCCURRENCE,EVENT
if,5,13,SCONJ,,0,0
a,5,14,DET,,0,0
hostile,5,15,ADJ,,0,0
bidder,5,16,NOUN,,0,0
acquires,5,17,NUM,e10,OCCURRENCE,EVENT
more,5,18,ADJ,,0,0
than,5,19,SCONJ,,0,0
20,5,20,NUM,,0,0
%,5,21,NOUN,,0,0
of,5,22,ADP,,0,0
the,5,23,DET,,0,0
shares,5,24,NOUN,,0,0
outstanding,5,25,ADJ,,0,0
.,5,26,PUNCT,,0,0
Once,6,0,ADV,,0,0
triggered,6,1,NOUN,e11,OCCURRENCE,EVENT
",",6,2,PUNCT,,0,0
the,6,3,DET,,0,0
rights,6,4,NOUN,,0,0
allow,6,5,PROPN,e27,I_STATE,EVENT
holders,6,6,NOUN,,0,0
to,6,7,ADP,,0,0
buy,6,8,VERB,e13,OCCURRENCE,EVENT
additional,6,9,ADJ,,0,0
shares,6,10,NOUN,,0,0
at,6,11,ADP,,0,0
50,6,12,NUM,,0,0
%,6,13,NOUN,,0,0
of,6,14,ADP,,0,0
the,6,15,DET,,0,0
then,6,16,ADV,,0,0
current,6,17,ADJ,,0,0
market,6,18,NOUN,,0,0
price,6,19,NOUN,e29,STATE,EVENT
or,6,20,CCONJ,,0,0
",",6,21,PUNCT,,0,0
at,6,22,ADP,,0,0
the,6,23,DET,,0,0
board,6,24,NOUN,,0,0
's,6,25,PART,,0,0
discretion,6,26,NOUN,,0,0
",",6,27,PUNCT,,0,0
to,6,28,ADP,,0,0
receive,6,29,NUM,e16,OCCURRENCE,EVENT
securities,6,30,NOUN,,0,0
or,6,31,CCONJ,,0,0
assets,6,32,NOUN,,0,0
.,6,33,PUNCT,,0,0
Separately,7,0,ADV,,0,0
",",7,1,PUNCT,,0,0
Dominion,7,2,PROPN,,0,0
Textile,7,3,PROPN,,0,0
posted,7,4,NOUN,e18,REPORTING,EVENT
net,7,5,ADJ,,0,0
income,7,6,NOUN,e47,STATE,EVENT
of,7,7,ADP,,0,0
4.7,7,8,NUM,,0,0
million,7,9,NUM,,0,0
Canadian,7,10,ADJ,,0,0
dollars,7,11,NOUN,,0,0
(,7,12,PUNCT,,0,0
$,7,13,SYM,,0,0
4,7,14,NUM,,0,0
million,7,15,NUM,,0,0
),7,16,PUNCT,,0,0
",",7,17,PUNCT,,0,0
or,7,18,CCONJ,,0,0
12,7,19,NUM,,0,0
Canadian,7,20,ADJ,,0,0
cents,7,21,NOUN,,0,0
a,7,22,DET,,0,0
share,7,23,NOUN,,0,0
",",7,24,PUNCT,,0,0
for,7,25,ADP,,0,0
the,7,26,DET,,0,0
fiscal,7,27,ADJ,,0,0
-,7,28,PUNCT,,0,0
first,7,29,ADJ,,0,0
quarter,7,30,NOUN,,0,0
ended,7,31,VERB,,0,0
Sept.,7,32,PROPN,,0,0
30,7,33,NUM,,0,0
.,7,34,PUNCT,,0,0
The,8,0,DET,,0,0
company,8,1,NOUN,,0,0
had,8,2,NOUN,e41,OCCURRENCE,EVENT
a,8,3,DET,,0,0
net,8,4,ADJ,,0,0
loss,8,5,NOUN,,0,0
of,8,6,ADP,,0,0
C$,8,7,SYM,,0,0
2.3,8,8,NUM,,0,0
million,8,9,NUM,,0,0
",",8,10,PUNCT,,0,0
or,8,11,CCONJ,,0,0
14,8,12,NUM,,0,0
Canadian,8,13,ADJ,,0,0
cents,8,14,NOUN,,0,0
a,8,15,DET,,0,0
share,8,16,NOUN,,0,0
",",8,17,PUNCT,,0,0
a,8,18,DET,,0,0
year,8,19,NOUN,,0,0
ago,8,20,ADV,,0,0
.,8,21,PUNCT,,0,0
Sales,9,0,NOUN,,0,0
were,9,1,AUX,,0,0
C$,9,2,SYM,,0,0
348.2,9,3,NUM,,0,0
million,9,4,NUM,,0,0
compared,9,5,VERB,,0,0
with,9,6,ADP,,0,0
C$,9,7,SYM,,0,0
307.2,9,8,NUM,,0,0
a,9,9,DET,,0,0
year,9,10,NOUN,,0,0
earlier,9,11,ADV,,0,0
.,9,12,PUNCT,,0,0
