bc/msnbc/00/msnbc_0005   0    0          From    IN  (TOP(S(PP*      -    -   -   speaker1          *   (ARGM-ADV*   -
bc/msnbc/00/msnbc_0005   0    1           NBC   NNP     (NP(NP*      -    -   -   speaker1       (ORG)           *   -
bc/msnbc/00/msnbc_0005   0    2          news    NN           *)   news   -   1   speaker1          *            *   -
bc/msnbc/00/msnbc_0005   0    3            in    IN        (PP*      -    -   -   speaker1          *            *   -
bc/msnbc/00/msnbc_0005   0    4    Washington   NNP     (NP*))))     -    -   -   speaker1       (GPE)           *)  -
bc/msnbc/00/msnbc_0005   0    5          this    DT        (NP*)     -    -   -   speaker1          *       (ARG1*)  -
bc/msnbc/00/msnbc_0005   0    6            is   VBZ        (VP*      be  01   1   speaker1          *          (V*)  -
bc/msnbc/00/msnbc_0005   0    7          Meet   NNP     (NP(NP*      -    -   -   speaker1      (ORG*       (ARG2*   -
bc/msnbc/00/msnbc_0005   0    8           the   NNP           *      -    -   -   speaker1          *            *   -
bc/msnbc/00/msnbc_0005   0    9         Press   NNP           *)     -    -   -   speaker1          *)           *   -
bc/msnbc/00/msnbc_0005   0   10          with    IN        (PP*      -    -   -   speaker1          *            *   -
bc/msnbc/00/msnbc_0005   0   11           Jim   NNP        (NP*      -    -   -   speaker1   (PERSON*            *   -
bc/msnbc/00/msnbc_0005   0   12       Russert   NNP        *))))     -    -   -   speaker1          *)           *)  -
bc/msnbc/00/msnbc_0005   0   13            /.     .          *))     -    -   -   speaker1          *            *   -

bc/msnbc/00/msnbc_0005   0    0            Our   PRP$  (TOP(FRAG(NP(NP*        -    -   -    Tim_Russert         *            *    (131)
bc/msnbc/00/msnbc_0005   0    1         issues    NNS                 *)    issue   -   1    Tim_Russert         *            *       -
bc/msnbc/00/msnbc_0005   0    2           this     DT              (NP*        -    -   -    Tim_Russert    (DATE*            *       -
bc/msnbc/00/msnbc_0005   0    3         Sunday    NNP                *))       -    -   -    Tim_Russert         *)           *       -
bc/msnbc/00/msnbc_0005   0    4            the     DT        (NP(NP(NP*        -    -   -    Tim_Russert         *            *       -
bc/msnbc/00/msnbc_0005   0    5            war     NN                 *)      war  01   1    Tim_Russert         *          (V*)      -
bc/msnbc/00/msnbc_0005   0    6             in     IN              (PP*        -    -   -    Tim_Russert         *   (ARGM-LOC*       -
bc/msnbc/00/msnbc_0005   0    7           Iraq    NNP            (NP*)))       -    -   -    Tim_Russert      (GPE)           *)      -
bc/msnbc/00/msnbc_0005   0    8       tensions    NNS           (NP(NP*)       -    -   -    Tim_Russert         *            *       -
bc/msnbc/00/msnbc_0005   0    9           with     IN              (PP*        -    -   -    Tim_Russert         *            *       -
bc/msnbc/00/msnbc_0005   0   10           Iran    NNP            (NP*)))       -    -   -    Tim_Russert      (GPE)           *       -
bc/msnbc/00/msnbc_0005   0   11            and     CC                 *        -    -   -    Tim_Russert         *            *       -
bc/msnbc/00/msnbc_0005   0   12            the     DT           (NP(NP*        -    -   -    Tim_Russert         *            *       -
bc/msnbc/00/msnbc_0005   0   13         future     NN                 *)   future   -   4    Tim_Russert         *            *       -
bc/msnbc/00/msnbc_0005   0   14             of     IN              (PP*        -    -   -    Tim_Russert         *            *       -
bc/msnbc/00/msnbc_0005   0   15           this     DT           (NP(NP*        -    -   -    Tim_Russert         *            *       -
bc/msnbc/00/msnbc_0005   0   16          woman     NN                 *)    woman   -   1    Tim_Russert         *            *       -
bc/msnbc/00/msnbc_0005   0   17            our   PRP$              (NP*        -    -   -    Tim_Russert         *            *    (131)
bc/msnbc/00/msnbc_0005   0   18          guest     NN                 *)    guest   -   -    Tim_Russert         *            *       -
bc/msnbc/00/msnbc_0005   0   19            the     DT        (NP(NP(NP*        -    -   -    Tim_Russert         *            *       -
bc/msnbc/00/msnbc_0005   0   20      Secretary    NNP                 *)       -    -   -    Tim_Russert         *            *       -
bc/msnbc/00/msnbc_0005   0   21             of     IN              (PP*        -    -   -    Tim_Russert         *            *       -
bc/msnbc/00/msnbc_0005   0   22          State    NNP            (NP*)))       -    -   -    Tim_Russert      (ORG)           *       -
bc/msnbc/00/msnbc_0005   0   23    Condoleezza    NNP              (NP*        -    -   -    Tim_Russert  (PERSON*            *       -
bc/msnbc/00/msnbc_0005   0   24           Rice    NNP            *))))))       -    -   -    Tim_Russert         *)           *       -
bc/msnbc/00/msnbc_0005   0   25             /.      .                *))       -    -   -    Tim_Russert         *            *       -

bc/msnbc/00/msnbc_0005   0    0     Then     RB   (TOP(FRAG(ADVP*)      -    -   -    Tim_Russert      *             *    -
bc/msnbc/00/msnbc_0005   0    1     will     MD              (SQ*       -    -   -    Tim_Russert      *    (ARGM-MOD*)   -
bc/msnbc/00/msnbc_0005   0    2    there     EX              (NP*)      -    -   -    Tim_Russert      *             *    -
bc/msnbc/00/msnbc_0005   0    3       be     VB              (VP*       be  02   5    Tim_Russert      *           (V*)   -
bc/msnbc/00/msnbc_0005   0    4        a     DT              (NP*       -    -   -    Tim_Russert      *        (ARG1*    -
bc/msnbc/00/msnbc_0005   0    5    White    NNP         (NML(NML*       -    -   -    Tim_Russert  (ORG*             *   (8
bc/msnbc/00/msnbc_0005   0    6    House    NNP                 *)      -    -   -    Tim_Russert      *)            *    8)
bc/msnbc/00/msnbc_0005   0    7    staff     NN                 *)   staff   -   -    Tim_Russert      *             *    -
bc/msnbc/00/msnbc_0005   0    8    shake     NN                 *    shake   -   -    Tim_Russert      *             *    -
bc/msnbc/00/msnbc_0005   0    9       -    HYPH                 *       -    -   -    Tim_Russert      *             *    -
bc/msnbc/00/msnbc_0005   0   10       up     NN               *)))      up   -   -    Tim_Russert      *             *)   -
bc/msnbc/00/msnbc_0005   0   11       /?      .                *))      -    -   -    Tim_Russert      *             *    -

bc/msnbc/00/msnbc_0005   0    0          And    CC  (TOP(SBARQ*       -    -   -    Tim_Russert       *            *   -
bc/msnbc/00/msnbc_0005   0    1         what    WP       (WHNP*)      -    -   -    Tim_Russert       *       (ARG1*)  -
bc/msnbc/00/msnbc_0005   0    2           is   VBZ         (SQ*       be  01   1    Tim_Russert       *          (V*)  -
bc/msnbc/00/msnbc_0005   0    3           at    IN         (PP*       -    -   -    Tim_Russert       *       (ARG2*   -
bc/msnbc/00/msnbc_0005   0    4        stake    NN        (NP*))   stake   -   3    Tim_Russert       *            *)  -
bc/msnbc/00/msnbc_0005   0    5           in    IN         (PP*       -    -   -    Tim_Russert       *   (ARGM-LOC*   -
bc/msnbc/00/msnbc_0005   0    6          the    DT         (NP*       -    -   -    Tim_Russert       *            *   -
bc/msnbc/00/msnbc_0005   0    7          two    CD        (NML*       -    -   -    Tim_Russert  (DATE*            *   -
bc/msnbc/00/msnbc_0005   0    8     thousand    CD            *       -    -   -    Tim_Russert       *            *   -
bc/msnbc/00/msnbc_0005   0    9          six    CD            *)      -    -   -    Tim_Russert       *)           *   -
bc/msnbc/00/msnbc_0005   0   10      midterm    NN            *       -    -   -    Tim_Russert       *            *   -
bc/msnbc/00/msnbc_0005   0   11    elections   NNS          *)))      -    -   -    Tim_Russert       *            *)  -
bc/msnbc/00/msnbc_0005   0   12           /?     .           *))      -    -   -    Tim_Russert       *            *   -

bc/msnbc/00/msnbc_0005   0    0          Insight    NN  (TOP(NP(NP*          -    -   -    Tim_Russert         *        *    -
bc/msnbc/00/msnbc_0005   0    1              and    CC            *          -    -   -    Tim_Russert         *        *    -
bc/msnbc/00/msnbc_0005   0    2         analysis    NN            *)   analysis  01   1    Tim_Russert         *      (V*)   -
bc/msnbc/00/msnbc_0005   0    3             from    IN         (PP*          -    -   -    Tim_Russert         *   (ARG0*    -
bc/msnbc/00/msnbc_0005   0    4            David   NNP   (NP(NP(NP*          -    -   -    Tim_Russert  (PERSON*        *    -
bc/msnbc/00/msnbc_0005   0    5           Broder   NNP            *)         -    -   -    Tim_Russert         *)       *    -
bc/msnbc/00/msnbc_0005   0    6               of    IN         (PP*          -    -   -    Tim_Russert         *        *    -
bc/msnbc/00/msnbc_0005   0    7              the    DT         (NP*          -    -   -    Tim_Russert     (ORG*        *    -
bc/msnbc/00/msnbc_0005   0    8       Washington   NNP            *          -    -   -    Tim_Russert         *        *    -
bc/msnbc/00/msnbc_0005   0    9             Post   NNP          *)))         -    -   -    Tim_Russert         *)       *    -
bc/msnbc/00/msnbc_0005   0   10        Elisabeth   NNP      (NP(NP*          -    -   -    Tim_Russert  (PERSON*        *    -
bc/msnbc/00/msnbc_0005   0   11         Bumiller   NNP            *)         -    -   -    Tim_Russert         *        *    -
bc/msnbc/00/msnbc_0005   0   12            White   NNP  (NP(NP(NML*          -    -   -    Tim_Russert         *)       *   (8
bc/msnbc/00/msnbc_0005   0   13            House   NNP            *)         -    -   -    Tim_Russert      (ORG)       *    8)
bc/msnbc/00/msnbc_0005   0   14    correspondent    NN            *)         -    -   -    Tim_Russert         *        *    -
bc/msnbc/00/msnbc_0005   0   15              for    IN         (PP*          -    -   -    Tim_Russert         *        *    -
bc/msnbc/00/msnbc_0005   0   16              the    DT         (NP*          -    -   -    Tim_Russert     (ORG*        *    -
bc/msnbc/00/msnbc_0005   0   17              New   NNP        (NML*          -    -   -    Tim_Russert         *        *    -
bc/msnbc/00/msnbc_0005   0   18             York   NNP            *)         -    -   -    Tim_Russert         *        *    -
bc/msnbc/00/msnbc_0005   0   19            Times   NNP         *))))         -    -   -    Tim_Russert         *)       *    -
bc/msnbc/00/msnbc_0005   0   20          Charlie   NNP      (NP(NP*          -    -   -    Tim_Russert  (PERSON*        *    -
bc/msnbc/00/msnbc_0005   0   21             Cook   NNP            *)         -    -   -    Tim_Russert         *)       *    -
bc/msnbc/00/msnbc_0005   0   22               of    IN         (PP*          -    -   -    Tim_Russert         *        *    -
bc/msnbc/00/msnbc_0005   0   23              the    DT         (NP*          -    -   -    Tim_Russert     (ORG*        *    -
bc/msnbc/00/msnbc_0005   0   24         National   NNP            *          -    -   -    Tim_Russert         *        *    -
bc/msnbc/00/msnbc_0005   0   25          Journal   NNP          *)))         -    -   -    Tim_Russert         *)       *    -
bc/msnbc/00/msnbc_0005   0   26              and    CC            *          -    -   -    Tim_Russert         *        *    -
bc/msnbc/00/msnbc_0005   0   27             John   NNP      (NP(NP*          -    -   -    Tim_Russert  (PERSON*        *    -
bc/msnbc/00/msnbc_0005   0   28          Harwood   NNP            *)         -    -   -    Tim_Russert         *)       *    -
bc/msnbc/00/msnbc_0005   0   29               of    IN         (PP*          -    -   -    Tim_Russert         *        *    -
bc/msnbc/00/msnbc_0005   0   30              the    DT      (NP(NP*          -    -   -    Tim_Russert     (LAW*        *    -
bc/msnbc/00/msnbc_0005   0   31             Wall   NNP        (NML*          -    -   -    Tim_Russert         *        *    -
bc/msnbc/00/msnbc_0005   0   32           Street   NNP            *)         -    -   -    Tim_Russert         *        *    -
bc/msnbc/00/msnbc_0005   0   33          Journal   NNP            *)         -    -   -    Tim_Russert         *)       *    -
bc/msnbc/00/msnbc_0005   0   34              and    CC            *          -    -   -    Tim_Russert         *        *    -
bc/msnbc/00/msnbc_0005   0   35             CNBC   NNP    (NP*))))))         -    -   -    Tim_Russert      (ORG)       *)   -
bc/msnbc/00/msnbc_0005   0   36               /.     .           *))         -    -   -    Tim_Russert         *        *    -
