,token,ent,sent
0,Fresh,0,0
1,and,0,0
2,clean,0,0
3,Sun,ENTITY,1
4,clearly,0,1
5,occupies,0,1
6,an,0,1
7,enviable,0,1
8,position,0,1
9,in,0,1
10,the,0,1
11,singing,0,1
12,world,0,1
13,.,0,2
14,Yet,0,3
15,it,0,3
16,is,0,3
17,hard,0,3
18,to,0,3
19,pin,0,3
20,down,0,3
21,exactly,0,3
22,where,0,3
23,that,0,3
24,position,0,4
25,is,0,4
26,.,0,4
27,Although,0,5
28,she,ENTITY,5
29,has,0,5
30,written,0,5
31,a,0,5
32,few,0,5
33,songs,0,5
34,herself,ENTITY,5
35,",",0,5
36,these,0,5
37,are,0,6
38,not,0,6
39,among,0,6
40,her,ENTITY,6
41,better,0,6
42,works,0,6
43,",",0,6
44,so,0,6
45,she,ENTITY,6
46,can,0,6
47,not,0,6
48,be,0,6
49,properly,0,6
50,placed,0,6
51,among,0,6
52,the,0,6
53,"""",0,6
54,singer,0,6
55,-,0,6
56,songwriters,0,6
57,.,0,6
58,"""",0,6
59,And,0,7
60,while,0,7
61,her,ENTITY,7
62,voice,0,7
63,sets,0,7
64,her,ENTITY,7
65,apart,0,7
66,",",0,7
67,she,ENTITY,7
68,has,0,7
69,not,0,8
70,perfected,0,8
71,her,ENTITY,8
72,live,0,8
73,performance,0,8
74,skills,0,8
75,",",0,8
76,so,0,8
77,she,ENTITY,8
78,can,0,8
79,not,0,8
80,be,0,8
81,included,0,8
82,among,0,8
83,the,0,8
84,true,0,8
85,divas,0,8
86,.,0,8
87,Moreover,0,9
88,",",0,9
89,her,ENTITY,9
90,short,0,9
91,hair,0,9
92,",",0,9
93,buck,0,9
94,teeth,0,9
95,and,0,9
96,aversion,0,9
97,to,0,10
98,wearing,0,10
99,skirts,0,10
100,and,0,10
101,dresses,0,10
102,would,0,10
103,seem,0,10
104,to,0,10
105,exclude,0,10
106,her,ENTITY,10
107,from,0,10
108,the,0,10
109,teeny,0,10
110,-,0,10
111,bopper,0,10
112,"""",0,10
113,idols,0,10
114,.,0,10
115,"""",0,10
116,Finally,0,11
117,",",0,11
118,she,ENTITY,11
119,ca,0,11
120,n't,0,11
121,be,0,11
122,considered,0,11
123,an,0,11
124,innovator,0,11
125,.,0,11
126,Half,0,12
127,her,ENTITY,12
128,songs,0,12
129,are,0,12
130,slow,0,12
131,and,0,12
132,half,0,12
133,are,0,12
134,fast,0,12
135,",",0,12
136,and,0,13
137,she,ENTITY,13
138,has,0,13
139,n't,0,13
140,revealed,0,13
141,much,0,13
142,desire,0,13
143,to,0,13
144,experiment,0,13
145,.,0,13
146,Indeed,0,14
147,",",0,14
148,Internet,0,14
149,bulletin,0,14
150,boards,0,14
151,are,0,14
152,full,0,14
153,of,0,14
154,posts,0,14
155,wondering,0,14
156,why,0,15
157,exactly,0,15
158,Sun,ENTITY,15
159,Yan,ENTITY,15
160,Zi,ENTITY,15
161,is,0,15
162,so,0,15
163,popular,0,15
164,.,0,15
165,"""",0,16
166,How,0,16
167,did,0,16
168,she,ENTITY,16
169,get,0,16
170,so,0,16
171,popular,0,16
172,overnight,0,16
173,?,0,16
174,Her,ENTITY,17
175,looks,0,17
176,and,0,17
177,voice,0,17
178,are,0,17
179,pretty,0,17
180,average,0,17
181,.,0,17
182,"""",0,17
183,"""",0,18
184,She,ENTITY,18
185,'s,0,18
186,not,0,18
187,beautiful,0,18
188,",",0,18
189,but,0,18
190,her,ENTITY,18
191,smile,0,18
192,and,0,18
193,singing,0,19
194,voice,0,19
195,are,0,19
196,pleasing,0,19
197,.,0,19
198,She,ENTITY,20
199,makes,0,20
200,people,0,20
201,feel,0,20
202,comfortable,0,20
203,.,0,20
204,"""",0,20
205,"""",0,21
206,She,ENTITY,21
207,does,0,21
208,n't,0,21
209,really,0,21
210,have,0,21
211,any,0,21
212,special,0,21
213,quality,0,21
214,to,0,21
215,speak,0,22
216,of,0,22
217,",",0,22
218,which,0,22
219,seems,0,22
220,to,0,22
221,be,0,22
222,the,0,22
223,case,0,22
224,with,0,22
225,most,0,22
226,of,0,22
227,the,0,22
228,Southeast,0,22
229,Asian,0,22
230,singers,0,22
231,.,0,22
232,"""",0,22
233,Peter,0,23
234,Li,0,23
235,",",0,23
236,the,0,23
237,Singaporean,0,23
238,who,0,23
239,produced,0,23
240,both,0,23
241,Sun,ENTITY,23
242,Yan,ENTITY,23
243,Zi,ENTITY,24
244,and,0,24
245,My,0,24
246,Desire,0,24
247,Happiness,0,24
248,for,0,24
249,Sun,0,24
250,",",0,24
251,admits,0,24
252,that,0,24
253,she,ENTITY,24
254,was,0,24
255,n't,0,24
256,an,0,24
257,outstanding,0,24
258,student,0,24
259,at,0,24
260,his,0,24
261,music,0,24
262,academy,0,24
263,",",0,24
264,and,0,24
265,that,0,24
266,her,ENTITY,24
267,rapid,0,24
268,success,0,24
269,has,0,24
270,surprised,0,24
271,many,0,24
272,people,0,24
273,.,0,24
274,But,0,25
275,he,0,25
276,conjectures,0,25
277,that,0,25
278,the,0,25
279,freshness,0,25
280,and,0,25
281,intimacy,0,25
282,that,0,25
283,she,ENTITY,25
284,projects,0,26
285,may,0,26
286,be,0,26
287,responsible,0,26
288,for,0,26
289,her,ENTITY,26
290,success,0,26
291,.,0,26
292,Citing,0,27
293,"""",0,27
294,freshness,0,27
295,",",0,27
296,"""",0,27
297,The,0,27
298,China,0,27
299,Times,0,27
300,entertainment,0,27
301,weekly,0,27
302,awarded,0,28
303,their,0,28
304,prize,0,28
305,for,0,28
306,"""",0,28
307,best,0,28
308,newcomer,0,28
309,"""",0,28
310,to,0,28
311,Sun,ENTITY,28
312,",",ENTITY,28
313,"""",ENTITY,28
314,the,0,28
315,girl,0,28
316,with,0,28
317,the,0,28
318,boyish,0,28
319,haircut,0,28
320,.,0,28
321,"""",0,28
322,Their,0,29
323,panel,0,29
324,of,0,29
325,judges,0,29
326,remarked,0,29
327,",",0,29
328,"""",0,29
329,She,ENTITY,29
330,has,0,29
331,good,0,29
332,range,0,30
333,without,0,30
334,the,0,30
335,frenzied,0,30
336,style,0,30
337,that,0,30
338,characterizes,0,30
339,so,0,30
340,many,0,30
341,.,0,30
342,Her,ENTITY,31
