token,ent,sent
American,0,0
Telephone,0,0
&,0,0
Telegraph,0,0
Co.,0,0
unveiled,0,0
new,0,0
optical,0,0
transmission,0,0
systems,0,0
for,0,1
data,0,1
",",0,1
video,0,1
and,0,1
voice,0,1
communications,0,1
.,0,1
Two,0,2
products,0,2
in,0,2
what,0,2
the,0,2
telecommunications,0,2
giant,0,2
called,0,2
a,0,2
new,0,2
generation,0,3
of,0,3
such,0,3
equipment,0,3
are,0,3
available,0,3
now,0,3
",",0,3
AT&T,0,3
said,0,3
",",0,3
and,0,3
three,0,3
others,0,3
will,0,3
be,0,3
introduced,0,3
in,0,3
1990,0,3
and,0,3
1991,0,3
.,0,3
The,0,4
products,0,4
are,0,4
aimed,0,4
at,0,4
a,0,4
market,0,4
expected,0,4
to,0,4
total,0,4
more,0,5
than,0,5
$,0,5
1,0,5
billion,0,5
a,0,5
year,0,5
in,0,5
sales,0,5
by,0,5
1995,0,5
",",0,5
said,0,5
Morgan,ENTITY,5
Buchner,ENTITY,5
Jr.,ENTITY,5
",",0,5
vice,0,5
president,0,5
of,0,5
transmission,0,5
systems,0,5
for,0,5
AT&T,ENTITY,5
.,0,5
The,0,6
products,0,6
already,0,6
available,0,6
are,0,6
cross-connect,0,6
systems,0,6
",",0,6
used,0,6
instead,0,6
of,0,7
mazes,0,7
of,0,7
wiring,0,7
to,0,7
interconnect,0,7
other,0,7
telecommunications,0,7
equipment,0,7
.,0,7
This,0,8
cuts,0,8
down,0,8
greatly,0,8
on,0,8
labor,0,8
",",0,8
Mr.,ENTITY,8
Buchner,ENTITY,8
said,0,8
.,0,9
To,0,10
be,0,10
introduced,0,10
later,0,10
are,0,10
a,0,10
multiplexer,0,10
",",0,10
which,0,10
will,0,10
allow,0,11
several,0,11
signals,0,11
to,0,11
travel,0,11
along,0,11
a,0,11
single,0,11
optical,0,11
line,0,11
;,0,11
a,0,11
light,0,11
-,0,11
wave,0,11
system,0,11
",",0,11
which,0,11
carries,0,11
voice,0,11
channels,0,11
;,0,11
and,0,11
a,0,11
network,0,11
controller,0,11
",",0,11
which,0,11
directs,0,11
data,0,11
flow,0,11
through,0,11
cross-connect,0,11
systems,0,11
.,0,11
AT&T,0,12
said,0,12
the,0,12
products,0,12
",",0,12
unlike,0,12
previous,0,12
generations,0,12
",",0,12
will,0,12
meet,0,13
so,0,13
-,0,13
called,0,13
Sonet,0,13
compatability,0,13
standards,0,13
",",0,13
which,0,13
AT&T,0,13
expects,0,13
to,0,13
be,0,13
broadly,0,13
adopted,0,13
.,0,13
Sonet,0,14
",",0,14
or,0,14
synchronous,0,14
optical,0,14
network,0,14
",",0,14
products,0,14
have,0,14
more,0,14
capacity,0,15
than,0,15
earlier,0,15
models,0,15
.,0,15
``,0,16
These,0,16
products,0,16
are,0,16
the,0,16
heart,0,16
of,0,16
our,0,16
transmission,0,16
-,0,16
product,0,17
line,0,17
",",0,17
'',0,17
Mr.,ENTITY,17
Buchner,ENTITY,17
said,0,17
.,0,17
He,ENTITY,18
declined,0,18
to,0,18
disclose,0,18
specific,0,18
prices,0,18
",",0,18
but,0,18
said,0,18
each,0,18
product,0,19
costs,0,19
in,0,19
the,0,19
tens,0,19
of,0,19
thousands,0,19
",",0,19
or,0,19
even,0,19
hundreds,0,19
of,0,19
thousands,0,19
",",0,19
of,0,19
dollars,0,19
.,0,19
AT&T,0,20
said,0,20
it,0,20
expects,0,20
to,0,20
beat,0,20
to,0,20
the,0,20
marketplace,0,20
two,0,20
rivals,0,21
",",0,21
Northern,0,21
Telecom,0,21
Ltd.,0,21
of,0,21
Canada,0,21
and,0,21
France,0,21
's,0,21
Alcatel,0,21
N.V.,0,21
",",0,21
which,0,21
also,0,21
have,0,21
announced,0,21
Sonet,0,21
-,0,21
based,0,21
products,0,21
.,0,21
AT&T,0,22
predicted,0,22
strong,0,22
growth,0,22
in,0,22
demand,0,22
for,0,22
such,0,22
products,0,22
.,0,22
It,0,23
noted,0,23
that,0,23
last,0,23
July,0,23
",",0,23
Nippon,0,23
Telegraph,0,23
&,0,23
Telephone,0,23
Corp.,0,24
of,0,24
Japan,0,24
selected,0,24
AT&T,0,24
to,0,24
supply,0,24
$,0,24
154,0,24
million,0,24
of,0,24
such,0,24
equipment,0,24
over,0,24
a,0,24
four,0,24
-,0,24
year,0,24
period,0,24
starting,0,24
next,0,24
year,0,24
.,0,24
